ornament,voice,bar,pitch
E -3 S 1 S 2 S -3 S 1 S 2 S 2 E,0,2 1/8,57
E -2 S -2 S -1 S 1 S 2 S 2 S 1 E,0,2 5/8,60
E -10 S 2 S 2 S 1 S 2 S 2 S 1 E,0,3 1/8,53
E -1 E -2 E 3 E -1 E,0,3 5/8,62
E -3 S 1 S 2 S -3 S 1 S 2 S 2 E,1,4 1/8,50
E -4 S 2 S 2 S -4 S 2 S 2 S 1 Q,1,4 5/8,51
E -4 E 2 E 2 E 1 E.,2,5 5/8,46
E. -2 S -2 S 2 S 2 S 1 S -1 E,0,6 3/16,65
E -2 E,0,6 5/8,65
E -2 S 2 S 1 S,1,8 1/8,53
S -1 S,1,8 5/16,55
S -2 S,1,8 7/16,51
E 2 E,1,8 5/8,55
E -2 E,1,8 7/8,53
E 7 E -2 E -2 E -3 Q,3,9 1/8,50
E -1 S 1 S 2 S,2,10 1/8,50
R 0 S,1,10 5/16,51
R 0 T -1 T -2 T 3 Q,2,10 13/32,51
Q -3 S 2 S 1 S 2 S -2 E.,1,11 1/4,55
E. -2 S 2 S -2 S 2 S 2 S 1 Q,3,11 11/16,41
E -2 S 2 S 2 S -2 S -2 S -1 S -2 E,3,12 5/8,44
E -2 S -1 S 1 S -1 S -2 S -2 S 2 E,0,13 1/8,63
E -1 S 1 S 2 S,1,13 5/8,55
R 0 S,0,13 13/16,56
R 0 T -1 T -2 T -2 E.,1,13 29/32,56
E. -2 S -2 S 2 S 2 S 2 S 1 E,0,14 3/16,58
R 0 E,3,14 5/8,44
R 0 E,2,15 5/8,51
E 2 T -2 T -2 T 2 T 2 Q,2,18 5/8,50
S 1 S 2 S -3 S 1 S,2,19 9/16,51
S -1 S 1 T -1 T 1 T 2 T -2 E,2,19 13/16,50
E -1 E,3,20 5/8,45
S -1 S -2 S 2 S 1 E,3,20 13/16,45
E -3 S 1 S 2 S -3 S 1 S 2 S 2 Q,1,21 1/8,50
Q. -2 E,2,22 3/8,51
E -2 S -2 S -1 S 1 S 2 S 2 S 1 Q,0,22 5/8,60
E -2 E,0,24 1/8,60
E 2 E,1,24 7/8,60
E -1 S -2 S 2 E,0,25 5/8,64
E -2 S 2 S 1 Q,0,25 7/8,62
S -2 S -2 S 4 S -2 E,1,26 13/16,53
E 2 E,1,27 1/8,55
E 2 T -2 T -1 T 1 T -1 Q,1,27 5/8,58
E -1 E,3,28 3/8,43
E -1 S -2 S 2 E,1,28 5/8,50
E -2 S 2 S 1 Q,1,28 7/8,48
E -1 S 1 S 2 E,2,29 5/8,55
E 2 E,2,29 7/8,60
E 1 E,0,30 7/8,68
E -1 S -2 S 2 E,0,31 5/8,62
E -2 S 2 S 1 E,0,31 7/8,60
E -1 E 1 E 2 E,2,32 1/8,50
E 0 S 2 S -2 E,1,32 7/8,56
E -1 S -2 S 2 E,1,33 5/8,52
E 1 T -1 T -2 T 2 T 1 Q,1,33 7/8,53
E 2 E,0,34 7/8,62
