note,pitch,duration,chord,bar,mapped voice,cost,category
0,67,1/2,0,1,1,n/a,match
1,67,1/4,1,1 1/2,1,0,repetition
2,65,1/8,2,1 3/4,1,n/a,match
3,67,1/32,3,1 7/8,1,n/a,ornamentation
4,65,1/32,4,1 29/32,1,n/a,ornamentation
5,64,1/32,5,1 15/16,1,n/a,ornamentation
6,65,1/32,6,1 31/32,1,n/a,ornamentation
7,67,1/8,7,1 1/1,1,n/a,match
8,65,1/16,8,1 9/8,1,n/a,ornamentation
9,67,1/16,9,1 19/16,1,n/a,ornamentation
10,69,1/4,10,1 5/4,1,n/a,match
11,65,1/4,11,2,1,n/a,match
12,74,1/4,11,2,0,n/a,match
13,67,1/8,12,2 1/4,1,n/a,match
14,69,1/8,13,2 3/8,1,n/a,ornamentation
15,67,1/8,14,2 1/2,1,0,repetition
16,74,1/8,14,2 1/2,0,0,repetition
17,65,1/8,15,2 5/8,1,n/a,match
18,64,1/8,16,2 3/4,1,n/a,match
19,72,1/8,16,2 3/4,0,n/a,match
20,71,1/16,17,2 7/8,0,n/a,ornamentation
21,72,1/16,18,2 15/16,0,n/a,ornamentation
22,62,1/8,19,2 1/1,1,n/a,match
23,74,1/8,19,2 1/1,0,n/a,match
24,72,1/16,20,2 9/8,0,n/a,ornamentation
25,74,1/16,21,2 19/16,0,n/a,ornamentation
26,60,1/4,22,2 5/4,1,n/a,match
27,76,1/4,22,2 5/4,0,n/a,match
28,60,1/8,23,3,1,0,repetition
29,72,1/8,23,3,0,n/a,match
30,62,1/8,24,3 1/8,1,n/a,match
31,64,1/8,25,3 1/4,1,n/a,match
32,71,1/8,26,3 3/8,0,n/a,match
33,66,1/8,27,3 1/2,1,n/a,ficta
34,69,1/8,27,3 1/2,0,n/a,match
35,62,1/8,28,3 5/8,1,n/a,ornamentation
36,67,1/8,29,3 3/4,0 and 1,n/a,match
37,66,1/16,30,3 7/8,1,n/a,ornamentation
38,67,1/16,31,3 15/16,1,n/a,ornamentation
39,67,1/8,32,3 1/1,1,0,repetition
40,69,1/8,32,3 1/1,0,n/a,match
41,66,1/16,33,3 9/8,1,n/a,match
42,64,1/16,34,3 19/16,1,n/a,ornamentation
43,67,1/16,35,3 5/4,1,1,adaptation
44,66,1/16,36,3 21/16,1,n/a,ornamentation
45,67,1/32,37,3 11/8,1,1,adaptation
46,66,1/32,38,3 45/32,1,n/a,ornamentation
47,64,1/32,39,3 23/16,1,n/a,ornamentation
48,66,1/32,40,3 47/32,1,n/a,ornamentation
49,55,1/4,41,4,3,n/a,match
50,67,1/4,41,4,0 and 1,n/a,match
51,71,1/8,42,4 1/4,0,n/a,match
52,66,1/16,43,4 3/8,1,n/a,ficta
53,64,1/16,44,4 7/16,1,n/a,ornamentation
54,55,1/8,45,4 1/2,3,0,repetition
55,62,1/8,45,4 1/2,1,n/a,match
56,71,1/8,45,4 1/2,0,0,repetition
57,72,1/8,46,4 5/8,0,n/a,match
58,53,1/4,47,4 3/4,3,n/a,match
59,65,1/4,47,4 3/4,1,n/a,match
60,74,1/4,47,4 3/4,0,n/a,match
61,55,1/8,48,4 1/1,3,n/a,match
62,64,1/8,48,4 1/1,1,n/a,match
63,74,1/8,48,4 1/1,0,0,repetition
64,73,1/16,49,4 9/8,0,n/a,match
65,71,1/16,50,4 19/16,0,n/a,ornamentation
66,57,1/8,51,4 5/4,3,n/a,match
67,73,1/8,51,4 5/4,0,n/a,match
68,71,1/16,52,4 11/8,0,n/a,match
69,73,1/16,53,4 23/16,0,n/a,ornamentation
70,53,1/4,54,5,3,n/a,match
71,62,1/4,54,5,1 and 2,n/a,match
72,74,1/4,54,5,0,n/a,match
73,55,1/8,55,5 1/4,3,n/a,match
74,57,1/8,56,5 3/8,3,n/a,ornamentation
75,55,1/8,57,5 1/2,3,0,repetition
76,62,1/8,57,5 1/2,2,0,repetition
77,53,1/8,58,5 5/8,3,n/a,match
78,52,1/8,59,5 3/4,3,n/a,match
79,60,1/8,59,5 3/4,2,n/a,match
80,62,1/32,60,5 7/8,2,n/a,ornamentation
81,60,1/32,61,5 29/32,2,n/a,ornamentation
82,59,1/32,62,5 15/16,2,n/a,ornamentation
83,60,1/32,63,5 31/32,2,n/a,ornamentation
84,50,1/8,64,5 1/1,3,n/a,match
85,62,1/8,64,5 1/1,2,n/a,match
86,60,1/16,65,5 9/8,2,n/a,ornamentation
87,62,1/16,66,5 19/16,2,n/a,ornamentation
88,48,1/8,67,5 5/4,3,n/a,match
89,64,1/8,67,5 5/4,2,n/a,match
90,62,1/8,68,5 11/8,2,n/a,ornamentation
91,60,1/8,69,6,2,n/a,match
92,50,1/8,70,6 1/8,3,n/a,match
93,52,1/8,71,6 1/4,3,n/a,match
94,59,1/8,72,6 3/8,2,n/a,match
95,54,1/8,73,6 1/2,3,n/a,ficta
96,57,1/8,73,6 1/2,2,n/a,match
97,55,1/8,74,6 5/8,3,n/a,ornamentation
98,55,1/16,75,6 3/4,3,n/a,match
99,55,1/16,75,6 3/4,2,n/a,match
100,57,1/16,76,6 13/16,2,n/a,ornamentation
101,59,1/8,77,6 7/8,2,n/a,ornamentation
102,55,3/16,78,6 1/1,3,0,repetition
103,57,3/16,78,6 1/1,2,n/a,match
104,54,1/16,79,6 19/16,3,n/a,ornamentation
105,55,1/16,80,6 5/4,3,1,adaptation
106,54,1/16,81,6 21/16,3,n/a,ornamentation
107,52,1/16,82,6 11/8,3,n/a,match
108,54,1/16,83,6 23/16,3,n/a,ornamentation
109,55,1/4,84,7,3,n/a,match
110,55,1/4,84,7,2,n/a,match
111,62,1/4,84,7,1,n/a,match
112,62,1/4,85,7 1/4,2,n/a,match
113,55,3/16,86,7 1/2,3,0,repetition
114,62,3/16,86,7 1/2,2,0,repetition
115,67,3/16,86,7 1/2,1,n/a,match
116,66,1/16,87,7 11/16,2,n/a,ornamentation
117,64,1/16,88,7 3/4,2,n/a,match
118,62,1/16,89,7 13/16,2,n/a,ornamentation
119,60,1/16,90,7 7/8,2,n/a,ornamentation
120,59,1/16,91,7 15/16,2,n/a,ornamentation
121,60,1/8,92,7 1/1,2,n/a,match
122,67,1/8,92,7 1/1,1,0,repetition
123,66,1/16,93,7 9/8,1,n/a,ornamentation
124,64,1/16,94,7 19/16,1,n/a,ornamentation
125,62,1/8,95,7 5/4,2,n/a,match
126,66,1/8,95,7 5/4,1,n/a,ficta
127,67,1/32,96,7 11/8,1,n/a,ornamentation
128,66,1/32,97,7 45/32,1,n/a,ornamentation
129,64,1/32,98,7 23/16,1,n/a,ornamentation
130,66,1/32,99,7 47/32,1,n/a,ornamentation
131,55,1/8,100,8,2,n/a,match
132,67,1/8,100,8,1,n/a,match
133,74,1/8,100,8,0,n/a,match
134,73,1/16,101,8 1/8,0,n/a,ornamentation
135,71,1/16,102,8 3/16,0,n/a,ornamentation
136,73,1/16,103,8 1/4,0,n/a,ornamentation
137,74,1/16,104,8 5/16,0,n/a,ornamentation
138,76,1/16,105,8 3/8,0,n/a,ornamentation
139,78,1/16,106,8 7/16,0,n/a,ornamentation
140,55,1/4,107,8 1/2,3,0,repetition
141,67,1/4,107,8 1/2,1,0,repetition
142,79,1/4,107,8 1/2,0,n/a,match
143,66,1/8,108,8 3/4,1,n/a,ornamentation
144,67,1/8,109,8 7/8,1,n/a,ornamentation
145,69,1/8,110,8 1/1,1,n/a,match
146,79,1/8,110,8 1/1,0,0,repetition
147,67,1/8,111,8 9/8,1,n/a,ornamentation
148,69,1/8,112,8 5/4,1,0,repetition
149,78,1/8,113,8 11/8,0,n/a,ornamentation
150,67,1/4,114,9,1,n/a,match
151,79,1/4,114,9,0,n/a,match
152,74,1/4,115,9 1/4,0,n/a,match
153,67,1/8,116,9 1/2,1,0,repetition
154,76,1/8,116,9 1/2,0,n/a,match
155,74,1/16,117,9 5/8,0,n/a,ornamentation
156,76,1/16,118,9 11/16,0,n/a,ornamentation
157,62,1/8,119,9 3/4,1,n/a,match
158,77,1/8,119,9 3/4,0,n/a,match
159,64,1/8,120,9 7/8,1,n/a,ornamentation
160,65,1/8,121,9 1/1,1,n/a,match
161,77,1/8,121,9 1/1,0,0,repetition
162,76,1/8,122,9 9/8,0,n/a,match
163,72,1/8,123,9 5/4,0,n/a,match
164,64,1/8,124,9 11/8,1,n/a,match
165,62,1/8,125,10,1,n/a,match
166,74,1/8,125,10,0,n/a,match
167,72,1/16,126,10 1/8,0,n/a,ornamentation
168,74,1/16,127,10 3/16,0,n/a,ornamentation
169,60,1/8,128,10 1/4,1,n/a,match
170,76,1/8,128,10 1/4,0,n/a,match
171,77,1/8,129,10 3/8,0,n/a,ornamentation
172,62,1/8,130,10 1/2,1,n/a,match
173,76,1/8,130,10 1/2,0,0,repetition
174,74,1/8,131,10 5/8,0,n/a,match
175,62,1/8,132,10 3/4,1,0,repetition
176,74,1/8,132,10 3/4,0,n/a,match
177,65,1/8,133,10 7/8,1,n/a,ornamentation
178,64,3/16,134,10 1/1,1,n/a,match
179,74,3/16,134,10 1/1,0,0,repetition
180,73,1/16,135,10 19/16,0,n/a,ornamentation
181,74,1/16,136,10 5/4,0,0,repetition
182,73,1/16,137,10 21/16,0,n/a,ornamentation
183,71,1/16,138,10 11/8,0,n/a,ornamentation
184,73,1/16,139,10 23/16,0,n/a,ornamentation
185,50,3/16,140,11,3,n/a,match
186,62,3/16,140,11,1,n/a,match
187,74,3/16,140,11,0,n/a,match
188,52,1/16,141,11 3/16,3,n/a,ornamentation
189,54,1/16,142,11 1/4,3,n/a,ornamentation
190,50,1/16,143,11 5/16,3,n/a,ornamentation
191,52,1/16,144,11 3/8,3,n/a,ornamentation
192,54,1/16,145,11 7/16,3,n/a,ornamentation
193,55,1/8,146,11 1/2,3,n/a,match
194,62,1/8,146,11 1/2,1,0,repetition
195,74,1/8,146,11 1/2,0,0,repetition
196,64,1/16,147,11 5/8,0,n/a,ornamentation
197,66,1/16,148,11 11/16,0,n/a,ornamentation
198,67,1/16,149,11 3/4,0,n/a,ornamentation
199,69,1/16,150,11 13/16,0,n/a,ornamentation
200,71,1/16,151,11 7/8,0,n/a,ornamentation
201,73,1/16,152,11 15/16,0,n/a,ornamentation
202,55,1/4,153,11 1/1,3,0,repetition
203,62,1/4,153,11 1/1,1,0,repetition
204,74,1/4,153,11 1/1,0,0,repetition
205,54,1/4,154,11 5/4,3,n/a,ficta
206,55,1/8,155,12,3,n/a,match
207,62,1/8,155,12,2,n/a,match
208,61,1/16,156,12 1/8,2,n/a,ornamentation
209,62,1/16,157,12 3/16,2,n/a,ornamentation
210,64,1/16,158,12 1/4,2,n/a,ornamentation
211,62,1/16,159,12 5/16,2,n/a,ornamentation
212,61,1/16,160,12 3/8,2,n/a,ornamentation
213,59,1/16,161,12 7/16,2,n/a,ornamentation
214,61,1/16,162,12 1/2,2,1,adaptation
215,62,1/16,163,12 9/16,2,n/a,ornamentation
216,64,1/16,164,12 5/8,2,n/a,ornamentation
217,66,1/16,165,12 11/16,2,n/a,ornamentation
218,55,1/8,166,12 3/4,3,0,repetition
219,67,1/8,166,12 3/4,2,0,repetition
220,66,1/16,167,12 7/8,2,n/a,ornamentation
221,67,1/16,168,12 15/16,2,n/a,ornamentation
222,57,1/8,169,12 1/1,3,n/a,match
223,67,1/8,169,12 1/1,2,0,repetition
224,66,1/16,170,12 9/8,2,n/a,ornamentation
225,64,1/16,171,12 19/16,2,n/a,ornamentation
226,67,1/16,172,12 5/4,2,0,repetition
227,66,1/16,173,12 21/16,2,n/a,ornamentation
228,67,1/32,174,12 11/8,2,n/a,ornamentation
229,66,1/32,175,12 45/32,2,n/a,ornamentation
230,64,1/32,176,12 23/16,2,n/a,ornamentation
231,66,1/32,177,12 47/32,2,n/a,ornamentation
232,55,1/4,178,13,3,n/a,match
233,67,1/4,178,13,2,n/a,match
234,62,1/4,179,13 1/4,2,n/a,match
235,55,1/16,180,13 1/2,3,0,repetition
236,65,1/16,181,13 9/16,3,n/a,ornamentation
237,67,1/16,182,13 5/8,3,n/a,ornamentation
238,64,1/16,183,13 11/16,3,n/a,ornamentation
239,50,1/16,184,13 3/4,3,n/a,match
240,64,1/16,185,13 13/16,2,n/a,ornamentation
241,65,1/16,186,13 7/8,2,n/a,ornamentation
242,67,1/16,187,13 15/16,2,n/a,ornamentation
243,53,1/8,188,13 1/1,3,n/a,match
244,65,1/8,188,13 1/1,2,0,repetition
245,64,1/8,189,13 9/8,2,n/a,match
246,60,1/8,190,13 5/4,2,n/a,match
247,52,1/8,191,13 11/8,3,n/a,match
248,50,1/8,192,14,3,n/a,match
249,62,1/8,192,14,2,n/a,match
250,64,1/32,193,14 1/8,2,n/a,ornamentation
251,62,1/32,194,14 5/32,2,n/a,ornamentation
252,60,1/32,195,14 3/16,2,n/a,ornamentation
253,62,1/32,196,14 7/32,2,n/a,ornamentation
254,64,1/8,197,14 1/4,2,n/a,match
255,48,1/8,198,14 3/8,3,n/a,ornamentation
256,50,1/8,199,14 1/2,3,n/a,match
257,64,1/8,199,14 1/2,2,0,repetition
258,62,1/8,200,14 5/8,2,n/a,match
259,62,1/8,201,14 3/4,2,n/a,match
260,53,1/8,202,14 7/8,3,n/a,ornamentation
261,52,1/16,203,14 1/1,3,n/a,match
262,62,1/16,204,14 17/16,2,n/a,ornamentation
263,61,1/16,205,14 9/8,2,n/a,ornamentation
264,59,1/16,206,14 19/16,2,n/a,ornamentation
265,62,1/16,207,14 5/4,2,0,repetition
266,61,1/16,208,14 21/16,2,n/a,ornamentation
267,62,1/32,209,14 11/8,2,n/a,ornamentation
268,61,1/32,210,14 45/32,2,n/a,ornamentation
269,59,1/32,211,14 23/16,2,n/a,ornamentation
270,61,1/32,212,14 47/32,2,n/a,ornamentation
271,50,1/4,213,15,3,n/a,match
272,62,1/4,213,15,2,n/a,match
273,74,1/4,213,15,0,n/a,match
274,62,1/8,214,15 1/4,1,n/a,match
275,74,1/8,215,15 3/8,0,n/a,ornamentation
276,71,1/8,216,15 1/2,0,n/a,match
277,62,1/8,217,15 5/8,1,n/a,ornamentation
278,60,1/8,218,15 3/4,1,n/a,match
