ornament,voice,bar,pitch
E 2 T -2 T -1 T 1 T 2 E,1,1 7/8,67
E -2 S 2 S 2 Q,1,1 9/8,65
E 2 E,1,2 3/8,69
E -1 S 1 S 2 E,0,2 7/8,71
E -2 S 2 S 2 Q,0,2 9/8,72
E -4 E,1,3 5/8,62
E -1 S 1 S 0 E,1,3 7/8,66
S -2 S,1,3 19/16,64
S -1 S,1,3 21/16,66
T -1 T -2 T 2 T 1 Q,1,3 45/32,66
S -2 S,1,4 7/16,64
S -2 S,0,4 19/16,71
S 2 S,0,4 23/16,73
E 2 E,3,5 3/8,57
E 2 T -2 T -1 T 1 T 2 E,2,5 7/8,62
E -2 S 2 S 2 E,2,5 9/8,60
E -2 E,2,5 11/8,62
E 1 E,3,6 5/8,55
S 2 S 2 E -2 E.,2,6 13/16,57
E. -1 S,3,6 19/16,54
S -1 S,3,6 21/16,54
S 2 S,3,6 23/16,54
E. 4 S,2,7 11/16,66
S -2 S -2 S -1 S 1 E,2,7 13/16,62
E -1 S -2 S 2 E,1,7 9/8,66
E 1 T -1 T -2 T 2 T 1 E,1,7 11/8,67
E -1 S -2 S 2 S 1 S 2 S 2 S 1 Q,0,8 1/8,73
Q -1 E 1 E 2 E,1,8 3/4,66
E -2 E,1,8 9/8,67
R 0 E,0,8 11/8,78
E -2 S 2 S 1 E,0,9 5/8,74
E 2 E,1,9 7/8,64
E -2 S 2 S 2 E,0,10 1/8,72
E 1 E,0,10 3/8,77
E 3 E,1,10 7/8,65
E. -1 S,0,10 19/16,73
S -1 S -2 S 2 S 1 E.,0,10 21/16,73
E. 2 S 2 S -4 S 2 S 2 S 1 E,3,11 3/16,52
E -10 S 2 S 1 S 2 S 2 S 2 S 1 Q,0,11 5/8,64
E -1 S 1 S 2 S -2 S -1 S -2 S 2 S,2,12 1/8,61
S 1 S 2 S 2 S 1 E,2,12 9/16,62
E -1 S 1 S 0 E,2,12 7/8,66
E -1 S -2 S 3 S,2,12 9/8,66
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,12 21/16,66
S 10 S 2 S -3 S -14 S,3,13 9/16,65
R 0 S 1 S 2 S -2 E,2,13 13/16,64
E 2 T -2 T -2 T 2 T 2 E,2,14 1/8,64
R 0 E,3,14 3/8,48
R 0 E,3,14 7/8,53
R 0 S -1 S -2 S 3 S,2,14 17/16,62
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,14 21/16,61
R 0 E,0,15 3/8,74
R 0 E,1,15 5/8,62
E 2 E,1,15 7/8,62
R 0 E,0,15 9/8,72
R 0 S,2,16 3/16,57
R 0 S -1 S -2 S 2 S,3,16 5/16,53
S 1 S 2 S -3 S 1 S,3,16 9/16,53
S -1 S 1 S 2 S 2 E,2,16 13/16,52
R 0 E,3,16 9/8,53
S -2 S 2 T -2 T -1 T -2 T 2 E,0,17 5/16,65
E 3 E,1,17 5/8,67
R 0 E,1,17 9/8,65
R 0 S,2,18 3/16,55
R 0 S -2 S -1 S 1 E,3,18 5/16,55
E 2 T -2 T -2 T 2 T -2 E.,2,18 5/8,59
E. 2 S,2,18 15/16,57
R 0 E,3,18 9/8,55
R 0 S,0,19 3/16,67
R 0 S -2 S -1 S 1 E,1,19 5/16,67
E 2 T -2 T -1 T 1 T 2 Q,1,19 5/8,67
R 0 E,1,19 9/8,67
E. 2 S,0,20 3/16,76
E 2 E,0,21 5/8,74
E -1 E,3,21 9/8,59
E 2 E,1,22 7/8,66
E 1 E,0,22 9/8,72
E -1 E,3,23 1/8,57
S -1 S,3,23 15/16,54
E 2 E,3,24 1/8,55
E -2 E,3,24 5/8,55
S 1 S,3,24 19/16,55
S -2 S,3,24 21/16,55
T -2 T -2 T -1 T -2 E,3,24 45/32,55
E 2 E,3,25 5/8,54
E 2 S -2 S 0 E,0,26 7/8,69
S -2 S,0,26 19/16,64
S -1 S,0,26 21/16,66
T -1 T -2 T 2 T 1 W,0,26 45/32,66
