note,pitch,duration,chord,bar,mapped voice,cost,category
0,43,1/1,0,1,4,n/a,match
1,55,1/1,0,1,3,n/a,match
2,43,1/2,1,1 1/1,4,0,repetition
3,45,1/2,2,1 3/2,4,n/a,match
4,46,1/1,3,2,4,n/a,match
5,55,1/1,3,2,3,0,repetition
6,48,1/1,4,2 1/1,4,n/a,match
7,46,1/1,5,3,4,n/a,match
8,55,1/1,5,3,3,n/a,match
9,43,1/1,6,3 1/1,4,n/a,match
10,46,1/1,7,4,4,n/a,match
11,55,1/1,7,4,3,n/a,match
12,46,1/2,8,4 1/1,4,0,repetition
13,45,1/2,9,4 3/2,5,n/a,match
14,48,1/2,9,4 3/2,4,n/a,match
15,46,1/2,10,5,5,n/a,match
16,50,1/2,10,5,4,n/a,match
17,55,1/2,10,5,3,0,repetition
18,43,1/2,11,5 1/2,5,3,adaptation
19,48,1/1,12,5 1/1,5,n/a,match
20,51,1/1,12,5 1/1,4,n/a,match
21,46,1/1,13,6,5,n/a,match
22,50,1/1,13,6,4,n/a,match
23,55,1/1,13,6,3,n/a,match
24,43,1/1,14,6 1/1,5,n/a,match
25,50,1/1,14,6 1/1,4,0,repetition
26,46,1/1,15,7,5,n/a,match
27,55,1/1,15,7,3,n/a,match
28,46,1/2,16,7 1/1,5,0,repetition
29,45,1/2,17,7 3/2,4,n/a,match
30,48,1/2,17,7 3/2,5,n/a,match
31,46,1/2,18,8,4,n/a,match
32,50,1/2,18,8,5,n/a,match
33,55,1/2,18,8,3,0,repetition
34,43,1/2,19,8 1/2,4,n/a,match
35,48,1/1,20,8 1/1,3,7,adaptation
36,51,1/1,20,8 1/1,5,n/a,match
37,55,1/1,20,8 1/1,4,n/a,match
38,50,1/4,21,9,5,n/a,match
39,53,1/4,21,9,4,n/a,match
40,57,1/4,21,9,3,n/a,match
41,52,1/4,22,9 1/4,5,n/a,ornamentation
42,53,1/4,23,9 1/2,5,n/a,match
43,55,1/4,24,9 3/4,4,n/a,match
44,50,1/2,25,9 1/1,3,7,adaptation
45,53,1/2,25,9 1/1,5,0,repetition
46,57,1/2,25,9 1/1,4,n/a,match
47,50,1/4,26,9 3/2,4,n/a,match
48,52,1/4,27,9 7/4,3,n/a,ornamentation
49,50,1/4,28,10,5,n/a,match
50,53,1/4,28,10,3,n/a,match
51,57,1/4,28,10,4,7,adaptation
52,52,1/4,29,10 1/4,4,n/a,match
53,50,1/2,30,10 1/2,5,0,repetition
54,53,1/2,30,10 1/2,4,n/a,match
55,46,1/4,31,10 1/1,4,n/a,match
56,50,1/4,31,10 1/1,3,3,adaptation
57,53,1/4,31,10 1/1,5,n/a,match
58,52,1/4,32,10 5/4,5,n/a,ornamentation
59,53,1/4,33,10 3/2,5,0,repetition
60,48,1/4,34,10 7/4,4,n/a,match
61,46,1/4,35,11,5,0,repetition
62,50,1/4,35,11,4,n/a,match
63,53,1/4,35,11,3,0,repetition
64,48,1/4,36,11 1/4,5,n/a,match
65,52,1/4,36,11 1/4,4,n/a,match
66,50,1/4,37,11 1/2,5,n/a,match
67,53,1/4,37,11 1/2,4,n/a,match
68,52,1/4,38,11 3/4,5,n/a,match
69,53,1/4,39,11 1/1,5,n/a,match
