ornament,voice,bar,pitch
Q 2 Q,5,9 1/4,52
R 0 Q,3,9 7/4,52
Q -1 Q,5,10 5/4,52
Q -2 Q,4,12 3/4,46
Q -2 Q,4,12 5/4,43
Q -1 E 1 E 2 E -2 E -1 E 1 E 2 Q,2,14 1/4,57
Q -1 E 1 E 2 E -2 E -1 E -2 E 2 Q,3,14 5/4,62
Q 10 E 2 E 1 E,5,15 1/4,53
E -1 E -2 E -2 E -1 E,5,15 5/8,55
R 0 E 2 E 1 E -1 E -2 E -2 E -1 E -2 H,4,15 9/8,48
R 0 Q 2 E -2 E -2 E -1 E -2 Q,5,17 1/4,53
Q 2 Q 1 Q 2 Q 2 H,5,17 5/4,50
Q -1 Q 1 Q 2 Q 1 H,1,18 5/4,54
R 0 Q,3,20 1/4,58
R 0 Q,1,20 3/4,62
Q 2 E 1 E 2 E -2 E -1 E -2 E -3 W,3,20 5/4,62
Q -1 E 1 E 2 E,5,28 1/4,50
E -2 E,5,28 5/8,51
E -2 E,5,28 7/8,48
Q -1 Q,3,29 1/4,57
E -1 E,3,29 5/8,57
E 2 E,3,29 7/8,60
Q -1 Q,3,30 1/4,57
Q -2 Q,2,30 5/4,60
Q -1 Q,2,31 3/4,62
R 0 Q,1,31 5/4,62
Q -2 Q,2,32 3/4,60
Q 2 Q,2,32 5/4,60
R 0 Q,2,33 1/4,62
Q -1 Q,2,33 3/4,62
E 2 E,3,35 3/8,55
E -1 E -2 E -2 E 2 E,3,35 5/8,55
E -2 E,3,35 9/8,51
E -2 E,3,35 11/8,48
R 0 E -2 E -1 E -2 H,5,35 13/8,48
Q 2 Q,2,38 1/4,65
E -1 E,0,42 13/8,66
E 2 E,0,42 15/8,66
Q -4 Q,3,43 1/4,54
Q -2 Q,4,44 3/4,48
Q -1 E -2 E 3 E,3,44 5/4,59
E -1 E 1 S -1 S -2 S 2 S 1 H,3,44 13/8,59
Q -3 Q 1 Q 2 Q 2 H,1,47 5/4,57
Q 2 Q 1 Q -3 Q 2 H,2,49 5/4,62
R 0 Q,1,50 5/4,63
Q -3 Q 1 Q 2 Q 2 Q,1,51 5/4,57
R 0 Q,2,52 1/4,64
R 0 Q,1,52 3/4,67
Q 1 Q,2,52 5/4,63
R 0 Q,4,52 7/4,50
R 0 E 1 E 2 E -10 Q,4,53 13/8,57
Q -1 Q,3,54 5/4,54
E -1 E -2 E 2 E 1 H,3,54 13/8,54
Q -3 Q,0,56 1/4,67
Q 1 Q,0,56 3/4,70
Q -2 Q,0,57 3/4,67
Q -2 Q,0,57 5/4,64
Q -1 Q,0,57 7/4,66
Q -1 Q 1 E -1 E 1 E,2,58 1/4,57
E 2 E,2,58 7/8,60
Q -5 Q 2 Q 3 Q -1 Q,5,62 7/4,48
Q -2 Q,4,63 5/4,43
Q -1 Q 1 E -1 E 1 E,3,64 1/4,57
E 2 E,3,64 7/8,60
R 0 Q,1,65 1/4,59
E -1 E 1 S -1 S -2 S 2 S 1 H,1,65 5/8,59
R 0 Q,3,67 1/4,59
R 0 E -2 E 2 E 1 H,2,67 5/8,59
Q -1 Q 1 Q -3 Q 1 Q,1,68 7/4,64
Q -2 Q,2,69 5/4,55
Q -10 Q 1 Q 2 Q 2 H,5,70 5/4,45
H -1 Q,3,73 7/4,54
R 0 E 1 E 2 E,1,74 1/4,57
R 0 E 2 E 1 E 2 E,0,74 5/8,62
E 2 E 1 E -1 E 1 E -1 E -2 E 2 E 1 W,0,74 9/8,69
Q -1 Q,1,78 1/4,64
R 0 Q,5,78 7/4,55
E -1 E,0,79 3/8,66
E -1 E -2 E 2 E 1 H,0,79 5/8,66
Q -2 Q,4,80 5/4,46
Q -2 Q,4,80 7/4,43
Q 2 Q,0,81 1/4,71
R 0 Q,0,81 5/4,72
Q 2 Q,0,82 3/4,69
Q -3 Q,0,82 5/4,67
Q 1 Q,0,82 7/4,70
Q 1 Q,0,83 7/4,70
Q -2 Q,3,84 3/4,55
Q 4 E -2 E -2 Q,1,84 5/4,66
Q -1 Q,0,84 7/4,66
Q -8 Q 1 Q 2 Q 1 Q,3,85 5/4,54
Q -1 Q,3,86 1/4,57
Q -2 Q 2 E -2 E -1 E,3,86 5/4,60
E -2 E,3,86 15/8,57
