note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,58,3/4,0/96,0,1,3,n/a,match
1,70,3/4,0/96,0,1,0,n/a,match
2,60,1/4,3/4,1,1 3/4,3,n/a,match
3,58,1/4,1/1,2,1 1/1,2,0,repetition
4,62,1/4,1/1,2,1 1/1,3,n/a,match
5,60,1/4,5/4,3,1 5/4,2,n/a,match
6,55,1/2,3/2,4,1 3/2,3,n/a,match
7,62,1/2,3/2,4,1 3/2,2,n/a,match
8,55,1/4,2/1,5,2,2,n/a,match
9,58,1/4,2/1,5,2,3,n/a,match
10,70,1/4,2/1,5,2,0,n/a,match
11,57,1/4,9/4,6,2 1/4,2,n/a,ornamentation
12,58,1/4,5/2,7,2 1/2,2,n/a,match
13,60,1/4,11/4,8,2 3/4,3,n/a,match
14,58,1/4,3/1,9,2 1/1,2,0,repetition
15,62,1/4,3/1,9,2 1/1,3,n/a,match
16,63,1/4,13/4,10,2 5/4,3,1,adaptation
17,55,1/2,7/2,11,2 3/2,3,n/a,match
18,62,1/2,7/2,11,2 3/2,2,n/a,match
19,55,1/4,4/1,12,3,2,n/a,match
20,58,1/4,4/1,12,3,3,n/a,match
21,62,1/4,4/1,12,3,3,4,adaptation
22,70,1/4,4/1,12,3,0,0,repetition
23,64,1/8,17/4,13,3 1/4,2,n/a,ornamentation
24,66,1/8,35/8,14,3 3/8,2,n/a,ornamentation
25,55,1/2,9/2,15,3 1/2,3,n/a,match
26,67,1/2,9/2,15,3 1/2,2,n/a,match
27,57,1/4,5/1,16,3 1/1,3,n/a,match
28,67,1/4,5/1,16,3 1/1,2,0,repetition
29,72,1/4,5/1,16,3 1/1,0,n/a,match
30,66,1/4,21/4,17,3 5/4,2,n/a,match
31,67,1/8,11/2,18,3 3/2,2,1,adaptation
32,66,1/8,45/8,19,3 13/8,2,n/a,ornamentation
33,64,1/8,23/4,20,3 7/4,2,n/a,match
34,66,1/8,47/8,21,3 15/8,2,n/a,ornamentation
35,55,1/2,6/1,22,4,3,n/a,match
36,67,1/2,6/1,22,4,2,n/a,match
37,70,1/2,6/1,22,4,0,n/a,match
38,55,1/4,13/2,23,4 1/2,2,n/a,match
39,57,1/4,27/4,24,4 3/4,2,n/a,match
40,55,1/4,7/1,25,4 1/1,3,0,repetition
41,58,1/4,7/1,25,4 1/1,2,n/a,match
42,70,1/4,7/1,25,4 1/1,0,0,repetition
43,60,1/4,29/4,26,4 5/4,2,n/a,match
44,53,1/4,15/2,27,4 3/2,3,n/a,match
45,62,1/4,15/2,27,4 3/2,2,n/a,match
46,69,1/4,15/2,27,4 3/2,0,n/a,match
47,52,1/4,31/4,28,4 7/4,3,n/a,match
48,62,1/4,31/4,28,4 7/4,2,0,repetition
49,69,1/4,31/4,28,4 7/4,0,0,repetition
50,50,1/4,8/1,29,5,3,n/a,match
51,65,1/4,8/1,29,5,1,n/a,match
52,69,1/4,8/1,29,5,0,n/a,match
53,60,1/4,33/4,30,5 1/4,2,n/a,match
54,57,1/2,17/2,31,5 1/2,2,n/a,match
55,50,1/4,9/1,32,5 1/1,3,0,repetition
