note,pitch,duration,chord,bar,mapped voice,cost,category
0,55,1/1,0,1,1,n/a,match
1,62,1/1,0,1,0,5,adaptation
2,67,1/1,0,1,0,n/a,match
3,55,1/4,1,1 1/1,1,n/a,match
4,62,1/4,1,1 1/1,0,5,adaptation
5,67,1/4,1,1 1/1,0,0,repetition
6,54,1/4,2,1 5/4,1,n/a,ornamentation
7,55,1/4,3,1 3/2,1,n/a,ornamentation
8,57,1/4,4,1 7/4,1,n/a,match
9,59,1/4,5,2,1,n/a,match
10,67,1/4,5,2,0,n/a,match
11,60,1/16,6,2 1/4,1,n/a,ornamentation
12,59,1/16,7,2 5/16,1,n/a,ornamentation
13,57,1/16,8,2 3/8,1,n/a,ornamentation
14,59,1/16,9,2 7/16,1,n/a,ornamentation
15,60,1/4,10,2 1/2,1,n/a,match
16,62,1/16,11,2 3/4,1,n/a,ornamentation
17,60,1/16,12,2 13/16,1,n/a,ornamentation
18,59,1/16,13,2 7/8,1,n/a,ornamentation
19,57,1/16,14,2 15/16,1,n/a,ornamentation
20,55,1/2,15,2 1/1,1,n/a,match
21,67,1/2,15,2 1/1,0,0,repetition
22,67,1/4,16,2 3/2,1,n/a,match
23,67,1/4,17,2 7/4,0,n/a,ornamentation
24,69,1/4,18,3,0,n/a,match
25,67,1/4,19,3 1/4,1,n/a,ornamentation
26,66,1/4,20,3 1/2,1,n/a,ficta
27,64,1/4,21,3 3/4,1,n/a,match
28,66,1/2,22,3 1/1,1,n/a,ficta
29,69,1/2,22,3 1/1,0,0,repetition
30,62,1/2,23,3 3/2,1,n/a,match
31,69,1/4,24,4,0,n/a,match
32,61,1/4,25,4 1/4,1,n/a,ficta
33,62,1/4,26,4 1/2,1,n/a,match
34,64,1/4,27,4 3/4,1,n/a,match
35,66,1/4,28,4 1/1,1,n/a,ficta
36,69,1/4,28,4 1/1,0,0,repetition
37,67,1/4,29,4 5/4,1,n/a,match
38,64,1/4,30,4 3/2,0,5,adaptation
39,69,1/4,30,4 3/2,1,n/a,match
40,66,1/4,31,4 7/4,1,n/a,ficta
41,43,1/1,32,5,5,n/a,match
42,55,1/1,32,5,3,n/a,match
43,59,1/1,32,5,3,4,adaptation
44,62,1/1,32,5,1,3,adaptation
45,71,1/1,32,5,0,n/a,match
46,43,1/2,33,5 1/1,5,n/a,match
47,55,1/2,33,5 1/1,3,0,repetition
48,59,1/2,33,5 1/1,3,4,adaptation
49,62,1/2,33,5 1/1,1,5,adaptation
50,71,1/2,33,5 1/1,0,0,repetition
51,43,1/4,34,5 3/2,5,n/a,ornamentation
52,45,1/4,35,5 7/4,5,n/a,match
53,47,1/2,36,6,5,n/a,match
54,55,1/2,36,6,3,n/a,match
55,59,1/2,36,6,3,4,adaptation
56,62,1/2,36,6,1,5,adaptation
57,67,1/2,36,6,0,n/a,match
