ornament,voice,bar,pitch
Q -1 Q 1 Q 2 Q,1,1 5/4,54
Q 1 S -1 S -2 S 2 S 1 Q,1,2 1/4,60
Q 2 S -2 S -1 S -2 S -2 H,1,2 3/4,62
R 0 Q,0,2 7/4,67
R 0 Q,1,3 1/4,67
H 0 Q,5,5 3/2,43
R 0 Q,5,7 1/4,55
R 0 Q,4,11 1/4,55
Q -1 Q,1,14 1/4,64
R 0 Q,5,14 3/4,50
E -2 E,1,14 11/8,59
E -4 E,1,14 13/8,57
E 2 E,1,14 15/8,61
Q -12 Q,0,15 1/4,55
Q -4 Q,0,15 5/4,62
Q 2 Q,0,15 7/4,66
Q -1 Q,2,18 1/4,64
R 0 Q,4,18 3/4,50
E -2 E,2,18 11/8,59
E -4 E,2,18 13/8,57
R 0 S 2 S 2 S -11 Q,4,18 29/16,57
Q 5 Q,5,19 5/4,55
R 0 Q,1,19 7/4,54
Q -1 E -2 E 3 Q,2,22 1/4,59
Q -1 Q,2,22 3/4,59
Q -2 Q,1,22 5/4,62
R 0 Q,2,26 1/4,55
Q 2 Q,2,26 3/4,59
R 0 Q,0,26 5/4,66
Q 0 Q,2,29 1/4,67
Q 2 Q,0,29 3/4,71
R 0 E,0,30 9/8,66
E -1 E,0,30 11/8,66
E -1 E,0,30 13/8,66
E 2 E,0,30 15/8,66
Q -4 Q,3,32 1/4,55
Q 2 Q,3,32 3/4,59
E -1 E 1 E 2 E -2 Q,3,32 9/8,59
R 0 Q,4,33 3/4,43
R 0 E,3,33 9/8,54
R 0 E,2,33 11/8,54
R 0 E,3,33 13/8,54
E 2 E,3,33 15/8,54
Q -10 E 2 E 1 E 2 E 2 E 1 E 2 Q,0,34 1/4,57
R 0 E -1 E -2 E,1,34 5/4,65
E -2 E,1,34 13/8,60
E -2 E,1,34 15/8,57
Q -2 E 2 E 1 E,1,35 1/4,57
E -1 E 1 S -1 S -2 S 2 S 1 E,1,35 5/8,59
E -1 E 1 E 2 E -2 Q,1,35 9/8,59
R 0 Q,5,36 3/4,43
R 0 Q 2 Q 1 Q -1 Q,3,37 1/4,57
R 0 E 2 E 1 E 2 E 2 E 2 E 1 W,0,37 5/4,57
Q -5 Q 3 Q -1 Q 1 H,0,43 1/4,64
Q -1 E -2 E 3 Q,2,49 5/4,66
R 0 Q,1,49 7/4,66
H -4 Q,2,51 1/2,60
Q 2 Q,0,51 5/4,66
Q -7 Q,0,51 7/4,60
Q -3 E 1 E 2 H,0,52 3/4,61
Q -2 Q 2 Q 1 Q,0,53 1/4,64
Q 2 Q,4,55 5/4,50
Q -4 Q,4,55 7/4,48
Q -2 Q 2 Q 1 Q,3,57 1/4,57
Q -1 Q,1,59 1/4,59
R 0 E,2,60 11/8,59
Q -1 Q,1,60 7/4,61
Q 1 Q,0,63 5/4,67
R 0 Q,4,63 7/4,50
E -2 E,0,64 11/8,64
E -1 E,0,64 13/8,66
