note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,62,1/2,0/96,0,1,1,n/a,match
1,62,1/2,1/2,1,1 1/2,1,n/a,match
2,64,1/2,1/1,2,1 1/1,1,n/a,match
3,50,1/2,3/2,3,2,4,n/a,match
4,65,1/2,3/2,3,2,1,n/a,match
5,50,1/2,2/1,4,2 1/2,4,n/a,match
6,65,1/2,2/1,4,2 1/2,1,0,repetition
7,52,1/4,5/2,5,2 1/1,4,n/a,match
8,64,1/4,5/2,5,2 1/1,1,n/a,match
9,62,1/4,11/4,6,2 5/4,1,2,adaptation
10,53,1/2,3/1,7,3,4,n/a,match
11,60,1/2,3/1,7,3,1,n/a,match
12,69,1/2,3/1,7,3,0,n/a,match
13,62,1/2,7/2,8,3 1/2,1,n/a,match
14,69,1/2,7/2,8,3 1/2,0,n/a,match
15,55,1/2,4/1,9,3 1/1,4,n/a,match
16,62,1/2,4/1,9,3 1/1,1,0,repetition
17,71,1/2,4/1,9,3 1/1,0,n/a,match
18,57,1/2,9/2,10,4,3 and 4,n/a,match
19,60,1/2,9/2,10,4,1,n/a,match
20,72,1/2,9/2,10,4,0,n/a,match
21,53,1/4,5/1,11,4 1/2,4,n/a,match
22,57,1/4,5/1,11,4 1/2,3,n/a,match
23,59,1/4,21/4,12,4 3/4,1,n/a,match
24,55,1/2,11/2,13,4 1/1,1 and 4,n/a,match
25,59,1/2,11/2,13,4 1/1,3,n/a,match
26,71,1/2,11/2,13,4 1/1,0,n/a,match
27,52,1/2,6/1,14,5,4,n/a,match
28,60,1/2,6/1,14,5,3,n/a,match
29,67,1/2,6/1,14,5,0 and 1,n/a,match
30,53,1/2,13/2,15,5 1/2,4,n/a,match
31,60,1/2,13/2,15,5 1/2,3,0,repetition
32,65,1/2,13/2,15,5 1/2,1,n/a,match
33,69,1/2,13/2,15,5 1/2,0,n/a,match
34,55,1/4,7/1,16,5 1/1,4,n/a,match
35,59,1/4,7/1,16,5 1/1,3,n/a,match
36,62,1/4,7/1,16,5 1/1,1,n/a,match
37,67,1/4,29/4,17,5 5/4,0,n/a,match
38,48,1/2,15/2,18,6,4,n/a,match
39,55,1/2,15/2,18,6,3,n/a,match
40,64,1/2,15/2,18,6,1 and 2,n/a,match
41,67,1/2,15/2,18,6,0,n/a,match
42,57,1/2,8/1,19,6 1/2,3,n/a,match
43,60,1/2,8/1,19,6 1/2,1,n/a,match
44,64,1/2,8/1,19,6 1/2,2,n/a,match
45,72,1/2,8/1,19,6 1/2,0,n/a,match
46,66,1/2,17/2,20,6 1/1,2,n/a,ficta
47,52,1/2,9/1,21,7,5,n/a,match
48,55,1/2,9/1,21,7,3,n/a,match
49,64,1/2,9/1,21,7,1,n/a,match
50,71,1/2,9/1,21,7,0,n/a,match
51,52,1/2,19/2,22,7 1/2,5,n/a,match
52,60,1/2,19/2,22,7 1/2,3,n/a,match
53,64,1/2,19/2,22,7 1/2,1,0,repetition
54,67,1/2,19/2,22,7 1/2,0,n/a,match
55,53,1/2,10/1,23,7 1/1,5,n/a,match
56,65,1/2,10/1,23,7 1/1,2,n/a,match
57,69,1/2,10/1,23,7 1/1,0,n/a,match
58,55,1/2,21/2,24,8,5,n/a,match
59,59,1/2,21/2,24,8,3,n/a,match
60,62,1/2,21/2,24,8,2,n/a,match
61,71,1/2,21/2,24,8,0,n/a,match
62,55,1/2,11/1,25,8 1/2,3,n/a,match
63,64,1/2,11/1,25,8 1/2,2,n/a,match
64,53,1/4,23/2,26,8 1/1,5,n/a,match
65,57,1/4,23/2,26,8 1/1,3,n/a,match
66,62,1/4,47/4,27,8 5/4,2,n/a,match
67,50,1/2,12/1,28,9,5,n/a,match
68,59,1/2,12/1,28,9,3,n/a,match
69,62,1/2,12/1,28,9,2,n/a,match
70,52,1/4,25/2,29,9 1/2,5,n/a,match
71,62,1/4,25/2,29,9 1/2,3,0,repetition
72,67,1/4,25/2,29,9 1/2,2,n/a,match
73,61,1/8,51/4,30,9 3/4,3,n/a,match
74,59,1/8,103/8,31,9 7/8,3,n/a,match
75,61,1/8,13/1,32,9 1/1,3,n/a,match
76,57,1/8,105/8,33,9 9/8,3,n/a,ornamentation
77,59,1/8,53/4,34,9 5/4,3,n/a,ornamentation
78,61,1/8,107/8,35,9 11/8,3,n/a,ornamentation
79,50,1/2,27/2,36,10,5,n/a,match
80,62,1/2,27/2,36,10,1 and 3,n/a,match
81,65,1/2,27/2,36,10,2,n/a,match
82,62,1/2,14/1,37,10 1/2,1,n/a,match
