note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,55,3/4,0/96,0,1,3,n/a,match
1,55,1/4,3/4,1,1 3/4,3,n/a,match
2,53,1/2,1/1,2,1 1/1,3,n/a,match
3,58,1/2,3/2,3,1 3/2,3,n/a,match
4,58,1/4,2/1,4,2,3,n/a,match
5,57,1/4,9/4,5,2 1/4,3,n/a,ornamentation
6,58,1/8,5/2,6,2 1/2,3,0,repetition
7,57,1/8,21/8,7,2 5/8,3,n/a,ornamentation
8,55,1/8,11/4,8,2 3/4,3,n/a,ornamentation
9,57,1/8,23/8,9,2 7/8,3,n/a,ornamentation
10,55,3/4,3/1,10,2 1/1,2,n/a,match
11,58,3/4,3/1,10,2 1/1,3,n/a,match
12,55,1/4,15/4,11,2 7/4,2,n/a,match
13,58,1/4,15/4,11,2 7/4,3,0,repetition
14,53,1/2,4/1,12,3,2,n/a,match
15,57,1/2,4/1,12,3,3,1,adaptation
16,50,1/2,9/2,13,3 1/2,3,4,adaptation
17,58,1/2,9/2,13,3 1/2,2,n/a,match
18,48,1/4,5/1,14,3 1/1,3,n/a,match
19,58,1/8,21/4,15,3 5/4,2,n/a,ornamentation
20,57,1/8,43/8,16,3 11/8,2,n/a,ornamentation
21,58,1/8,11/2,17,3 3/2,2,0,repetition
22,57,1/8,45/8,18,3 13/8,2,n/a,ornamentation
23,55,1/8,23/4,19,3 7/4,2,n/a,ornamentation
24,57,1/8,47/8,20,3 15/8,2,n/a,ornamentation
25,46,1/4,6/1,21,4,3,n/a,match
26,58,1/4,6/1,21,4,2,n/a,match
27,62,1/4,6/1,21,4,1,n/a,match
28,60,1/4,25/4,22,4 1/4,2,2,adaptation
29,62,1/4,13/2,23,4 1/2,1,0,repetition
30,58,1/4,27/4,24,4 3/4,2,0,repetition
31,53,1/4,7/1,25,4 1/1,3,n/a,match
32,57,1/4,7/1,25,4 1/1,2,1,adaptation
33,60,1/4,7/1,25,4 1/1,1,n/a,match
34,62,1/4,29/4,26,4 5/4,1,n/a,ornamentation
35,64,1/4,15/2,27,4 3/2,1,4,adaptation
36,65,1/4,31/4,28,4 7/4,0,n/a,ornamentation
37,48,1/4,8/1,29,5,3,2,adaptation
38,55,1/4,8/1,29,5,2,2,adaptation
39,67,1/4,8/1,29,5,0,n/a,match
40,65,1/4,33/4,30,5 1/4,0,n/a,ornamentation
41,67,1/4,17/2,31,5 1/2,0,0,repetition
42,64,1/4,35/4,32,5 3/4,1,0,repetition
43,53,1/2,9/1,33,5 1/1,3,5,adaptation
44,57,1/2,9/1,33,5 1/1,2,n/a,match
45,65,1/2,9/1,33,5 1/1,0 and 1,n/a,match
46,55,1/2,19/2,34,5 3/2,3,5,adaptation
47,58,1/2,19/2,34,5 3/2,2,n/a,match
48,70,1/2,19/2,34,5 3/2,0,n/a,match
49,53,1/4,10/1,35,6,3,n/a,match
50,60,1/4,10/1,35,6,2,n/a,match
51,69,1/4,10/1,35,6,0,1,adaptation
52,67,1/4,41/4,36,6 1/4,0,n/a,ornamentation
53,53,1/4,21/2,37,6 1/2,3,0,repetition
54,60,1/4,21/2,37,6 1/2,2,0,repetition
55,70,1/4,21/2,37,6 1/2,0,0,repetition
56,69,1/4,43/4,38,6 3/4,0,n/a,ornamentation
57,46,1/2,11/1,39,6 1/1,3,n/a,match
58,58,1/2,11/1,39,6 1/1,2,n/a,match
59,70,1/2,11/1,39,6 1/1,0,n/a,match
60,53,1/4,23/2,40,6 3/2,1,n/a,ornamentation
61,69,1/4,47/4,41,6 7/4,1,n/a,ornamentation
62,46,1/2,12/1,42,7,3,0,repetition
63,58,1/2,12/1,42,7,2,0,repetition
64,65,1/2,12/1,42,7,1,n/a,match
65,53,1/4,25/2,43,7 1/2,1,n/a,ornamentation
