note,pitch,duration,chord,bar,mapped voice,cost,category
0,67,1/1,0,1,1,n/a,match
1,67,1/1,0,1,0,n/a,match
2,67,1/2,1,1 1/1,1,0,repetition
3,67,1/2,1,1 1/1,0,0,repetition
4,67,1/2,2,1 3/2,1,0,repetition
5,67,1/2,2,1 3/2,0,0,repetition
6,55,1/8,3,2,2,n/a,match
7,67,1/8,3,2,0 and 1,n/a,match
8,65,1/8,4,2 1/8,0,n/a,ornamentation
9,64,1/8,5,2 1/4,0,n/a,ornamentation
10,62,1/8,6,2 3/8,0,n/a,ornamentation
11,64,1/16,7,2 1/2,0,n/a,ornamentation
12,62,1/16,8,2 9/16,0,n/a,ornamentation
13,64,1/16,9,2 5/8,0,n/a,ornamentation
14,65,1/16,10,2 11/16,0,n/a,ornamentation
15,67,1/8,11,2 3/4,0,n/a,ornamentation
16,69,1/8,12,2 7/8,0,n/a,ornamentation
17,55,1/4,13,2 1/1,2,0,repetition
18,67,1/4,13,2 1/1,1,n/a,match
19,70,1/4,13,2 1/1,0,n/a,match
20,43,1/4,14,2 5/4,2,n/a,ornamentation
21,55,1/4,15,2 3/2,2,0,repetition
22,67,1/4,15,2 3/2,1,0,repetition
23,69,1/4,15,2 3/2,0,1,adaptation
24,67,1/4,16,2 7/4,1,n/a,ornamentation
25,55,1/4,17,3,2,n/a,match
26,67,1/4,17,3,1,0,repetition
27,70,1/4,17,3,0,0,repetition
28,57,1/4,18,3 1/4,2,n/a,ornamentation
29,58,1/4,19,3 1/2,2,3,adaptation
30,70,1/4,19,3 1/2,0,0,repetition
31,60,1/4,20,3 3/4,2,n/a,ornamentation
32,62,1/1,21,3 1/1,2,n/a,match
33,66,1/1,21,3 1/1,1,n/a,ficta
34,69,1/1,21,3 1/1,0,n/a,match
35,55,1/8,22,4,4,n/a,match
36,62,1/8,22,4,2,0,repetition
37,64,1/8,23,4 1/8,4,n/a,ornamentation
38,65,1/8,24,4 1/4,4,n/a,ornamentation
39,64,1/8,25,4 3/8,4,n/a,ornamentation
40,62,1/8,26,4 1/2,4,n/a,ornamentation
41,60,1/8,27,4 5/8,4,n/a,ornamentation
42,59,1/8,28,4 3/4,4,n/a,ornamentation
43,57,1/8,29,4 7/8,4,n/a,ornamentation
44,55,1/4,30,4 1/1,4,0,repetition
45,62,1/4,30,4 1/1,2,n/a,match
46,67,1/4,30,4 1/1,1,n/a,match
47,43,1/4,31,4 5/4,4,n/a,ornamentation
48,52,1/4,32,4 3/2,4,n/a,ornamentation
49,54,1/4,33,4 7/4,4,n/a,ornamentation
50,43,1/4,34,5,5,n/a,match
51,55,1/4,34,5,4,n/a,match
52,67,1/4,34,5,1,n/a,match
53,54,1/4,35,5 1/4,4,n/a,ornamentation
54,55,1/4,36,5 1/2,4,n/a,ornamentation
55,57,1/4,37,5 3/4,4,n/a,ornamentation
56,43,1/2,38,5 1/1,5,0,repetition
57,58,1/2,38,5 1/1,4,n/a,match
58,67,1/2,38,5 1/1,1,n/a,match
59,43,1/2,39,5 3/2,5,0,repetition
60,58,1/2,39,5 3/2,4,0,repetition
61,67,1/2,39,5 3/2,1,0,repetition
62,43,1/8,40,6,5,n/a,match
63,58,1/8,40,6,4,0,repetition
64,67,1/8,40,6,1,0,repetition
65,69,1/8,41,6 1/8,0,n/a,ornamentation
66,70,1/4,42,6 1/4,0,n/a,ornamentation
67,43,1/8,43,6 1/2,5,0,repetition
68,58,1/8,43,6 1/2,4,0,repetition
69,69,1/8,43,6 1/2,0,0,repetition
70,67,1/8,44,6 5/8,1,n/a,ornamentation
71,66,1/8,45,6 3/4,1,n/a,ornamentation
72,64,1/8,46,6 7/8,1,n/a,ornamentation
73,57,1/4,47,6 1/1,4,n/a,match
74,66,1/4,47,6 1/1,1,n/a,ficta
75,50,1/4,48,6 5/4,5,n/a,ornamentation
76,50,1/4,49,6 3/2,5,0,repetition
77,57,1/4,49,6 3/2,4,0,repetition
78,66,1/4,49,6 3/2,1,1,adaptation
79,70,1/4,49,6 3/2,0,1,adaptation
80,72,1/4,50,6 7/4,0,n/a,ornamentation
81,50,1/1,51,7,5,0,repetition
82,62,1/1,51,7,3,n/a,match
83,74,1/1,51,7,0,n/a,match
84,50,1/2,52,7 1/1,5,n/a,match
85,62,1/2,52,7 1/1,3,0,repetition
86,74,1/2,52,7 1/1,0,0,repetition
87,50,1/2,53,7 3/2,5,0,repetition
88,62,1/2,53,7 3/2,3,0,repetition
89,74,1/2,53,7 3/2,0,0,repetition
90,50,1/8,54,8,2,n/a,match
91,62,1/8,54,8,3,n/a,match
92,70,1/8,55,8 1/8,3,n/a,ornamentation
93,69,1/8,56,8 1/4,3,n/a,ornamentation
94,67,1/8,57,8 3/8,3,n/a,ornamentation
95,65,1/8,58,8 1/2,3,n/a,ornamentation
96,64,1/8,59,8 5/8,3,n/a,ornamentation
97,62,1/8,60,8 3/4,3,n/a,ornamentation
98,64,1/8,61,8 7/8,3,n/a,ornamentation
99,50,1/4,62,8 1/1,5,0,repetition
100,65,1/4,62,8 1/1,3,n/a,match
101,69,1/4,63,8 5/4,0,n/a,ornamentation
102,50,1/4,64,8 3/2,5,0,repetition
103,65,1/4,64,8 3/2,3,0,repetition
104,71,1/4,64,8 3/2,0,3,adaptation
105,72,1/4,65,8 7/4,0,n/a,ornamentation
106,50,1/4,66,9,2,n/a,match
107,65,1/4,66,9,3,0,repetition
108,74,1/4,66,9,0,0,repetition
109,60,1/4,67,9 1/4,4,3,adaptation
110,64,1/4,67,9 1/4,3,1,adaptation
111,67,1/4,68,9 1/2,3,2,adaptation
112,74,1/4,68,9 1/2,0,0,repetition
113,65,1/4,69,9 3/4,3,n/a,ornamentation
114,57,1/8,70,9 1/1,2,n/a,match
115,64,1/8,70,9 1/1,3,n/a,match
116,72,1/8,70,9 1/1,0,n/a,match
117,71,1/8,71,9 9/8,0,n/a,ornamentation
118,73,1/8,72,9 5/4,0,n/a,ornamentation
119,74,1/8,73,9 11/8,0,n/a,ornamentation
120,57,1/2,74,9 3/2,4,0,repetition
121,64,1/2,74,9 3/2,3,0,repetition
122,72,1/2,74,9 3/2,0,0,repetition
123,50,1/4,75,10,5,n/a,match
124,53,1/4,75,10,2,4,adaptation
125,57,1/4,75,10,4,n/a,match
126,49,1/4,76,10 1/4,1,n/a,ornamentation
127,50,1/4,77,10 1/2,1,n/a,ornamentation
128,52,1/4,78,10 3/4,1,n/a,ornamentation
129,50,1/2,79,10 1/1,5,0,repetition
130,53,1/2,79,10 1/1,1,n/a,match
131,57,1/2,79,10 1/1,2,n/a,match
132,50,1/2,80,10 3/2,5,0,repetition
133,53,1/2,80,10 3/2,1,0,repetition
134,57,1/2,80,10 3/2,4,0,repetition
135,50,1/8,81,11,5,n/a,match
136,53,1/8,81,11,1,n/a,match
137,57,1/8,81,11,4,n/a,match
138,52,1/8,82,11 1/8,4,n/a,ornamentation
139,53,1/8,83,11 1/4,4,n/a,ornamentation
140,55,1/8,84,11 3/8,4,n/a,ornamentation
141,57,1/8,85,11 1/2,4,n/a,ornamentation
142,54,1/8,86,11 5/8,4,n/a,ornamentation
143,55,1/8,87,11 3/4,4,n/a,ornamentation
144,57,1/8,88,11 7/8,4,n/a,ornamentation
145,50,1/2,89,11 1/1,5,n/a,match
146,53,1/2,89,11 1/1,1,n/a,match
147,58,1/2,89,11 1/1,4,n/a,match
148,50,1/2,90,11 3/2,5,0,repetition
149,53,1/2,90,11 3/2,1,0,repetition
150,58,1/2,90,11 3/2,4,0,repetition
151,50,1/8,91,12,5,0,repetition
152,53,1/8,91,12,1,0,repetition
153,58,1/8,91,12,4,0,repetition
154,62,1/8,92,12 1/8,2,n/a,ornamentation
155,60,1/8,93,12 1/4,2,n/a,ornamentation
156,58,1/8,94,12 3/8,2,n/a,ornamentation
157,50,1/4,95,12 1/2,5,0,repetition
158,53,1/4,95,12 1/2,1,0,repetition
159,57,1/4,95,12 1/2,2,0,repetition
160,55,1/4,96,12 3/4,4,n/a,ornamentation
161,45,1/4,97,12 1/1,5,n/a,match
162,52,1/4,97,12 1/1,1,n/a,match
163,57,1/4,97,12 1/1,4,n/a,match
164,43,1/4,98,12 5/4,5,n/a,ornamentation
165,48,1/4,99,12 3/2,5,3,adaptation
166,52,1/4,99,12 3/2,1,0,repetition
167,57,1/4,99,12 3/2,4,0,repetition
168,47,1/4,100,12 7/4,5,n/a,ornamentation
169,48,1/4,101,13,5,n/a,match
170,64,1/4,101,13,3,n/a,match
171,57,1/4,102,13 1/4,1,n/a,ornamentation
172,53,1/4,103,13 1/2,1,1,adaptation
173,55,1/4,104,13 3/4,4,n/a,ornamentation
174,57,1/4,105,13 1/1,4,n/a,match
175,64,1/4,105,13 1/1,3,0,repetition
176,48,1/4,106,13 5/4,5,n/a,ornamentation
177,45,1/4,107,13 3/2,5,n/a,ornamentation
178,47,1/4,108,13 7/4,5,n/a,ornamentation
179,48,1/2,109,14,5,n/a,match
180,52,1/2,109,14,1,n/a,match
181,55,1/2,109,14,4,n/a,match
182,64,1/2,109,14,3,n/a,match
183,72,1/2,109,14,0,n/a,match
184,48,1/2,110,14 1/2,5,0,repetition
185,52,1/2,110,14 1/2,1,0,repetition
186,55,1/2,110,14 1/2,4,0,repetition
187,72,1/2,110,14 1/2,0,n/a,match
188,50,1/2,111,14 1/1,1 and 5,n/a,match
189,53,1/2,111,14 1/1,4,n/a,match
190,65,1/2,111,14 1/1,3,n/a,match
191,69,1/2,111,14 1/1,0,n/a,match
192,62,1/8,112,14 3/2,3,3,adaptation
193,64,1/8,113,14 13/8,0,n/a,ornamentation
194,65,1/8,114,14 7/4,0,n/a,ornamentation
195,67,1/8,115,14 15/8,0,n/a,ornamentation
196,50,1/4,116,15,5,0,repetition
197,53,1/4,116,15,2,n/a,match
198,62,1/4,116,15,1,n/a,match
199,69,1/4,116,15,0,0,repetition
200,65,1/4,117,15 1/4,1,n/a,ornamentation
201,50,1/4,118,15 1/2,2,n/a,match
202,53,1/4,118,15 1/2,4,0,repetition
203,62,1/4,118,15 1/2,1,0,repetition
204,69,1/4,118,15 1/2,0,0,repetition
205,71,1/4,119,15 3/4,0,n/a,ornamentation
206,45,1/4,120,15 1/1,5,n/a,match
207,57,1/4,120,15 1/1,2,n/a,match
208,60,1/4,120,15 1/1,1,n/a,match
209,64,1/4,120,15 1/1,3,n/a,match
210,72,1/4,120,15 1/1,0,n/a,match
211,59,1/4,121,15 5/4,3,n/a,ornamentation
212,60,1/4,122,15 3/2,3,n/a,ornamentation
213,62,1/4,123,15 7/4,3,n/a,ornamentation
214,48,1/8,124,16,5,n/a,match
215,55,1/8,124,16,2,n/a,match
216,64,1/8,124,16,3,n/a,match
217,53,1/8,125,16 1/8,1,n/a,ornamentation
218,55,1/8,126,16 1/4,1,n/a,ornamentation
219,57,1/8,127,16 3/8,1,n/a,ornamentation
220,43,1/8,128,16 1/2,5,n/a,match
221,58,1/8,128,16 1/2,1,n/a,match
222,62,1/8,128,16 1/2,3,n/a,match
223,64,1/8,129,16 5/8,3,n/a,ornamentation
224,65,1/4,130,16 3/4,3,n/a,ornamentation
