note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,48,1/1,0/96,0,1,4,12,adaptation
1,60,1/1,0/96,0,1,2 and 4,n/a,match
2,48,1/4,1/1,1,1 1/1,2,12,adaptation
3,60,1/4,1/1,1,1 1/1,4,n/a,match
4,72,1/4,1/1,1,1 1/1,0,n/a,match
5,62,1/8,5/4,2,1 5/4,0,n/a,ornamentation
6,64,1/8,11/8,3,1 11/8,0,n/a,ornamentation
7,65,1/8,3/2,4,1 3/2,0,n/a,ornamentation
8,67,1/8,13/8,5,1 13/8,0,n/a,ornamentation
9,69,1/8,7/4,6,1 7/4,0,n/a,ornamentation
10,71,1/8,15/8,7,1 15/8,0,n/a,ornamentation
11,57,1/4,2/1,8,2,4,n/a,match
12,60,1/4,2/1,8,2,2,0,repetition
13,72,1/4,2/1,8,2,0,n/a,match
14,55,1/4,9/4,9,2 1/4,4,2,adaptation
15,70,1/4,9/4,9,2 1/4,0,2,adaptation
16,53,1/4,5/2,10,2 1/2,4,4,adaptation
17,69,1/4,5/2,10,2 1/2,0,3,adaptation
18,52,1/4,11/4,11,2 3/4,4,5,adaptation
19,67,1/4,11/4,11,2 3/4,0,5,adaptation
20,53,1/4,3/1,12,2 1/1,4,n/a,match
21,60,1/4,3/1,12,2 1/1,2,0,repetition
22,65,1/4,3/1,12,2 1/1,0,4,adaptation
23,69,1/4,3/1,12,2 1/1,0,n/a,match
24,67,1/4,13/4,13,2 5/4,0,n/a,ornamentation
25,65,1/4,7/2,14,2 3/2,0,n/a,ornamentation
26,64,1/4,15/4,15,2 7/4,0,n/a,ornamentation
27,58,1/4,4/1,16,3,4,n/a,match
28,62,1/4,4/1,16,3,2,n/a,match
29,65,1/4,4/1,16,3,0,n/a,match
30,60,1/4,17/4,17,3 1/4,4,n/a,ornamentation
31,58,1/4,9/2,18,3 1/2,4,n/a,ornamentation
32,57,1/4,19/4,19,3 3/4,4,n/a,match
33,55,1/4,5/1,20,3 1/1,4,n/a,match
34,58,1/4,5/1,20,3 1/1,3,n/a,match
35,70,1/4,5/1,20,3 1/1,0,n/a,match
36,64,1/8,21/4,21,3 5/4,2,n/a,ornamentation
37,62,1/8,43/8,22,3 11/8,2,n/a,ornamentation
38,65,1/4,11/2,23,3 3/2,2,3,adaptation
39,64,1/4,23/4,24,3 7/4,2,n/a,ornamentation
40,53,1/2,6/1,25,4,4,n/a,match
41,60,1/2,6/1,25,4,1 and 3,n/a,match
42,65,1/2,6/1,25,4,2,n/a,match
43,69,1/2,6/1,25,4,0,n/a,match
44,57,1/8,13/2,26,4 1/2,3,n/a,match
45,64,1/8,53/8,27,4 5/8,0,n/a,ornamentation
46,65,1/8,27/4,28,4 3/4,0,n/a,match
47,67,1/8,55/8,29,4 7/8,0,n/a,ornamentation
48,53,1/8,7/1,30,4 1/1,4,0,repetition
49,57,1/8,7/1,30,4 1/1,3,0,repetition
50,60,1/8,7/1,30,4 1/1,1,n/a,match
51,65,1/8,7/1,30,4 1/1,0,n/a,match
52,71,1/8,57/8,31,4 9/8,2,n/a,ornamentation
53,72,1/8,29/4,32,4 5/4,2,n/a,ornamentation
54,71,1/8,59/8,33,4 11/8,2,n/a,ornamentation
55,69,1/8,15/2,34,4 3/2,2,4,adaptation
56,67,1/8,61/8,35,4 13/8,2,n/a,ornamentation
