ornament,voice,bar,pitch
Q -10 E 2 E 1 E 2 E 2 E 2 E 1 Q,0,1 5/4,62
Q 2 Q -2 Q -1 Q 1 Q,0,2 5/4,67
Q 2 Q -2 Q -1 Q,4,3 1/4,60
R 0 E -2 E 3 Q,2,3 5/4,64
Q -1 Q,2,3 7/4,64
R 0 E,0,4 5/8,64
E 2 E,0,4 7/8,67
R 0 E 1 E -1 E -2 E,2,4 9/8,71
E -2 E,2,4 13/8,67
E -1 E,2,4 15/8,64
E -2 E 2 E 1 E -1 Q,1,5 1/8,55
R 0 Q,3,6 1/4,57
R 0 Q 1 E -1 E -2 E 2 E 1 Q,2,6 5/4,64
Q -1 Q 1 Q 2 Q -2 Q,3,7 1/4,52
Q -1 Q,4,7 5/4,52
R 0 Q,3,7 7/4,48
R 0 Q 2 Q 2 Q 1 Q,0,8 1/4,60
Q 2 Q 2 Q 2 Q 1 Q,4,8 5/4,48
Q -2 Q 2 Q 1 Q,0,9 1/4,67
Q 2 Q -2 Q -1 Q -2 H,4,9 5/4,55
R 0 Q,4,10 3/4,52
R 0 Q,2,10 7/4,74
R 0 E 2 E 2 E 1 Q,0,11 1/8,72
Q -16 Q 2 Q -3 Q 1 E 14 E 2 E 1 E -1 H,0,11 5/4,60
Q -4 Q,0,12 5/4,72
Q 2 Q,0,12 7/4,76
Q -3 Q,3,13 7/4,55
Q -2 Q -2 Q -1 Q -2 E,3,14 5/4,55
E 2 E 1 E -1 E -2 E,0,15 1/8,76
R 0 E -2 E -1 E -4 Q,2,15 5/8,72
Q -2 Q,1,15 5/4,60
R 0 E 1 E 2 E -2 Q,2,15 13/8,64
Q 2 Q,2,16 1/4,67
Q -1 Q,2,16 3/4,64
Q -7 E 2 E 1 E 2 E 2 E 2 E 1 Q,0,16 5/4,62
Q 5 Q -2 Q -1 Q 1 E,1,17 1/4,62
E -1 E 1 E -3 E 5 E -2 E 2 S -2 S -2 S -1 S -2 Q,0,17 9/8,71
R 0 Q,2,18 1/4,64
Q 2 Q,1,18 3/4,62
E -10 E 2 E 1 E 2 Q,1,18 9/8,50
R 0 Q,2,18 7/4,57
E. 7 S 2 E. -14 S 2 E.,1,19 3/16,72
R 0 S,0,19 11/16,72
R 0 S,2,19 15/16,57
E. 19 S -2 E. -14 S 2 E,3,19 19/16,69
R 0 E -4 E 2 E -2 Q,4,19 13/8,57
Q 1 E 2 E 0 Q,0,20 1/4,70
Q 2 E -2 E -3 Q,0,20 3/4,74
Q -12 E 15 E 2 E,0,20 5/4,57
E -2 E -2 E -1 E -2 H,0,20 13/8,72
H -2 Q,3,21 1/2,58
Q 1 Q,2,21 5/4,65
Q 7 Q,2,22 5/4,67
R 0 E 1 E 2 E 2 Q,1,23 1/8,64
Q -4 Q,1,23 3/4,65
Q -4 Q,1,23 5/4,58
Q -3 Q,1,23 7/4,57
Q 4 Q,0,24 1/4,74
R 0 E -1 E -2 E -2 E,1,25 1/8,72
R 0 E -1 E -2 E 5 E,0,25 5/8,65
E 3 E 2 E 2 E -2 E,0,25 9/8,70
E 5 E -1 E -2 E 2 Q,1,25 13/8,58
R 0 Q,4,27 3/4,46
R 0 Q,4,28 1/4,48
R 0 Q,3,28 3/4,52
E -2 E 2 E 1 E -1 Q,4,28 9/8,55
R 0 Q,1,28 7/4,55
R 0 Q,4,29 1/4,53
R 0 Q,3,29 3/4,52
Q -1 Q,0,29 5/4,64
R 0 E 2 E -11 E 2 Q,1,29 13/8,67
Q -3 Q,1,30 1/4,57
R 0 Q,4,30 3/4,64
Q 5 Q,0,30 5/4,74
Q -2 Q,0,30 7/4,70
R 0 Q,3,31 1/4,62
R 0 Q,2,31 3/4,58
E 2 E 2 E 1 E 2 E,0,31 9/8,67
E 5 E -1 E -2 E -2 H,1,31 13/8,70
R 0 Q,3,32 5/4,53
R 0 Q,2,32 7/4,57
Q 0 Q,4,33 5/4,46
Q 2 Q,4,33 7/4,50
R 0 Q,0,34 1/4,70
Q 2 Q,3,34 7/4,60
E 2 E 1 E 2 E -2 H,0,35 5/8,69
Q -1 E 1 E 2 E -2 E -1 E -2 E 2 Q,0,36 5/4,69
R 0 Q,3,37 1/4,55
R 0 Q,2,37 3/4,58
Q -2 Q,4,37 7/4,50
Q 0 Q,3,38 1/4,60
Q 10 E -2 E -1 E -2 E -2 E -1 E -2 Q,2,39 1/4,67
R 0 Q,3,39 5/4,48
R 0 Q -3 Q 2 Q -4 Q,2,39 7/4,60
Q -3 Q,4,40 3/4,45
Q -5 Q 1 Q 2 Q 2 Q,2,40 5/4,52
R 0 Q,4,41 5/4,48
R 0 Q,2,41 7/4,55
R 0 Q,3,42 1/4,53
Q 2 Q,3,42 3/4,52
Q -2 Q 2 Q 1 Q,3,42 5/4,50
Q 5 S -2 S -1 S -2 S 2 E -4 E 7 Q -2 Q -5 Q 2 Q,3,43 1/4,60
Q -3 Q,3,43 7/4,52
Q -2 Q,4,44 3/4,47
Q 2 Q,2,44 5/4,59
Q -1 Q,1,44 7/4,61
H -8 Q 2 Q 1 Q 2 Q 2 E,3,45 1/2,50
E 5 E 2 E -3 E 1 Q,1,45 13/8,65
Q -2 Q,4,46 1/4,48
Q 2 Q,4,46 3/4,52
Q -1 Q,1,46 3/2,64
Q -1 Q 1 Q 2 Q -2 Q,4,47 1/4,47
Q -2 Q,1,47 5/4,62
R 0 Q,3,47 7/4,59
Q -2 Q,3,48 1/4,58
R 0 Q,2,48 3/4,55
R 0 S 2 E. -2 S -2 E.,0,48 19/16,67
R 0 S 1 E 2 E -2 E.,1,48 27/16,52
E. 14 S 1 E. -17 S 2 E.,3,49 3/16,71
R 0 S,1,49 11/16,52
E 2 E,1,49 7/8,55
E -2 E 2 E 2 E -2 Q,0,50 1/8,70
Q -2 Q,0,50 3/4,70
Q -2 Q,0,50 5/4,67
Q 2 Q,0,50 7/4,69
R 0 Q,0,51 5/4,65
Q -1 Q,0,51 7/4,64
Q 2 Q,0,52 1/4,67
Q 2 Q,0,52 3/4,71
Q 2 Q,0,52 5/4,74
Q -1 Q,0,52 7/4,71
Q -2 Q,0,53 1/4,70
Q -2 Q,0,53 3/4,67
Q -4 Q,0,53 5/4,65
Q 2 Q,0,53 7/4,69
E 2 E,0,54 1/8,69
E -1 E,0,54 3/8,69
R 0 E -1 E -2 E -2 Q,3,54 5/8,65
R 0 Q,0,54 5/4,64
R 0 Q,1,54 7/4,67
Q 7 Q -2 Q -1 Q -4 Q,4,55 1/4,67
Q 4 E -2 E -2 E,4,55 5/4,64
E -1 E -2 E -2 E 2 Q,4,55 13/8,59
Q -1 Q,4,56 5/4,52
Q 2 Q,4,56 7/4,55
Q -1 Q,3,57 5/4,52
Q 2 Q,3,57 7/4,55
E -5 E 2 E 2 E 1 E 2 E 2 E -4 E 2 Q,1,58 1/8,55
Q -2 Q,3,58 5/4,55
R 0 Q,1,59 7/4,55
R 0 E,0,60 1/8,67
E 1 E,0,60 3/8,70
Q -1 Q,0,60 5/4,64
Q 2 Q,0,60 7/4,67
Q -2 Q 2 Q 1 Q,0,61 1/4,67
R 0 Q,0,61 7/4,70
Q 2 Q,0,62 1/4,67
Q 1 Q,1,62 5/4,58
Q -1 Q,4,62 7/4,52
E -5 E 1 E 2 E 2 Q,0,63 1/8,64
Q -2 Q,3,63 3/4,58
Q 3 Q,0,63 5/4,72
Q -1 Q,0,63 7/4,69
Q -2 Q 2 Q 1 Q -1 H,2,64 1/4,62
Q -1 Q,4,65 1/4,52
Q -3 Q,4,65 3/4,50
Q -2 Q,4,66 1/4,55
Q -4 Q 2 Q 2 Q -2 H,4,66 5/4,48
R 0 Q,1,67 7/4,67
R 0 E 1 E 2 E 2 Q,0,68 1/8,64
E 5 E 1 E 2 E -2 Q,1,68 9/8,69
R 0 Q,3,68 7/4,64
E 2 E 1 E 2 E 2 Q,0,69 1/8,71
Q -2 Q,1,69 3/4,62
E -3 E 1 E 2 E -2 Q,0,70 1/8,69
Q -3 Q,2,70 5/4,52
R 0 Q,3,70 7/4,55
R 0 Q,1,71 5/4,63
R 0 Q,2,71 7/4,62
Q -1 Q,1,72 1/4,59
R 0 Q,2,72 3/4,62
Q -1 Q,4,73 3/4,45
E -2 E 2 E 2 E 1 E,2,73 9/8,60
R 0 E 2 E 1 E 2 Q,0,73 13/8,67
Q -1 Q,2,74 1/4,59
Q 2 Q,4,74 7/4,47
R 0 Q,0,75 1/4,72
R 0 Q,3,75 5/4,50
Q 1 Q,3,75 7/4,53
Q -1 Q,0,76 1/4,66
Q 7 Q,0,76 5/4,74
Q -2 Q,0,76 7/4,70
R 0 Q,4,77 1/4,48
Q 2 Q,4,77 3/4,52
Q 5 Q,1,77 5/4,67
Q -1 Q,1,77 7/4,64
Q 5 Q,2,78 1/4,62
R 0 Q,0,78 5/4,64
Q -3 Q,0,78 7/4,62
Q 2 Q,2,79 1/4,57
R 0 Q,1,79 3/4,60
Q 2 Q,3,80 3/4,55
E 3 E,1,80 15/8,65
Q -1 Q,4,81 7/4,52
Q 1 Q,0,82 1/4,70
Q -3 Q,0,82 3/4,69
Q 2 Q,4,82 5/4,57
Q 3 Q,0,83 7/4,70
Q 1 Q,0,84 1/4,70
Q -3 Q,0,84 3/4,69
