note,pitch,chord,bar,mapped voice,cost,category
2,64,2,1 3/2,1,0,repetition
3,64,3,2,1,0,repetition
5,61,5,2 3/4,0,1,ficta
7,60,7,2 7/4,3,n/a,ornamentation
8,59,8,2 15/8,3,n/a,ornamentation
12,57,11,3 1/1,3,0,repetition
15,69,12,4,0,0,repetition
17,66,14,4 3/4,0,1,ficta
18,58,15,4 1/1,3,0,repetition
20,69,16,4 5/4,0,2,other
21,67,17,4 7/4,0,n/a,ornamentation
25,57,19,5 1/2,3,0,repetition
26,50,20,5 1/1,4,0,repetition
28,57,20,5 1/1,2,0,repetition
29,69,20,5 1/1,0,0,repetition
30,55,21,5 11/8,2,n/a,ornamentation
31,57,22,5 3/2,2,0,repetition
32,55,23,5 13/8,2,n/a,ornamentation
33,57,24,5 7/4,2,n/a,ornamentation
34,59,25,5 15/8,2,n/a,ornamentation
38,62,27,6 1/8,2,n/a,ornamentation
39,64,28,6 1/4,2,n/a,ornamentation
40,65,29,6 3/8,2,n/a,ornamentation
41,67,30,6 1/2,2,n/a,ornamentation
42,65,31,6 5/8,2,n/a,ornamentation
43,64,32,6 3/4,2,n/a,ornamentation
44,62,33,6 7/8,2,n/a,ornamentation
46,55,34,6 1/1,3,0,repetition
49,62,35,6 5/4,1,n/a,ornamentation
50,64,36,6 11/8,1,n/a,ornamentation
52,65,37,6 3/2,1,1,other
53,64,38,6 13/8,3,n/a,ornamentation
54,62,39,6 7/4,3,n/a,ornamentation
55,60,40,6 15/8,3,n/a,ornamentation
57,59,41,7,3,2,ficta
60,57,42,7 1/4,3,n/a,ornamentation
62,59,43,7 1/2,3,1,other
63,60,44,7 3/4,1,n/a,ornamentation
65,59,45,7 1/1,1,3,ficta
68,60,46,7 3/2,2,2,other
73,67,48,8,0,0,repetition
77,57,51,8 1/1,3,0,repetition
78,62,51,8 1/1,1,0,repetition
80,67,52,8 5/4,1,n/a,ornamentation
81,50,53,8 3/2,4,0,repetition
82,57,53,8 3/2,3,0,repetition
83,62,53,8 3/2,1,0,repetition
84,66,54,8 7/4,0,n/a,ornamentation
86,50,55,9,2,0,repetition
91,55,56,9 1/1,3,0,repetition
92,67,56,9 1/1,0,0,repetition
93,55,57,9 3/2,3,0,repetition
94,47,58,10,4,1,ficta
95,54,58,10,3,1,ficta
96,55,59,10 1/4,3,n/a,ornamentation
97,54,60,10 1/2,3,1,other
99,50,61,10 1/1,3,5,other
101,55,62,10 3/2,3,0,repetition
103,55,63,11,3,0,repetition
104,52,64,11 1/2,3,0,repetition
105,55,64,11 1/2,2,0,repetition
106,59,64,11 1/2,1,1,other
107,61,65,11 3/4,1,1,other
111,59,67,11 5/4,3,n/a,ornamentation
112,60,68,11 11/8,3,n/a,ornamentation
113,50,69,11 3/2,4,0,repetition
114,53,69,11 3/2,3,0,repetition
115,59,70,11 7/4,2,n/a,ornamentation
119,55,72,12 1/2,3,0,repetition
122,57,73,12 1/1,2,3,other
123,60,74,12 3/2,2,0,repetition
124,59,75,12 7/4,2,n/a,ornamentation
126,54,76,13,3,2,ficta
128,55,77,13 1/4,2,n/a,ornamentation
129,50,78,13 1/2,4,0,repetition
130,57,78,13 1/2,2,0,repetition
131,54,79,13 3/4,2,n/a,ornamentation
134,59,80,13 1/1,1,3,other
137,52,83,13 15/8,2,n/a,ornamentation
139,55,84,14,4,0,repetition
141,62,84,14,1,0,repetition
144,50,87,14 1/1,2,0,repetition
146,57,87,14 1/1,3,0,repetition
147,62,87,14 1/1,1,0,repetition
148,55,88,14 5/4,4,n/a,ornamentation
149,57,89,14 3/2,4,n/a,ornamentation
150,54,90,14 7/4,4,n/a,ornamentation
152,62,91,15,1,0,repetition
155,55,93,15 1/1,3,0,repetition
159,59,94,15 3/2,1,1,other
160,61,95,15 7/4,2,n/a,ornamentation
163,66,96,16,0,2,ficta
164,67,97,16 1/4,2,n/a,ornamentation
165,50,98,16 1/2,4,0,repetition
166,57,98,16 1/2,2,0,repetition
167,66,99,16 3/4,0,n/a,ornamentation
169,55,100,16 1/1,3,0,repetition
172,60,101,16 5/4,2,n/a,ornamentation
173,59,102,16 3/2,2,0,repetition
178,59,104,17 3/8,2,n/a,ornamentation
179,60,105,17 1/2,2,n/a,ornamentation
180,59,106,17 5/8,2,n/a,ornamentation
181,57,107,17 3/4,2,3,other
182,55,108,17 7/8,2,n/a,ornamentation
186,57,110,17 3/2,2,0,repetition
199,61,118,19,0,1,ficta
202,61,121,19 3/4,0,3,ficta
211,48,127,20 3/4,4,0,repetition
215,50,129,20 5/4,3,n/a,ornamentation
216,52,130,20 3/2,3,0,repetition
217,55,130,20 3/2,2,0,repetition
218,48,131,20 7/4,3,n/a,ornamentation
221,57,132,21,1,7,other
223,57,133,21 1/2,2,4,other
224,50,134,21 1/1,4,0,repetition
226,69,134,21 1/1,0,0,repetition
227,67,135,21 11/8,0,n/a,ornamentation
228,69,136,21 3/2,0,0,repetition
229,67,137,21 13/8,0,n/a,ornamentation
230,69,138,21 7/4,0,n/a,ornamentation
231,71,139,21 15/8,0,n/a,ornamentation
233,52,140,22,2,5,other
237,53,142,22 3/4,2,n/a,ornamentation
240,57,143,22 1/1,3,0,repetition
246,58,145,23 1/2,3,0,repetition
249,58,146,23 1/1,3,0,repetition
250,74,146,23 1/1,0,0,repetition
256,65,149,24 1/4,0,n/a,ornamentation
257,67,150,24 3/8,0,n/a,ornamentation
258,69,151,24 1/2,0,0,repetition
259,67,152,24 5/8,0,n/a,ornamentation
260,69,153,24 3/4,0,n/a,ornamentation
261,71,154,24 7/8,0,n/a,ornamentation
264,57,155,24 1/1,3,0,repetition
266,60,156,24 3/2,1,0,repetition
271,55,158,25 1/2,3,0,repetition
272,46,159,25 1/1,4,1,other
273,50,159,25 1/1,2,0,repetition
274,55,159,25 1/1,3,0,repetition
281,55,162,26 1/2,3,0,repetition
285,55,164,26 5/4,3,n/a,ornamentation
286,54,165,26 3/2,3,1,other
291,53,167,27 3/4,3,n/a,ornamentation
292,52,168,27 7/8,3,n/a,ornamentation
293,43,169,27 1/1,4,0,repetition
294,50,169,27 1/1,3,5,other
296,71,169,27 1/1,0,0,repetition
299,55,171,28,3,0,repetition
301,69,172,28 1/4,0,n/a,ornamentation
302,71,173,28 1/2,0,0,repetition
304,43,175,28 1/1,4,0,repetition
306,59,175,28 1/1,1,3,other
319,67,181,29 1/1,0,0,repetition
322,55,183,30,3,0,repetition
323,67,183,30,0,0,repetition
327,59,186,30 3/4,2,n/a,ornamentation
328,57,187,30 7/8,2,n/a,ornamentation
331,59,188,30 1/1,2,1,other
332,60,189,30 5/4,2,0,repetition
333,59,190,30 7/4,2,n/a,ornamentation
337,55,192,31 1/2,3,0,repetition
342,64,194,31 3/2,1,0,repetition
347,48,196,32 3/4,4,2,other
350,56,197,32 1/1,3,3,ficta
353,57,198,32 5/4,3,n/a,ornamentation
354,56,199,32 3/2,3,1,other
358,60,201,33 1/2,2,0,repetition
359,45,202,33 1/1,4,0,repetition
360,52,202,33 1/1,2,8,other
361,57,202,33 1/1,3,0,repetition
370,50,208,34 1/1,4,0,repetition
371,53,208,34 1/1,3,4,other
372,57,208,34 1/1,2,0,repetition
376,59,210,34 7/4,3,n/a,ornamentation
380,69,211,35,0,0,repetition
385,55,214,35 1/1,3,2,other
387,48,215,35 3/2,4,0,repetition
388,57,215,35 3/2,3,0,repetition
396,58,218,36 1/1,3,0,repetition
406,57,223,37 1/1,1,3,other
416,55,229,38 1/1,3,0,repetition
423,55,233,39 3/4,3,n/a,ornamentation
424,57,234,39 7/8,3,n/a,ornamentation
430,57,236,39 3/2,3,1,other
432,55,237,39 7/4,3,n/a,ornamentation
434,66,238,40,1,4,ficta
441,50,241,40 1/1,2,0,repetition
442,55,241,40 1/1,3,0,repetition
456,55,247,41 1/1,3,0,repetition
460,54,250,42,3,1,ficta
