note,pitch,chord,bar,mapped voice,cost,category
2,57,2,2,3,0,repetition
13,64,8,3 1/16,1,n/a,ornamentation
14,65,9,3 1/8,1,n/a,ornamentation
15,67,10,3 3/16,1,n/a,ornamentation
16,65,11,3 1/4,1,n/a,ornamentation
17,67,12,3 3/8,1,n/a,ornamentation
18,50,13,3 1/2,3,0,repetition
20,65,13,3 1/2,1,0,repetition
21,64,14,3 5/8,1,n/a,ornamentation
22,65,15,3 3/4,1,0,repetition
23,64,16,3 13/16,1,n/a,ornamentation
25,60,18,3 15/16,1,n/a,ornamentation
37,69,25,5 3/16,0,n/a,ornamentation
38,67,26,5 1/4,0,n/a,ornamentation
39,65,27,5 5/16,0,n/a,ornamentation
40,64,28,5 3/8,0,n/a,ornamentation
41,65,29,5 13/32,0,n/a,ornamentation
42,67,30,5 7/16,0,n/a,ornamentation
43,69,31,5 15/32,0,n/a,ornamentation
46,70,32,5 1/2,0,0,repetition
47,69,33,5 5/8,0,n/a,ornamentation
48,70,34,5 3/4,0,0,repetition
49,69,35,5 13/16,0,n/a,ornamentation
51,65,37,5 15/16,0,n/a,ornamentation
55,65,39,6 1/8,1,n/a,ornamentation
56,55,40,6 1/4,3,0,repetition
58,67,41,6 3/8,3,n/a,ornamentation
60,64,43,6 9/16,1,n/a,ornamentation
61,62,44,6 5/8,1,n/a,ornamentation
62,60,45,6 11/16,1,n/a,ornamentation
63,64,46,6 3/4,1,0,repetition
64,62,47,6 13/16,2,n/a,ornamentation
65,60,48,6 7/8,2,n/a,ornamentation
66,62,49,6 15/16,2,n/a,ornamentation
70,52,51,7 1/2,3,0,repetition
80,69,55,8 1/2,0,0,repetition
81,68,56,8 5/8,0,n/a,ornamentation
82,69,57,8 3/4,0,0,repetition
83,68,58,8 13/16,0,n/a,ornamentation
84,66,59,8 7/8,0,n/a,ornamentation
85,68,60,8 15/16,0,n/a,ornamentation
104,67,68,11 3/16,0,n/a,ornamentation
105,65,69,11 1/4,0,n/a,ornamentation
106,64,70,11 5/16,0,n/a,ornamentation
107,62,71,11 3/8,0,n/a,ornamentation
108,64,72,11 13/32,0,n/a,ornamentation
109,65,73,11 7/16,0,n/a,ornamentation
110,67,74,11 15/32,0,n/a,ornamentation
111,53,75,11 1/2,3,0,repetition
112,57,75,11 1/2,2,0,repetition
113,69,75,11 1/2,0,0,repetition
124,64,80,12 3/4,0,n/a,ornamentation
125,62,81,12 13/16,0,n/a,ornamentation
126,60,82,12 7/8,0,n/a,ornamentation
127,62,83,12 15/16,0,n/a,ornamentation
131,59,85,13 1/16,0,n/a,ornamentation
132,60,86,13 1/8,0,n/a,ornamentation
133,62,87,13 3/16,0,n/a,ornamentation
134,60,88,13 1/4,0,n/a,ornamentation
136,45,90,13 1/2,3,0,repetition
140,62,92,13 13/16,1,n/a,ornamentation
141,64,93,13 7/8,1,n/a,ornamentation
142,65,94,13 15/16,1,n/a,ornamentation
143,55,95,14,2,2,other
144,59,95,14,0,6,ficta
148,59,98,14 1/2,2,1,other
149,62,98,14 1/2,1,0,repetition
153,65,99,14 3/4,0,2,other
159,64,102,15 1/4,0,2,other
160,62,103,15 5/16,2,n/a,ornamentation
161,60,104,15 3/8,2,n/a,ornamentation
162,62,105,15 7/16,2,n/a,ornamentation
164,62,107,15 9/16,0,n/a,ornamentation
165,61,108,15 5/8,0,n/a,ornamentation
166,59,109,15 11/16,0,n/a,ornamentation
167,62,110,15 3/4,0,0,repetition
168,61,111,15 13/16,0,n/a,ornamentation
169,59,112,15 7/8,0,n/a,ornamentation
170,61,113,15 15/16,0,n/a,ornamentation
174,62,115,16 1/4,0,n/a,ornamentation
179,64,118,16 9/16,0,n/a,ornamentation
180,65,119,16 5/8,0,0,repetition
181,67,120,16 11/16,0,n/a,ornamentation
183,67,122,16 13/16,0,n/a,ornamentation
184,69,123,16 7/8,0,n/a,ornamentation
185,70,124,16 15/16,0,n/a,ornamentation
188,69,125,17,0,0,repetition
189,70,126,17 1/8,0,1,ficta
193,72,128,17 1/2,0,0,repetition
194,70,129,17 5/8,0,n/a,ornamentation
195,69,130,17 11/16,0,n/a,ornamentation
196,70,131,17 3/4,0,2,ficta
197,69,132,17 13/16,0,n/a,ornamentation
198,70,133,17 7/8,0,1,other
199,69,134,17 29/32,0,n/a,ornamentation
200,67,135,17 15/16,0,n/a,ornamentation
201,65,136,17 31/32,0,n/a,ornamentation
206,67,138,18 1/2,0,0,repetition
215,53,144,20,3,0,repetition
220,57,147,20 1/2,3,0,repetition
223,55,148,20 9/16,3,n/a,ornamentation
224,57,149,20 5/8,3,0,repetition
225,59,150,20 11/16,2,n/a,ornamentation
226,60,151,20 3/4,2,0,repetition
227,62,152,20 13/16,1,n/a,ornamentation
228,64,153,20 7/8,1,0,repetition
229,65,154,20 29/32,0,n/a,ornamentation
230,67,155,20 15/16,0,n/a,ornamentation
231,69,156,20 31/32,0,n/a,ornamentation
236,52,159,21 1/2,3,0,repetition
253,64,166,23 1/4,1,0,repetition
257,72,168,23 1/2,0,0,repetition
262,65,172,24 1/4,2,n/a,ornamentation
263,64,173,24 5/16,2,n/a,ornamentation
264,65,174,24 3/8,2,n/a,ornamentation
265,64,175,24 13/32,2,n/a,ornamentation
266,62,176,24 7/16,2,n/a,ornamentation
267,60,177,24 15/32,2,n/a,ornamentation
268,55,178,24 1/2,3,0,repetition
270,71,178,24 1/2,0,0,repetition
271,57,179,24 3/4,3,2,other
272,55,180,24 13/16,3,n/a,ornamentation
273,53,181,24 7/8,3,0,repetition
274,52,182,24 15/16,3,n/a,ornamentation
276,62,183,25,2,0,repetition
280,50,186,25 1/2,3,0,repetition
284,57,188,26,2,5,other
288,64,189,26 1/4,1,0,repetition
289,72,189,26 1/4,0,0,repetition
299,71,193,27,0,0,repetition
315,52,201,28 1/2,3,0,repetition
317,69,202,28 9/16,0,n/a,ornamentation
318,68,203,28 5/8,0,0,repetition
319,66,204,28 11/16,0,n/a,ornamentation
320,68,205,28 3/4,0,1,other
321,69,206,28 13/16,0,n/a,ornamentation
322,66,207,28 7/8,0,5,other
323,68,208,28 15/16,0,n/a,ornamentation
329,69,211,29 1/2,0,0,repetition
344,64,217,31,0,1,other
345,62,218,31 1/8,0,n/a,ornamentation
347,62,220,31 5/16,0,n/a,ornamentation
348,61,221,31 3/8,0,3,other
349,62,222,31 7/16,2,n/a,ornamentation
350,45,223,31 1/2,3,0,repetition
352,62,224,31 9/16,0,n/a,ornamentation
353,61,225,31 5/8,0,0,repetition
354,59,226,31 11/16,0,n/a,ornamentation
355,62,227,31 3/4,0,0,repetition
356,61,228,31 13/16,0,n/a,ornamentation
357,62,229,31 7/8,0,2,other
358,61,230,31 29/32,0,n/a,ornamentation
359,59,231,31 15/16,0,n/a,ornamentation
360,61,232,31 31/32,0,n/a,ornamentation
367,62,236,33 1/4,1,n/a,ornamentation
368,60,237,33 5/16,1,n/a,ornamentation
369,59,238,33 3/8,1,n/a,ornamentation
370,60,239,33 7/16,1,n/a,ornamentation
377,67,242,34 3/16,0,n/a,ornamentation
378,65,243,34 1/4,0,n/a,ornamentation
379,64,244,34 5/16,0,n/a,ornamentation
380,65,245,34 3/8,0,n/a,ornamentation
381,67,246,34 13/32,0,n/a,ornamentation
382,69,247,34 7/16,0,n/a,ornamentation
383,71,248,34 15/32,0,n/a,ornamentation
384,57,249,34 1/2,1,0,repetition
387,71,250,34 5/8,0,n/a,ornamentation
388,69,251,34 3/4,0,n/a,ornamentation
389,72,252,34 7/8,0,n/a,ornamentation
394,62,255,35 1/2,2,0,repetition
406,59,261,36 5/8,1,n/a,ornamentation
407,57,262,36 3/4,1,n/a,ornamentation
408,60,263,36 7/8,1,n/a,ornamentation
412,50,266,37 1/2,3,0,repetition
418,53,268,38,1,0,repetition
428,62,273,38 3/4,2,2,other
429,60,274,38 13/16,1,n/a,ornamentation
430,62,275,38 7/8,1,n/a,ornamentation
431,60,276,38 29/32,1,n/a,ornamentation
432,59,277,38 15/16,1,n/a,ornamentation
433,57,278,38 31/32,1,n/a,ornamentation
441,52,282,39 5/8,3,n/a,ornamentation
442,53,283,39 3/4,3,n/a,ornamentation
443,52,284,39 13/16,3,n/a,ornamentation
444,53,285,39 7/8,3,n/a,ornamentation
445,55,286,39 15/16,3,n/a,ornamentation
447,57,288,40 1/8,3,n/a,ornamentation
448,55,289,40 1/4,3,2,other
449,53,290,40 5/16,3,n/a,ornamentation
450,52,291,40 3/8,3,n/a,ornamentation
451,50,292,40 7/16,3,n/a,ornamentation
454,62,294,40 3/4,1,n/a,ornamentation
455,60,295,40 13/16,1,n/a,ornamentation
456,59,296,40 7/8,1,n/a,ornamentation
457,60,297,40 15/16,1,n/a,ornamentation
461,50,299,41 1/2,3,0,repetition
464,67,300,41 11/16,0,n/a,ornamentation
465,65,301,41 3/4,0,n/a,ornamentation
466,64,302,41 13/16,0,n/a,ornamentation
467,65,303,41 7/8,0,n/a,ornamentation
468,67,304,41 29/32,0,n/a,ornamentation
469,69,305,41 15/16,0,n/a,ornamentation
470,71,306,41 31/32,0,n/a,ornamentation
471,57,307,42,1,0,repetition
474,71,308,42 1/8,0,n/a,ornamentation
475,69,309,42 1/4,0,n/a,ornamentation
476,72,310,42 3/8,0,n/a,ornamentation
479,72,312,42 3/4,0,n/a,ornamentation
480,71,313,42 13/16,0,n/a,ornamentation
481,69,314,42 7/8,0,n/a,ornamentation
482,71,315,42 15/16,0,n/a,ornamentation
483,62,316,43,2,0,repetition
485,60,317,43 1/8,1,n/a,ornamentation
487,64,319,43 3/8,1,2,other
489,69,320,43 1/2,0,0,repetition
493,57,324,44 1/2,3,0,repetition
497,64,325,44 3/4,1,0,repetition
505,62,329,45 1/2,1,0,repetition
508,62,331,45 3/4,1,2,other
509,60,332,45 13/16,2,n/a,ornamentation
510,59,333,45 7/8,2,n/a,ornamentation
511,57,334,45 15/16,2,n/a,ornamentation
513,59,335,46,2,2,other
515,66,336,46 1/16,0,n/a,ornamentation
516,67,337,46 1/8,0,n/a,ornamentation
517,69,338,46 3/16,0,n/a,ornamentation
518,67,339,46 1/4,0,0,repetition
520,52,341,46 1/2,3,0,repetition
521,64,341,46 1/2,2,0,repetition
529,62,345,47 1/4,2,0,repetition
534,69,348,47 9/16,0,n/a,ornamentation
535,68,349,47 5/8,0,n/a,ornamentation
536,66,350,47 11/16,0,n/a,ornamentation
537,69,351,47 3/4,0,0,repetition
538,68,352,47 7/8,0,n/a,ornamentation
542,60,354,48 1/4,1,n/a,ornamentation
545,57,356,48 1/2,2,0,repetition
555,65,361,49 1/2,0,0,repetition
556,52,362,49 9/16,1,n/a,ornamentation
557,53,363,49 5/8,1,0,repetition
558,55,364,49 11/16,1,n/a,ornamentation
562,55,366,49 13/16,2,n/a,ornamentation
563,57,367,49 7/8,2,0,repetition
564,59,368,49 15/16,1,n/a,ornamentation
570,55,371,50 1/2,1,0,repetition
577,59,375,51 1/16,0,n/a,ornamentation
578,60,376,51 1/8,0,n/a,ornamentation
579,62,377,51 3/16,0,n/a,ornamentation
580,64,378,51 1/4,0,4,other
581,62,379,51 5/16,1,n/a,ornamentation
582,64,380,51 3/8,1,4,other
583,65,381,51 7/16,0,n/a,ornamentation
584,45,382,51 1/2,3,0,repetition
585,57,382,51 1/2,2,0,repetition
587,53,383,51 3/4,3,8,other
591,59,384,52,1,2,ficta
594,55,386,52 1/4,2,0,repetition
596,53,387,52 5/16,2,n/a,ornamentation
597,52,388,52 3/8,2,3,other
598,50,389,52 7/16,2,n/a,ornamentation
601,62,390,52 1/2,0,0,repetition
602,61,391,52 5/8,0,n/a,ornamentation
603,59,392,52 11/16,0,n/a,ornamentation
604,45,393,52 3/4,3,0,repetition
605,52,393,52 3/4,2,0,repetition
607,62,394,52 7/8,0,n/a,ornamentation
608,61,395,52 29/32,0,n/a,ornamentation
609,59,396,52 15/16,0,n/a,ornamentation
610,61,397,52 31/32,0,n/a,ornamentation
616,60,401,53 9/16,0,n/a,ornamentation
617,62,402,53 5/8,0,n/a,ornamentation
618,64,403,53 11/16,0,n/a,ornamentation
619,67,404,53 3/4,0,2,other
620,65,405,53 13/16,0,n/a,ornamentation
621,67,406,53 7/8,0,n/a,ornamentation
622,65,407,53 29/32,0,n/a,ornamentation
623,64,408,53 15/16,0,n/a,ornamentation
624,65,409,53 31/32,0,n/a,ornamentation
632,59,413,54 5/8,1,n/a,ornamentation
633,60,414,54 3/4,1,n/a,ornamentation
634,57,415,54 7/8,1,n/a,ornamentation
648,59,423,56 3/4,2,n/a,ornamentation
649,60,424,56 7/8,2,n/a,ornamentation
654,55,427,57 5/16,1,n/a,ornamentation
655,57,428,57 3/8,1,0,repetition
656,59,429,57 7/16,1,n/a,ornamentation
658,59,431,57 9/16,2,n/a,ornamentation
659,60,432,57 5/8,2,0,repetition
660,62,433,57 11/16,1,n/a,ornamentation
665,64,435,58,1,0,repetition
667,62,436,58 1/8,1,n/a,ornamentation
668,64,437,58 1/4,1,0,repetition
669,62,438,58 5/16,1,n/a,ornamentation
670,64,439,58 3/8,1,n/a,ornamentation
671,62,440,58 7/16,1,n/a,ornamentation
673,62,441,58 1/2,1,0,repetition
675,61,442,58 5/8,1,n/a,ornamentation
676,59,443,58 11/16,1,n/a,ornamentation
677,62,444,58 3/4,1,0,repetition
678,61,445,58 13/16,1,n/a,ornamentation
679,62,446,58 7/8,1,n/a,ornamentation
680,61,447,58 29/32,1,n/a,ornamentation
681,59,448,58 15/16,1,n/a,ornamentation
682,61,449,58 31/32,1,n/a,ornamentation
687,60,452,59 5/16,1,n/a,ornamentation
688,62,453,59 3/8,1,0,repetition
689,64,454,59 7/16,0,n/a,ornamentation
690,50,455,59 1/2,3,0,repetition
692,64,456,59 9/16,0,n/a,ornamentation
693,65,457,59 5/8,0,0,repetition
694,67,458,59 11/16,0,n/a,ornamentation
698,69,460,60,0,0,repetition
699,67,461,60 1/8,0,n/a,ornamentation
700,69,462,60 1/4,0,0,repetition
701,67,463,60 5/16,2,n/a,ornamentation
702,66,464,60 3/8,2,n/a,ornamentation
703,67,465,60 7/16,2,n/a,ornamentation
706,67,467,60 9/16,0,n/a,ornamentation
707,66,468,60 5/8,0,n/a,ornamentation
708,64,469,60 11/16,0,n/a,ornamentation
709,67,470,60 3/4,0,0,repetition
710,66,471,60 13/16,0,n/a,ornamentation
711,67,472,60 7/8,0,n/a,ornamentation
712,66,473,60 29/32,0,n/a,ornamentation
713,64,474,60 15/16,0,n/a,ornamentation
714,66,475,60 31/32,0,n/a,ornamentation
725,45,480,62 1/2,3,0,repetition
732,62,483,63 1/4,1,n/a,ornamentation
734,50,485,63 1/2,2,0,repetition
738,52,487,64,2,2,other
741,55,488,64 1/4,3,0,repetition
745,67,490,64 1/2,0,0,repetition
751,59,493,65,1,0,repetition
