note,pitch,chord,bar,mapped voice,cost,category
2,58,2,1 3/4,3,n/a,ornamentation
3,57,3,1 13/16,3,n/a,ornamentation
4,58,4,1 7/8,3,n/a,ornamentation
5,60,5,1 15/16,3,n/a,ornamentation
6,58,6,2,3,0,repetition
10,58,10,3 1/2,3,0,repetition
12,60,11,3 3/4,3,2,other
13,58,12,3 13/16,1,n/a,ornamentation
14,60,13,3 7/8,1,2,other
15,58,14,3 29/32,3,n/a,ornamentation
16,57,15,3 15/16,3,n/a,ornamentation
17,55,16,3 31/32,3,n/a,ornamentation
20,64,18,4 3/16,3,n/a,ornamentation
21,62,19,4 1/4,3,n/a,ornamentation
22,60,20,4 5/16,3,n/a,ornamentation
23,58,21,4 3/8,3,5,other
24,60,22,4 13/32,1,n/a,ornamentation
25,62,23,4 7/16,1,n/a,ornamentation
26,64,24,4 15/32,1,n/a,ornamentation
27,53,25,4 1/2,3,0,repetition
29,55,26,4 3/4,3,2,other
30,53,27,4 13/16,3,n/a,ornamentation
31,55,28,4 7/8,3,3,other
32,53,29,4 29/32,3,n/a,ornamentation
33,51,30,4 15/16,3,n/a,ornamentation
34,50,31,4 31/32,3,n/a,ornamentation
36,65,32,5,1,0,repetition
37,64,33,5 1/16,1,n/a,ornamentation
38,62,34,5 1/8,1,n/a,ornamentation
39,64,35,5 3/16,1,n/a,ornamentation
43,65,38,5 5/8,1,n/a,ornamentation
46,53,41,6,3,0,repetition
48,55,42,6 1/4,3,2,other
49,53,43,6 5/16,3,n/a,ornamentation
50,51,44,6 3/8,3,1,other
51,50,45,6 7/16,3,n/a,ornamentation
53,60,46,6 1/2,1,0,repetition
55,65,47,6 11/16,0,n/a,ornamentation
56,64,48,6 3/4,0,n/a,ornamentation
57,62,49,6 13/16,0,n/a,ornamentation
58,64,50,6 7/8,0,n/a,ornamentation
59,65,51,6 29/32,0,n/a,ornamentation
60,67,52,6 15/16,0,n/a,ornamentation
61,69,53,6 31/32,0,n/a,ornamentation
63,58,54,7,1,2,other
67,58,57,7 1/2,3,0,repetition
70,72,58,7 3/4,0,2,other
71,70,59,7 13/16,0,n/a,ornamentation
72,72,60,7 7/8,0,2,other
73,70,61,7 29/32,0,n/a,ornamentation
74,69,62,7 15/16,0,n/a,ornamentation
75,67,63,7 31/32,0,n/a,ornamentation
77,60,64,8,1,2,other
78,70,64,8,0,0,repetition
79,69,65,8 1/16,1,n/a,ornamentation
80,67,66,8 1/8,1,2,other
81,69,67,8 3/16,0,n/a,ornamentation
87,70,70,8 5/8,0,n/a,ornamentation
91,51,72,8 7/8,3,2,ficta
97,58,74,9 1/4,2,0,repetition
99,46,76,9 1/2,3,0,repetition
101,65,76,9 1/2,0,0,repetition
109,67,80,10 1/16,1,n/a,ornamentation
110,65,81,10 1/8,1,n/a,ornamentation
111,64,82,10 3/16,1,n/a,ornamentation
112,62,83,10 1/4,1,3,other
113,64,84,10 5/16,0,n/a,ornamentation
114,65,85,10 3/8,0,n/a,ornamentation
115,67,86,10 13/32,0,n/a,ornamentation
116,69,87,10 7/16,0,n/a,ornamentation
117,70,88,10 15/32,0,n/a,ornamentation
118,58,89,10 1/2,2,0,repetition
121,60,90,10 3/4,2,2,other
122,58,91,10 13/16,1,n/a,ornamentation
123,60,92,10 7/8,1,2,other
124,58,93,10 29/32,2,n/a,ornamentation
125,57,94,10 15/16,2,n/a,ornamentation
126,55,95,10 31/32,2,n/a,ornamentation
128,57,96,11,2,2,other
130,67,97,11 1/4,1,2,other
131,65,98,11 5/16,0,n/a,ornamentation
132,67,99,11 3/8,0,n/a,ornamentation
133,69,100,11 7/16,0,n/a,ornamentation
137,60,103,11 13/16,1,n/a,ornamentation
138,62,104,11 7/8,1,n/a,ornamentation
139,64,105,11 15/16,1,n/a,ornamentation
143,64,107,12 1/16,1,n/a,ornamentation
144,65,108,12 1/8,1,n/a,ornamentation
145,67,109,12 3/16,1,n/a,ornamentation
147,65,110,12 1/4,1,0,repetition
152,60,113,12 9/16,2,n/a,ornamentation
153,58,114,12 5/8,2,0,repetition
154,57,115,12 11/16,2,n/a,ornamentation
155,58,116,12 3/4,2,0,repetition
158,65,117,12 13/16,0,n/a,ornamentation
159,67,118,12 7/8,0,n/a,ornamentation
160,69,119,12 15/16,0,n/a,ornamentation
163,57,121,13 1/16,2,n/a,ornamentation
164,58,122,13 1/8,2,0,repetition
165,60,123,13 3/16,1,n/a,ornamentation
167,60,125,13 9/32,1,n/a,ornamentation
168,62,126,13 5/16,1,n/a,ornamentation
169,64,127,13 11/32,1,n/a,ornamentation
170,65,128,13 3/8,1,3,other
171,64,129,13 13/32,1,n/a,ornamentation
172,65,130,13 7/16,1,n/a,ornamentation
173,67,131,13 15/32,1,n/a,ornamentation
180,67,134,14,1,2,other
181,65,135,14 1/8,0,n/a,ornamentation
182,67,136,14 3/16,0,n/a,ornamentation
183,69,137,14 1/4,0,1,other
184,67,138,14 5/16,0,n/a,ornamentation
185,65,139,14 3/8,0,n/a,ornamentation
186,67,140,14 7/16,0,n/a,ornamentation
188,57,141,14 1/2,2,1,other
204,72,146,15 3/4,0,0,repetition
205,70,147,15 7/8,0,n/a,ornamentation
208,72,148,16,0,0,repetition
216,62,152,16 1/2,1,2,other
219,69,153,16 3/4,0,1,other
220,67,154,16 13/16,0,n/a,ornamentation
221,65,155,16 7/8,0,n/a,ornamentation
222,67,156,16 15/16,0,n/a,ornamentation
224,70,157,17,0,3,other
225,69,158,17 1/16,0,n/a,ornamentation
226,67,159,17 1/8,0,n/a,ornamentation
227,69,160,17 3/16,0,n/a,ornamentation
234,67,163,17 11/16,1,n/a,ornamentation
235,65,164,17 3/4,1,0,repetition
236,64,165,17 13/16,0,n/a,ornamentation
237,62,166,17 7/8,0,n/a,ornamentation
238,64,167,17 29/32,0,n/a,ornamentation
239,66,168,17 15/16,0,n/a,ornamentation
240,67,169,17 31/32,0,n/a,ornamentation
243,67,170,18,0,0,repetition
244,66,171,18 1/16,0,n/a,ornamentation
245,64,172,18 1/8,0,n/a,ornamentation
246,66,173,18 3/16,0,n/a,ornamentation
249,69,174,18 1/4,0,4,other
250,67,175,18 5/16,2,n/a,ornamentation
251,66,176,18 3/8,2,n/a,ornamentation
252,67,177,18 7/16,2,n/a,ornamentation
255,67,179,18 9/16,0,n/a,ornamentation
256,66,180,18 5/8,0,n/a,ornamentation
257,64,181,18 11/16,0,n/a,ornamentation
258,67,182,18 3/4,0,0,repetition
259,66,183,18 13/16,0,n/a,ornamentation
260,67,184,18 7/8,0,n/a,ornamentation
261,66,185,18 29/32,0,n/a,ornamentation
262,64,186,18 15/16,0,n/a,ornamentation
263,66,187,18 31/32,0,n/a,ornamentation
265,62,188,19,1,0,repetition
272,67,191,19 1/2,0,0,repetition
274,53,192,19 3/4,2,2,other
276,48,193,20,3,2,other
277,55,193,20,2,0,repetition
278,63,193,20,1,1,other
279,46,194,20 1/8,3,0,repetition
