note,pitch,chord,bar,mapped voice,cost,category
12,50,11,4 1/1,2,0,repetition
15,50,13,5,2,0,repetition
19,50,16,5 1/1,2,0,repetition
37,58,28,8 1/1,1,0,repetition
48,58,36,10,2,0,repetition
61,55,44,11 1/1,2,5,other
62,65,44,11 1/1,0,0,repetition
75,66,52,13 1/1,0,2,ficta
76,62,53,13 5/4,0,n/a,ornamentation
77,64,54,13 11/8,0,n/a,ornamentation
78,66,55,13 3/2,0,1,other
79,67,56,13 7/4,0,0,repetition
80,69,57,14,0,0,repetition
81,67,58,14 1/4,0,n/a,ornamentation
83,70,59,14 1/2,0,0,repetition
90,65,65,15 1/2,1,0,repetition
94,47,68,15 7/4,2,1,ficta
102,57,72,16 3/2,2,1,other
104,55,73,16 7/4,2,3,other
106,57,74,17,2,1,other
124,53,84,19,2,2,other
140,66,92,20 3/2,0,1,ficta
142,66,94,21,0,2,ficta
154,57,102,22 3/2,1,1,other
156,55,103,22 7/4,1,3,other
163,66,107,23 3/2,0,1,ficta
165,66,109,24,0,2,ficta
196,57,125,29 3/4,1,n/a,ornamentation
199,62,127,29 3/2,1,n/a,ornamentation
217,55,141,32,1,0,repetition
221,62,142,32 1/1,0,0,repetition
222,45,143,32 7/4,2,n/a,ornamentation
225,50,145,33 1/2,2,n/a,ornamentation
242,43,159,35 1/1,2,0,repetition
246,53,160,36,1,3,other
272,52,175,38 3/2,1,n/a,ornamentation
279,50,180,39 1/1,2,0,repetition
280,62,180,39 1/1,0,3,other
283,50,183,40,2,0,repetition
285,62,183,40,0,0,repetition
289,64,185,40 7/8,0,n/a,ornamentation
290,50,186,40 1/1,2,0,repetition
291,57,186,40 1/1,1,0,repetition
293,62,187,40 5/4,0,n/a,ornamentation
294,64,188,40 11/8,0,n/a,ornamentation
295,65,189,40 3/2,0,0,repetition
296,67,190,40 13/8,0,n/a,ornamentation
297,69,191,40 7/4,0,4,other
298,70,192,40 15/8,0,n/a,ornamentation
300,57,193,41,1,0,repetition
302,52,194,41 1/4,2,1,other
303,53,195,41 1/2,2,0,repetition
322,66,206,43,0,1,ficta
325,50,209,43 1/1,2,0,repetition
326,66,209,43 1/1,0,1,other
329,50,212,44,2,0,repetition
331,66,212,44,0,1,other
333,50,214,44 1/1,2,0,repetition
335,66,214,44 1/1,0,1,other
337,50,216,45,2,0,repetition
339,66,216,45,0,1,other
