note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/2,1,0,repetition
2,67,2,1 3/4,1,0,repetition
5,65,4,2 3/16,0,n/a,ornamentation
6,64,5,2 1/4,0,n/a,ornamentation
7,65,6,2 5/16,0,n/a,ornamentation
8,67,7,2 3/8,0,n/a,ornamentation
9,69,8,2 7/16,0,n/a,ornamentation
10,55,9,2 1/2,2,0,repetition
13,69,10,2 5/8,0,n/a,ornamentation
14,67,11,2 3/4,0,n/a,ornamentation
15,69,12,2 7/8,0,n/a,ornamentation
17,67,13,3,1,0,repetition
18,70,13,3,0,0,repetition
19,55,14,3 1/8,1,n/a,ornamentation
20,57,15,3 3/16,1,n/a,ornamentation
21,58,16,3 1/4,1,n/a,ornamentation
22,60,17,3 5/16,1,n/a,ornamentation
23,62,18,3 3/8,1,n/a,ornamentation
24,64,19,3 7/16,1,n/a,ornamentation
28,60,21,3 5/8,2,n/a,ornamentation
29,62,22,3 3/4,2,0,repetition
31,62,23,4,2,0,repetition
32,60,24,4 1/8,1,n/a,ornamentation
33,62,25,4 3/16,1,n/a,ornamentation
34,64,26,4 1/4,1,n/a,ornamentation
35,66,27,4 5/16,1,n/a,ornamentation
36,67,28,4 3/8,1,n/a,ornamentation
37,69,29,4 7/16,1,n/a,ornamentation
38,55,30,4 1/2,4,0,repetition
41,65,31,4 5/8,4,n/a,ornamentation
42,64,32,4 11/16,4,n/a,ornamentation
43,62,33,4 3/4,4,n/a,ornamentation
44,60,34,4 13/16,4,n/a,ornamentation
45,58,35,4 7/8,4,n/a,ornamentation
46,57,36,4 15/16,4,n/a,ornamentation
50,54,38,5 1/8,4,n/a,ornamentation
51,55,39,5 1/4,4,n/a,ornamentation
52,57,40,5 3/8,4,n/a,ornamentation
53,43,41,5 1/2,5,0,repetition
56,57,42,5 11/16,4,n/a,ornamentation
57,55,43,5 3/4,4,n/a,ornamentation
58,57,44,5 13/16,4,n/a,ornamentation
59,58,45,5 7/8,4,n/a,ornamentation
60,60,46,5 15/16,4,n/a,ornamentation
62,58,47,6,4,0,repetition
63,67,47,6,1,0,repetition
64,45,48,6 1/8,5,n/a,ornamentation
65,46,49,6 1/4,5,n/a,ornamentation
66,48,50,6 3/8,5,n/a,ornamentation
70,64,52,6 5/8,0,n/a,ornamentation
71,65,53,6 11/16,0,n/a,ornamentation
72,67,54,6 3/4,0,n/a,ornamentation
73,69,55,6 13/16,0,n/a,ornamentation
74,70,56,6 7/8,0,n/a,ornamentation
75,72,57,6 15/16,0,n/a,ornamentation
76,50,58,7,5,0,repetition
80,62,59,7 1/2,3,0,repetition
81,74,59,7 1/2,0,0,repetition
82,72,60,7 5/8,0,n/a,ornamentation
83,74,61,7 3/4,0,n/a,ornamentation
84,76,62,7 7/8,0,n/a,ornamentation
88,60,64,8 3/16,3,n/a,ornamentation
89,62,65,8 1/4,3,n/a,ornamentation
90,64,66,8 5/16,3,n/a,ornamentation
91,65,67,8 3/8,3,n/a,ornamentation
92,67,68,8 7/16,3,n/a,ornamentation
93,50,69,8 1/2,5,0,repetition
96,76,70,8 5/8,0,n/a,ornamentation
97,77,71,8 3/4,0,n/a,ornamentation
98,76,72,8 7/8,0,n/a,ornamentation
100,65,73,9,3,0,repetition
101,74,73,9,0,0,repetition
102,48,74,9 3/16,2,n/a,ornamentation
103,50,75,9 1/4,2,n/a,ornamentation
104,52,76,9 5/16,2,n/a,ornamentation
105,53,77,9 3/8,2,n/a,ornamentation
106,55,78,9 7/16,2,n/a,ornamentation
110,55,80,9 5/8,4,n/a,ornamentation
111,57,81,9 3/4,4,0,repetition
114,50,83,10 1/2,5,0,repetition
117,57,84,10 3/4,4,0,repetition
121,58,86,11 1/8,4,n/a,ornamentation
122,60,87,11 3/16,4,n/a,ornamentation
123,62,88,11 1/4,4,n/a,ornamentation
124,60,89,11 5/16,4,n/a,ornamentation
125,58,90,11 3/8,4,n/a,ornamentation
126,57,91,11 7/16,4,n/a,ornamentation
130,57,93,11 11/16,4,n/a,ornamentation
131,55,94,11 3/4,4,n/a,ornamentation
132,57,95,11 13/16,4,n/a,ornamentation
133,58,96,11 7/8,4,n/a,ornamentation
134,60,97,11 15/16,4,n/a,ornamentation
135,50,98,12,5,0,repetition
136,53,98,12,1,0,repetition
137,58,98,12,4,0,repetition
138,62,99,12 1/16,4,n/a,ornamentation
139,60,100,12 1/8,4,n/a,ornamentation
140,58,101,12 3/16,4,n/a,ornamentation
141,60,102,12 1/4,4,n/a,ornamentation
142,58,103,12 5/16,4,n/a,ornamentation
143,57,104,12 3/8,4,n/a,ornamentation
144,55,105,12 7/16,4,n/a,ornamentation
148,43,107,12 11/16,5,n/a,ornamentation
149,45,108,12 3/4,5,n/a,ornamentation
150,47,109,12 13/16,5,n/a,ornamentation
151,48,110,12 7/8,5,n/a,ornamentation
152,50,111,12 15/16,5,n/a,ornamentation
159,64,114,13 1/2,3,0,repetition
161,55,115,13 5/8,1,n/a,ornamentation
162,57,116,13 11/16,1,n/a,ornamentation
163,58,117,13 3/4,1,n/a,ornamentation
164,57,118,13 13/16,1,n/a,ornamentation
165,55,119,13 7/8,1,n/a,ornamentation
166,53,120,13 15/16,1,n/a,ornamentation
178,62,124,14 3/4,3,3,other
179,64,125,14 13/16,0,n/a,ornamentation
180,65,126,14 7/8,0,n/a,ornamentation
181,67,127,14 15/16,0,n/a,ornamentation
182,50,128,15,5,0,repetition
185,69,128,15,0,0,repetition
186,67,129,15 1/8,0,n/a,ornamentation
187,69,130,15 3/16,0,n/a,ornamentation
190,69,132,15 3/8,0,n/a,ornamentation
