note,pitch,chord,bar,mapped voice,cost,category
5,45,4,2 3/16,3,n/a,ornamentation
6,43,5,2 1/4,3,n/a,ornamentation
7,45,6,2 5/16,3,n/a,ornamentation
8,46,7,2 3/8,3,n/a,ornamentation
9,48,8,2 7/16,3,n/a,ornamentation
13,51,11,3,3,1,ficta
15,53,12,3 3/16,1,n/a,ornamentation
16,55,13,3 1/4,1,n/a,ornamentation
17,57,14,3 5/16,1,n/a,ornamentation
18,58,15,3 3/8,1,n/a,ornamentation
19,60,16,3 7/16,1,n/a,ornamentation
23,53,19,4,3,0,repetition
24,62,19,4,1,0,repetition
25,51,20,4 1/8,3,n/a,ornamentation
26,53,21,4 3/16,3,n/a,ornamentation
27,55,22,4 1/4,3,2,other
28,53,23,4 5/16,3,n/a,ornamentation
29,51,24,4 3/8,3,1,other
30,50,25,4 7/16,3,n/a,ornamentation
32,63,26,4 1/2,1,1,ficta
33,67,27,4 9/16,1,n/a,ornamentation
34,65,28,4 5/8,1,n/a,ornamentation
35,63,29,4 11/16,1,n/a,ornamentation
36,65,30,4 3/4,1,n/a,ornamentation
37,63,31,4 13/16,1,n/a,ornamentation
38,62,32,4 7/8,1,n/a,ornamentation
39,60,33,4 15/16,1,n/a,ornamentation
43,46,36,5 1/2,3,0,repetition
44,65,36,5 1/2,1,0,repetition
45,63,37,5 5/8,1,n/a,ornamentation
46,65,38,5 11/16,1,n/a,ornamentation
47,67,39,5 3/4,1,2,other
48,65,40,5 13/16,1,n/a,ornamentation
49,63,41,5 7/8,1,1,other
50,62,42,5 15/16,1,n/a,ornamentation
56,58,47,7,3,n/a,ornamentation
57,57,48,7 1/8,3,n/a,ornamentation
58,58,49,7 3/16,3,n/a,ornamentation
59,60,50,7 1/4,3,2,other
60,58,51,7 5/16,1,n/a,ornamentation
61,60,52,7 3/8,1,2,other
62,58,53,7 13/32,3,n/a,ornamentation
63,57,54,7 7/16,3,n/a,ornamentation
64,55,55,7 15/32,3,n/a,ornamentation
69,53,59,8 1/8,3,n/a,ornamentation
81,57,68,9 3/8,1,n/a,ornamentation
84,62,70,9 5/8,1,n/a,ornamentation
86,60,71,9 3/4,1,2,other
87,58,72,9 7/8,1,n/a,ornamentation
88,55,73,10,3,0,repetition
90,54,74,10 1/8,1,n/a,ornamentation
91,55,75,10 3/16,1,n/a,ornamentation
92,57,76,10 1/4,1,0,repetition
93,55,77,10 5/16,1,n/a,ornamentation
94,57,78,10 3/8,1,n/a,ornamentation
95,55,79,10 13/32,1,n/a,ornamentation
96,57,80,10 7/16,1,n/a,ornamentation
97,54,81,10 15/32,1,n/a,ornamentation
103,57,86,11 3/8,1,n/a,ornamentation
104,58,87,11 13/32,1,n/a,ornamentation
105,60,88,11 7/16,1,n/a,ornamentation
106,62,89,11 15/32,1,n/a,ornamentation
108,53,91,11 5/8,3,n/a,ornamentation
115,50,96,12 5/16,3,n/a,ornamentation
116,52,97,12 3/8,3,4,other
117,53,98,12 7/16,3,n/a,ornamentation
131,62,108,13 5/8,1,n/a,ornamentation
138,58,113,14 3/8,1,n/a,ornamentation
139,54,114,14 1/2,3,1,other
141,55,115,14 5/8,3,0,repetition
142,54,116,14 7/8,3,n/a,ornamentation
176,70,131,20 1/8,0,n/a,ornamentation
177,69,132,20 5/32,0,n/a,ornamentation
178,67,133,20 3/16,0,n/a,ornamentation
179,69,134,20 7/32,0,n/a,ornamentation
190,65,140,21 5/8,0,n/a,ornamentation
191,67,141,21 11/16,0,n/a,ornamentation
194,62,143,22 1/4,2,n/a,ornamentation
195,64,144,22 5/16,2,n/a,ornamentation
196,65,145,22 3/8,2,n/a,ornamentation
197,67,146,22 7/16,2,n/a,ornamentation
