note,pitch,chord,bar,mapped voice,cost,category
38,45,23,7 11/16,3,n/a,ornamentation
44,69,26,8 3/8,0,1,other
47,57,28,8 5/8,1,1,other
64,52,37,10 11/16,3,n/a,ornamentation
84,58,48,13 3/8,2,n/a,ornamentation
85,60,49,13 7/16,2,n/a,ornamentation
86,62,50,13 1/2,2,n/a,ornamentation
87,60,51,13 9/16,2,n/a,ornamentation
88,58,52,13 5/8,2,2,other
89,57,53,13 11/16,2,n/a,ornamentation
113,64,63,16 1/4,0,1,ficta
114,62,64,16 7/16,1,n/a,ornamentation
115,61,65,16 1/2,1,n/a,ornamentation
116,62,66,16 9/16,1,n/a,ornamentation
117,64,67,16 5/8,1,1,other
118,61,68,16 11/16,1,n/a,ornamentation
127,62,72,18,1,0,repetition
134,62,75,19,1,0,repetition
138,53,77,19 3/8,2,n/a,ornamentation
139,52,78,19 7/16,2,n/a,ornamentation
140,53,79,19 1/2,2,n/a,ornamentation
141,52,80,19 9/16,2,n/a,ornamentation
142,50,81,19 5/8,2,n/a,ornamentation
143,48,82,19 11/16,2,n/a,ornamentation
149,64,86,20 9/16,1,n/a,ornamentation
150,65,87,20 5/8,1,n/a,ornamentation
151,67,88,20 11/16,1,n/a,ornamentation
152,50,89,21,3,0,repetition
156,65,91,21 3/8,1,0,repetition
159,70,93,21 5/8,0,1,other
164,64,97,23,1,1,ficta
170,64,101,24 1/4,1,2,ficta
174,70,103,24 5/8,0,n/a,ornamentation
175,69,104,24 21/32,0,n/a,ornamentation
176,67,105,24 11/16,0,n/a,ornamentation
177,69,106,24 23/32,0,n/a,ornamentation
182,60,110,25 1/2,1,2,other
187,70,112,26 1/4,0,5,other
189,62,113,26 1/2,1,0,repetition
190,55,114,26 3/4,3,0,repetition
192,70,114,26 3/4,0,0,repetition
199,69,117,27 1/2,0,0,repetition
200,53,118,27 3/4,3,0,repetition
204,50,120,27 15/16,3,n/a,ornamentation
211,57,124,28 7/16,1,n/a,ornamentation
231,52,132,29 5/8,1,1,ficta
237,53,135,30,3,0,repetition
243,50,138,30 3/8,3,2,other
246,60,139,30 1/2,2,0,repetition
250,67,141,30 3/4,0,0,repetition
273,69,149,32,0,0,repetition
279,58,152,32 5/16,1,n/a,ornamentation
280,60,153,32 3/8,1,n/a,ornamentation
281,58,154,32 13/32,1,n/a,ornamentation
282,57,155,32 7/16,1,n/a,ornamentation
283,55,156,32 15/32,1,n/a,ornamentation
287,67,157,32 1/2,0,0,repetition
288,66,158,32 5/8,0,n/a,ornamentation
289,64,159,32 11/16,0,n/a,ornamentation
291,67,161,32 13/16,0,n/a,ornamentation
