note,pitch,chord,bar,mapped voice,cost,category
2,62,1,1 3/8,1,n/a,ornamentation
3,60,2,1 1/2,1,n/a,ornamentation
4,59,3,1 5/8,1,n/a,ornamentation
5,57,4,1 3/4,1,n/a,ornamentation
6,59,5,1 13/16,1,n/a,ornamentation
7,60,6,1 7/8,1,n/a,ornamentation
8,62,7,1 15/16,1,n/a,ornamentation
9,52,8,1 1/1,3,0,repetition
10,64,8,1 1/1,1,0,repetition
11,65,9,1 5/4,1,n/a,ornamentation
12,67,10,1 3/2,1,n/a,ornamentation
13,65,11,1 13/8,1,n/a,ornamentation
14,67,12,1 7/4,1,n/a,ornamentation
15,64,13,1 15/8,1,n/a,ornamentation
19,67,15,2 3/8,0,n/a,ornamentation
20,65,16,2 1/2,0,n/a,ornamentation
21,64,17,2 5/8,0,n/a,ornamentation
22,62,18,2 3/4,0,n/a,ornamentation
23,64,19,2 13/16,0,n/a,ornamentation
24,65,20,2 7/8,0,n/a,ornamentation
25,67,21,2 15/16,0,n/a,ornamentation
29,64,23,2 5/4,0,n/a,ornamentation
30,65,24,2 11/8,0,n/a,ornamentation
31,67,25,2 3/2,0,n/a,ornamentation
32,65,26,2 13/8,0,n/a,ornamentation
33,67,27,2 7/4,0,n/a,ornamentation
34,65,28,2 29/16,0,n/a,ornamentation
35,64,29,2 15/8,0,n/a,ornamentation
36,65,30,2 31/16,0,n/a,ornamentation
38,59,31,3,1,6,other
40,52,32,3 1/1,3,0,repetition
41,59,32,3 1/1,1,5,other
42,67,32,3 1/1,0,0,repetition
50,47,36,4 1/2,3,0,repetition
51,62,36,4 1/2,0,0,repetition
56,62,39,4 3/2,0,0,repetition
60,60,41,5 1/2,2,3,other
62,45,42,5 1/1,3,0,repetition
63,60,42,5 1/1,2,3,other
66,60,43,5 3/2,1,4,other
71,69,45,6 1/8,1,n/a,ornamentation
72,67,46,6 1/4,1,n/a,ornamentation
73,65,47,6 3/8,1,n/a,ornamentation
75,64,48,6 1/2,1,3,other
76,62,49,6 5/8,1,n/a,ornamentation
77,60,50,6 3/4,1,n/a,ornamentation
78,59,51,6 7/8,1,n/a,ornamentation
86,66,55,7 3/8,0,n/a,ornamentation
87,67,56,7 1/2,0,n/a,ornamentation
88,66,57,7 9/16,0,n/a,ornamentation
89,64,58,7 5/8,0,n/a,ornamentation
90,66,59,7 11/16,0,n/a,ornamentation
91,67,60,7 3/4,0,n/a,ornamentation
92,69,61,7 13/16,0,n/a,ornamentation
93,71,62,7 7/8,0,n/a,ornamentation
94,72,63,7 15/16,0,n/a,ornamentation
95,57,64,7 1/1,2,0,repetition
98,71,65,7 5/4,0,n/a,ornamentation
99,69,66,7 11/8,0,n/a,ornamentation
100,67,67,7 3/2,0,n/a,ornamentation
101,65,68,7 25/16,0,n/a,ornamentation
102,64,69,7 13/8,0,n/a,ornamentation
103,65,70,7 27/16,0,n/a,ornamentation
104,67,71,7 7/4,0,n/a,ornamentation
105,69,72,7 29/16,0,n/a,ornamentation
106,71,73,7 15/8,0,n/a,ornamentation
107,72,74,7 31/16,0,n/a,ornamentation
111,69,76,8 3/8,1,n/a,ornamentation
