piece	N_model	N_intab	M	M_o	M_r	M_f	M_a	m	m_oa	m_a
44A	545	595	228	114	62	6	46	.6168	.7310	.9226
44A	545	790	428	281	78	8	61	.4582	.5670	.9227
45A	484	686	328	198	85	7	38	.5218	.6559	.9446
43A	484	1094	778	566	126	3	83	.2888	.4067	.9241 
1AM	484	607	215	110	60	16	29	.6457	.7710	.9522
1CP	513	557	120	11	88	3	18	.7845	.9479	.9676
11F	771	908	231	147	51	26	7	.7455	.8303	.9922
30L	797	891	333	42	154	7	130	.6262	.8069	.8540 <-- 3638_061_lauda_sion_gombert_T
55R	797	845	206	86	64	12	44	.7562	.8461	.9479
50D	797	1250	532	369	132	3	28	.5744	.6824	.9776
40L	448	539	162	69	77	3	13	.6994	.8478	.9758
51M	297	497	246	160	57	5	24	.5050	.6297	.9517
45M	297	546	304	238	49	0	17	.4432	.5329	.9688
43P	625	871	392	258	101	8	25	.5499	.6750	.9712
9M0	483	483	265	83	75	12	95	.4513	.6314	.8033
