note,pitch,chord,bar,mapped voice,cost,category
3,67,1,1 1/1,0,0,repetition
9,67,5,2 1/1,0,0,repetition
15,69,10,3 1/1,0,0,repetition
18,61,13,4 1/4,1,1,ficta
22,69,16,4 1/1,0,0,repetition
25,66,19,4 7/4,1,3,ficta
30,67,21,5 1/2,1,0,repetition
32,55,22,5 1/1,3,0,repetition
33,67,22,5 1/1,1,0,repetition
34,71,22,5 1/1,0,0,repetition
41,55,26,6 1/1,3,0,repetition
42,67,26,6 1/1,1,0,repetition
48,57,31,7 1/1,3,0,repetition
54,54,37,8 1/1,5,2,ficta
55,57,37,8 1/1,3,0,repetition
58,54,40,8 7/4,5,3,ficta
65,59,43,9 1/1,3,0,repetition
77,55,50,10 1/1,5,0,repetition
82,62,52,11,2,0,repetition
84,50,53,11 1/2,2,0,repetition
89,62,55,11 1/1,3,7,other
90,69,55,11 1/1,0,0,repetition
93,54,58,11 7/4,3,1,ficta
110,72,66,13,0,0,repetition
111,55,67,13 1/4,4,0,repetition
120,61,71,13 5/4,1,2,ficta
121,53,72,13 3/2,4,2,other
133,62,77,14 5/4,1,0,repetition
134,61,78,14 3/2,1,1,ficta
139,67,79,15,0,0,repetition
140,55,80,15 1/4,3,n/a,ornamentation
141,57,81,15 1/2,3,0,repetition
145,57,83,15 1/1,3,0,repetition
146,62,83,15 1/1,1,0,repetition
148,67,84,15 5/4,0,n/a,ornamentation
150,69,85,15 3/2,0,3,other
151,66,86,15 7/4,0,n/a,ornamentation
157,62,89,16 3/4,2,2,other
160,64,90,16 1/1,2,4,other
161,67,90,16 1/1,0,0,repetition
162,57,91,16 5/4,3,3,other
163,66,91,16 5/4,0,1,other
164,67,92,16 3/2,0,0,repetition
166,55,93,16 7/4,2,0,repetition
169,60,94,17,3,0,repetition
171,67,95,17 1/4,0,0,repetition
173,66,96,17 1/2,0,1,other
177,67,98,17 1/1,0,0,repetition
187,61,105,18 5/4,2,1,ficta
188,59,106,18 11/8,2,n/a,ornamentation
189,62,107,18 3/2,2,2,other
190,61,108,18 7/4,2,1,other
192,55,109,19,3,0,repetition
196,53,110,19 1/2,3,2,ficta
199,53,112,19 1/1,3,1,ficta
200,57,112,19 1/1,1,0,repetition
201,62,112,19 1/1,2,0,repetition
202,69,112,19 1/1,0,0,repetition
203,55,113,19 5/4,3,n/a,ornamentation
204,57,114,19 3/2,3,n/a,ornamentation
205,54,115,19 7/4,3,n/a,ornamentation
207,50,116,20,5,0,repetition
209,62,116,20,2,0,repetition
212,43,118,20 1/1,4,0,repetition
214,55,118,20 1/1,3,0,repetition
216,71,118,20 1/1,0,0,repetition
218,52,120,21,5,0,repetition
231,60,125,22 1/4,2,n/a,ornamentation
244,59,130,23 1/4,1,n/a,ornamentation
245,60,131,23 1/2,1,0,repetition
251,67,134,23 5/4,0,n/a,ornamentation
252,69,135,23 3/2,0,3,other
253,66,136,23 7/4,0,n/a,ornamentation
255,50,137,24,4,0,repetition
258,62,137,24,2,0,repetition
261,43,139,24 1/1,5,0,repetition
263,55,139,24 1/1,1,0,repetition
264,59,139,24 1/1,3,0,repetition
267,52,141,25,4,0,repetition
269,67,141,25,2,0,repetition
272,60,142,25 1/2,3,5,other
282,65,145,26,0,2,other
283,60,146,26 1/4,2,n/a,ornamentation
294,55,150,27,3,0,repetition
297,59,151,27 1/4,1,n/a,ornamentation
298,53,152,27 1/2,3,2,ficta
299,60,152,27 1/2,1,0,repetition
305,55,155,27 5/4,1,n/a,ornamentation
306,57,156,27 3/2,1,0,repetition
307,54,157,27 7/4,1,n/a,ornamentation
311,55,159,28 1/2,3,0,repetition
312,43,160,28 1/1,5,0,repetition
313,55,160,28 1/1,3,0,repetition
315,71,160,28 1/1,0,0,repetition
318,67,163,29,2,0,repetition
333,64,173,30 11/8,0,n/a,ornamentation
334,67,174,30 3/2,0,1,other
335,66,175,30 7/4,0,0,repetition
340,59,177,31 1/1,2,4,other
341,62,177,31 1/1,3,3,other
342,67,177,31 1/1,0,0,repetition
359,55,189,33 5/4,3,0,repetition
361,57,191,33 7/4,1,0,repetition
365,43,193,34 1/1,4,0,repetition
367,59,193,34 1/1,1,0,repetition
383,57,204,36 1/1,3,2,other
384,55,205,36 5/4,3,0,repetition
388,57,208,37 1/4,1,n/a,ornamentation
389,59,209,37 1/2,1,n/a,ornamentation
390,60,210,37 3/4,1,n/a,ornamentation
391,43,211,37 1/1,5,0,repetition
393,60,212,37 5/4,4,n/a,ornamentation
394,59,213,37 3/2,4,n/a,ornamentation
395,57,214,37 7/4,4,n/a,ornamentation
396,43,215,38,5,0,repetition
399,62,215,38,1,0,repetition
401,55,216,38 1/2,4,0,repetition
402,43,217,38 1/1,5,0,repetition
403,55,217,38 1/1,4,0,repetition
404,59,217,38 1/1,2,0,repetition
405,67,217,38 1/1,0,0,repetition
406,60,218,38 5/4,1,n/a,ornamentation
407,62,219,38 3/2,1,0,repetition
413,47,221,39 3/4,5,n/a,ornamentation
419,57,223,39 3/2,4,0,repetition
437,71,230,41,0,0,repetition
442,55,233,41 1/1,3,0,repetition
446,48,235,42,5,0,repetition
460,64,239,42 1/1,1,0,repetition
469,57,244,43 1/2,3,0,repetition
471,50,245,43 1/1,4,0,repetition
472,55,245,43 1/1,2,7,other
477,55,246,43 3/2,3,4,other
481,62,247,44,1,0,repetition
507,72,258,46,0,0,repetition
525,59,268,47 3/8,2,n/a,ornamentation
539,60,275,48,3,0,repetition
542,66,276,48 1/4,0,1,ficta
549,67,279,48 1/1,2,0,repetition
569,62,287,50,1,0,repetition
573,43,289,50 1/1,5,0,repetition
574,55,289,50 1/1,3,0,repetition
577,71,289,50 1/1,0,0,repetition
589,62,299,52 5/4,2,n/a,ornamentation
590,61,300,52 3/2,2,1,ficta
597,70,304,53 5/4,0,1,ficta
603,67,306,54,0,2,other
608,67,310,54 5/4,0,n/a,ornamentation
615,67,314,55 1/1,0,0,repetition
627,57,320,56 1/1,3,0,repetition
628,65,320,56 1/1,1,0,repetition
687,57,349,61,3,0,repetition
691,50,351,61 1/2,4,0,repetition
693,59,351,61 1/2,1,3,other
694,62,351,61 1/2,0,5,other
697,62,352,61 1/1,1,0,repetition
699,55,353,61 5/4,2,n/a,ornamentation
700,57,354,61 3/2,2,0,repetition
701,54,355,61 7/4,2,n/a,ornamentation
704,62,356,62,1,0,repetition
706,57,357,62 1/4,1,n/a,ornamentation
707,59,358,62 1/2,1,n/a,ornamentation
708,60,359,62 3/4,1,n/a,ornamentation
709,43,360,62 1/1,5,0,repetition
712,71,360,62 1/1,0,0,repetition
713,67,361,62 3/2,0,4,other
717,66,363,63 1/4,0,1,ficta
738,62,371,64 1/1,0,5,other
740,64,373,64 11/8,0,n/a,ornamentation
741,67,374,64 3/2,0,1,other
742,66,375,64 7/4,0,0,repetition
748,62,377,65 1/2,2,0,repetition
749,43,378,65 1/1,4,0,repetition
751,55,378,65 1/1,1,0,repetition
752,59,378,65 1/1,3,0,repetition
753,62,378,65 1/1,2,0,repetition
754,67,378,65 1/1,0,0,repetition
776,55,389,67 5/4,3,n/a,ornamentation
783,62,392,68,0,5,other
787,62,394,68 1/2,3,7,other
791,43,396,68 1/1,5,0,repetition
821,62,407,70 1/2,3,7,other
828,69,409,70 5/4,0,n/a,ornamentation
832,72,410,70 3/2,0,3,other
839,62,413,71 1/2,2,2,other
862,72,422,72 5/4,0,n/a,ornamentation
871,60,426,73 1/1,2,0,repetition
872,72,426,73 1/1,0,0,repetition
880,55,432,74 5/4,1,n/a,ornamentation
882,57,434,74 7/4,1,n/a,ornamentation
893,55,440,76 1/2,3,0,repetition
898,55,442,76 3/2,1,0,repetition
900,52,443,77,4,2,other
906,55,446,77 3/2,4,0,repetition
922,43,456,79 1/2,5,4,other
943,53,467,81 1/1,4,2,ficta
948,53,470,82 1/4,4,n/a,ornamentation
949,52,471,82 1/2,4,n/a,ornamentation
950,50,472,82 3/4,4,n/a,ornamentation
953,55,473,82 1/1,3,0,repetition
954,55,474,82 3/2,3,0,repetition
955,48,475,83,5,0,repetition
956,52,475,83,4,0,repetition
972,55,484,84 5/4,3,0,repetition
982,57,489,85 3/2,5,n/a,ornamentation
995,55,497,87 1/4,3,n/a,ornamentation
1015,50,504,88 5/4,4,n/a,ornamentation
1017,52,505,88 3/2,4,4,other
1018,53,506,88 7/4,4,n/a,ornamentation
1058,55,521,92 1/4,5,0,repetition
1066,59,524,92 3/2,0,n/a,ornamentation
1074,53,528,93 1/1,4,2,ficta
1112,59,540,96 1/2,3,0,repetition
1113,59,541,96 1/1,3,0,repetition
1140,55,548,99,4,0,repetition
1144,43,549,99 1/1,5,0,repetition
1146,62,549,99 1/1,2,0,repetition
1147,67,549,99 1/1,1,0,repetition
1148,71,549,99 1/1,0,0,repetition
1154,48,551,100 1/1,5,0,repetition
1155,55,551,100 1/1,4,0,repetition
1157,64,551,100 1/1,1,0,repetition
1158,72,551,100 1/1,0,0,repetition
1163,72,552,101,0,0,repetition
1165,45,554,101 1/1,5,0,repetition
1167,60,554,101 1/1,2,0,repetition
1168,64,554,101 1/1,1,0,repetition
1169,72,554,101 1/1,0,0,repetition
1170,64,555,101 3/2,1,0,repetition
1173,57,556,102,3,0,repetition
1176,52,557,102 3/4,4,n/a,ornamentation
1177,50,558,102 1/1,5,0,repetition
1178,53,558,102 1/1,4,0,repetition
1179,57,558,102 1/1,3,0,repetition
1180,65,558,102 1/1,1,0,repetition
1181,69,558,102 1/1,0,0,repetition
1185,59,560,103,3,3,other
1189,43,562,103 1/1,5,0,repetition
1190,55,562,103 1/1,4,0,repetition
1193,67,562,103 1/1,0,0,repetition
