note,pitch,chord,bar,mapped voice,cost,category
5,70,3,1 1/1,0,0,repetition
12,57,7,2 1/8,2,n/a,ornamentation
13,58,8,2 1/4,2,n/a,ornamentation
14,57,9,2 5/16,2,n/a,ornamentation
15,58,10,2 3/8,2,n/a,ornamentation
16,60,11,2 7/16,2,n/a,ornamentation
26,70,17,3,0,0,repetition
27,69,18,3 1/4,2,n/a,ornamentation
30,67,20,3 3/4,2,n/a,ornamentation
32,67,21,3 1/1,2,0,repetition
35,64,23,3 11/8,2,n/a,ornamentation
37,67,25,3 13/8,2,n/a,ornamentation
39,66,27,3 15/8,2,n/a,ornamentation
45,55,31,4 1/1,3,0,repetition
47,70,31,4 1/1,0,0,repetition
49,57,33,4 3/2,3,2,other
55,62,35,5,2,0,repetition
60,50,38,5 1/1,3,0,repetition
63,65,38,5 1/1,1,0,repetition
64,64,39,5 5/4,1,n/a,ornamentation
65,62,40,5 3/2,1,n/a,ornamentation
66,64,41,5 13/8,1,n/a,ornamentation
67,65,42,5 7/4,1,0,repetition
68,67,43,5 15/8,1,n/a,ornamentation
69,50,44,6,3,0,repetition
75,50,47,6 1/1,3,0,repetition
83,65,51,7,1,0,repetition
85,70,52,7 1/4,0,n/a,ornamentation
86,72,53,7 3/8,0,n/a,ornamentation
90,74,56,7 5/4,0,n/a,ornamentation
100,65,61,8 1/1,1,0,repetition
111,57,66,9 3/4,2,n/a,ornamentation
114,70,68,9 5/4,0,n/a,ornamentation
124,46,74,10 1/1,5,0,repetition
126,58,74,10 1/1,3,0,repetition
127,62,74,10 1/1,2,0,repetition
133,62,77,11,2,0,repetition
136,46,80,11 1/1,5,0,repetition
139,62,80,11 1/1,2,0,repetition
144,58,83,12,3,0,repetition
145,57,84,12 1/4,3,n/a,ornamentation
147,58,85,12 1/2,3,0,repetition
148,62,85,12 1/2,2,0,repetition
149,46,86,12 3/4,4,n/a,ornamentation
151,54,87,12 1/1,5,1,other
153,55,88,12 5/4,5,0,repetition
154,45,89,12 3/2,4,0,repetition
155,55,89,12 3/2,5,1,ficta
156,60,89,12 3/2,3,0,repetition
157,54,90,12 7/4,5,0,repetition
161,57,92,13 3/8,3,n/a,ornamentation
162,55,93,13 1/2,3,n/a,ornamentation
163,57,94,13 5/8,3,n/a,ornamentation
164,58,95,13 3/4,3,n/a,ornamentation
165,60,96,13 7/8,3,n/a,ornamentation
167,58,97,13 1/1,3,0,repetition
168,57,98,13 3/2,3,1,other
173,62,100,14,2,0,repetition
188,53,108,15 1/1,4,0,repetition
189,62,108,15 1/1,1,0,repetition
190,69,108,15 1/1,0,0,repetition
199,43,112,16 1/4,1,n/a,ornamentation
200,57,113,16 3/8,1,n/a,ornamentation
201,58,114,16 1/2,1,0,repetition
202,60,115,16 5/8,2,n/a,ornamentation
203,62,116,16 3/4,2,0,repetition
204,64,117,16 7/8,2,n/a,ornamentation
211,69,120,17,4,n/a,ornamentation
216,67,123,17 3/4,0,n/a,ornamentation
217,69,124,17 7/8,0,n/a,ornamentation
229,50,130,18 1/1,5,0,repetition
230,53,130,18 1/1,1,0,repetition
231,57,130,18 1/1,3,0,repetition
232,65,130,18 1/1,2,0,repetition
233,69,130,18 1/1,0,0,repetition
241,65,134,19 1/4,0,n/a,ornamentation
242,67,135,19 3/8,0,n/a,ornamentation
243,69,136,19 1/2,0,n/a,ornamentation
244,67,137,19 9/16,0,n/a,ornamentation
245,65,138,19 5/8,0,n/a,ornamentation
246,67,139,19 11/16,0,n/a,ornamentation
247,69,140,19 3/4,0,n/a,ornamentation
248,67,141,19 13/16,0,n/a,ornamentation
249,65,142,19 7/8,0,n/a,ornamentation
250,64,143,19 15/16,0,n/a,ornamentation
256,57,146,20,4,n/a,ornamentation
264,43,150,20 5/4,3,n/a,ornamentation
265,57,151,20 11/8,3,n/a,ornamentation
266,58,152,20 3/2,3,0,repetition
267,60,153,20 13/8,2,n/a,ornamentation
268,62,154,20 7/4,2,0,repetition
269,64,155,20 15/8,2,n/a,ornamentation
278,57,159,21 1/1,3,0,repetition
279,65,159,21 1/1,2,0,repetition
304,50,169,23 1/4,4,n/a,ornamentation
305,52,170,23 1/2,4,0,repetition
311,67,172,23 1/1,0,0,repetition
314,64,174,23 13/8,2,n/a,ornamentation
315,65,175,23 7/4,2,n/a,ornamentation
316,67,176,23 15/8,2,n/a,ornamentation
321,53,179,24 1/2,5,2,ficta
338,50,186,25 1/1,5,0,repetition
341,65,186,25 1/1,1,0,repetition
342,67,187,25 5/4,1,n/a,ornamentation
343,65,188,25 11/8,1,n/a,ornamentation
348,50,191,26,5,0,repetition
349,53,191,26,4,0,repetition
360,65,195,26 5/4,3,n/a,ornamentation
361,64,196,26 11/8,3,n/a,ornamentation
362,62,197,26 3/2,3,n/a,ornamentation
363,60,198,26 13/8,3,n/a,ornamentation
364,58,199,26 7/4,3,n/a,ornamentation
365,57,200,26 15/8,3,n/a,ornamentation
374,62,203,27 1/1,1,0,repetition
375,74,203,27 1/1,0,0,repetition
382,62,207,28,1,0,repetition
383,70,207,28,0,0,repetition
384,58,208,28 1/2,3,0,repetition
389,50,210,28 1/1,5,0,repetition
391,62,210,28 1/1,2,0,repetition
392,67,210,28 1/1,0,0,repetition
393,66,211,28 5/4,0,0,repetition
394,64,212,28 11/8,0,n/a,ornamentation
395,66,213,28 3/2,0,1,other
396,67,214,28 13/8,1,n/a,ornamentation
397,64,215,28 7/4,1,2,other
398,66,216,28 15/8,0,n/a,ornamentation
406,43,219,29 1/1,5,0,repetition
410,72,220,29 5/4,0,n/a,ornamentation
414,50,223,30,3,5,other
415,58,223,30,4,0,repetition
417,74,223,30,0,0,repetition
425,70,227,30 5/4,0,n/a,ornamentation
439,46,234,31 1/1,5,0,repetition
441,58,234,31 1/1,1,0,repetition
443,57,235,31 5/4,1,n/a,ornamentation
444,58,236,31 11/8,1,n/a,ornamentation
454,55,241,32 1/1,3,0,repetition
457,58,244,32 7/4,1,n/a,ornamentation
459,57,245,33,1,0,repetition
463,57,248,33 3/4,3,n/a,ornamentation
464,55,249,33 13/16,3,n/a,ornamentation
465,54,250,33 7/8,3,n/a,ornamentation
466,55,251,33 15/16,3,n/a,ornamentation
468,54,252,33 1/1,3,1,other
469,55,253,33 5/4,3,0,repetition
470,45,254,33 3/2,5,0,repetition
471,55,254,33 3/2,3,0,repetition
472,54,255,33 7/4,1,0,repetition
477,43,258,34 1/1,5,0,repetition
480,72,259,34 5/4,0,n/a,ornamentation
483,76,261,34 7/4,0,n/a,ornamentation
484,43,262,35,5,0,repetition
485,55,262,35,1,0,repetition
487,74,262,35,0,0,repetition
492,43,265,35 1/1,5,0,repetition
493,55,265,35 1/1,4,0,repetition
494,58,265,35 1/1,3,0,repetition
495,70,266,35 5/4,0,n/a,ornamentation
510,70,274,36 7/4,0,n/a,ornamentation
513,69,275,37,0,0,repetition
518,53,278,37 3/4,3,n/a,ornamentation
519,55,279,37 7/8,3,n/a,ornamentation
522,67,280,37 1/1,0,0,repetition
523,55,281,37 5/4,1,0,repetition
524,50,282,37 3/2,4,0,repetition
525,57,282,37 3/2,3,0,repetition
526,67,282,37 3/2,0,1,ficta
527,66,283,37 7/4,0,0,repetition
533,43,286,38 1/1,4,0,repetition
536,67,286,38 1/1,0,0,repetition
537,60,287,38 5/4,2,n/a,ornamentation
540,64,289,38 7/4,2,n/a,ornamentation
541,43,290,39,4,0,repetition
542,55,290,39,3,0,repetition
543,58,290,39,5,0,repetition
544,62,290,39,2,0,repetition
545,67,290,39,0,0,repetition
550,57,293,39 3/4,2,n/a,ornamentation
551,43,294,39 1/1,4,0,repetition
552,55,294,39 1/1,5,0,repetition
553,58,294,39 1/1,2,0,repetition
555,67,294,39 1/1,0,0,repetition
556,60,295,39 5/4,2,n/a,ornamentation
557,58,296,39 11/8,2,n/a,ornamentation
566,58,300,40 1/4,1,n/a,ornamentation
567,60,301,40 3/8,1,n/a,ornamentation
568,62,302,40 1/2,1,n/a,ornamentation
569,64,303,40 5/8,1,n/a,ornamentation
570,65,304,40 3/4,1,0,repetition
571,67,305,40 7/8,1,n/a,ornamentation
572,50,306,40 1/1,5,0,repetition
573,57,306,40 1/1,3,0,repetition
575,67,307,40 5/4,1,n/a,ornamentation
576,65,308,40 11/8,1,n/a,ornamentation
580,62,310,40 7/4,1,n/a,ornamentation
587,62,313,41 1/1,1,0,repetition
589,65,315,41 7/4,1,n/a,ornamentation
592,64,316,42,1,0,repetition
594,50,318,42 1/2,5,0,repetition
600,62,320,42 1/1,1,0,repetition
601,61,321,42 5/4,1,n/a,ornamentation
602,59,322,42 11/8,1,n/a,ornamentation
603,52,323,42 3/2,4,0,repetition
604,55,323,42 3/2,3,0,repetition
607,62,324,42 7/4,1,n/a,ornamentation
608,64,325,42 15/8,1,n/a,ornamentation
613,64,327,43 3/8,2,n/a,ornamentation
614,62,328,43 1/2,2,n/a,ornamentation
615,64,329,43 5/8,2,n/a,ornamentation
616,65,330,43 3/4,2,0,repetition
617,67,331,43 7/8,2,n/a,ornamentation
618,50,332,43 1/1,5,0,repetition
620,69,332,43 1/1,0,0,repetition
621,67,333,43 5/4,2,n/a,ornamentation
622,65,334,43 11/8,2,n/a,ornamentation
626,62,336,43 7/4,2,n/a,ornamentation
630,62,338,44 1/4,2,n/a,ornamentation
631,60,339,44 5/16,2,n/a,ornamentation
632,59,340,44 3/8,2,n/a,ornamentation
633,60,341,44 7/16,2,n/a,ornamentation
636,62,343,44 1/1,2,0,repetition
638,58,344,44 5/4,2,n/a,ornamentation
639,60,345,44 11/8,2,n/a,ornamentation
640,62,346,44 3/2,2,0,repetition
641,64,347,44 13/8,2,n/a,ornamentation
642,65,348,44 7/4,2,n/a,ornamentation
643,67,349,44 15/8,2,n/a,ornamentation
645,65,350,45,2,1,other
647,64,351,45 1/4,2,0,repetition
650,62,353,45 3/4,2,0,repetition
651,69,353,45 3/4,0,4,other
653,62,354,45 1/1,2,0,repetition
655,61,355,45 5/4,2,n/a,ornamentation
656,59,356,45 11/8,2,n/a,ornamentation
658,62,358,45 13/8,2,n/a,ornamentation
659,59,359,45 7/4,2,n/a,ornamentation
660,61,360,45 15/8,2,n/a,ornamentation
665,64,362,46 3/8,0,n/a,ornamentation
666,62,363,46 1/2,0,n/a,ornamentation
667,64,364,46 5/8,0,n/a,ornamentation
668,65,365,46 3/4,0,n/a,ornamentation
669,67,366,46 7/8,0,n/a,ornamentation
672,62,367,46 1/1,2,0,repetition
673,65,367,46 1/1,0,0,repetition
674,53,368,46 5/4,3,n/a,ornamentation
675,55,369,46 3/2,3,n/a,ornamentation
676,57,370,46 7/4,3,n/a,ornamentation
690,55,377,48,4,0,repetition
694,53,379,48 1/2,4,2,ficta
698,53,381,48 1/1,4,1,ficta
699,57,381,48 1/1,3,0,repetition
700,65,381,48 1/1,2,0,repetition
703,65,383,48 3/2,2,1,other
704,64,384,48 13/8,2,n/a,ornamentation
705,62,385,48 7/4,2,0,repetition
706,60,386,48 15/8,2,n/a,ornamentation
714,55,389,49 1/1,4,0,repetition
729,53,395,50 1/2,5,2,ficta
733,53,397,50 1/1,5,1,ficta
735,62,397,50 1/1,2,0,repetition
736,69,397,50 1/1,0,0,repetition
737,67,398,50 5/4,1,2,other
738,65,399,50 11/8,1,n/a,ornamentation
739,64,400,50 3/2,1,0,repetition
740,62,401,50 13/8,2,n/a,ornamentation
741,64,402,50 7/4,2,2,other
742,65,403,50 29/16,0,n/a,ornamentation
743,67,404,50 15/8,0,n/a,ornamentation
744,69,405,50 31/16,0,n/a,ornamentation
