note,pitch,chord,bar,mapped voice,cost,category
1,58,1,1 1/1,0,0,repetition
3,57,3,2 1/4,0,n/a,ornamentation
4,58,4,2 3/8,0,n/a,ornamentation
5,60,5,2 1/2,0,n/a,ornamentation
6,57,6,2 5/8,0,n/a,ornamentation
7,58,7,2 3/4,0,n/a,ornamentation
8,60,8,2 7/8,0,n/a,ornamentation
10,60,10,2 5/4,0,n/a,ornamentation
11,58,11,2 11/8,0,n/a,ornamentation
12,57,12,2 3/2,0,n/a,ornamentation
13,58,13,2 13/8,0,n/a,ornamentation
14,60,14,2 7/4,0,n/a,ornamentation
15,62,15,2 15/8,0,n/a,ornamentation
18,53,17,3 1/4,0,n/a,ornamentation
19,55,18,3 3/8,0,n/a,ornamentation
20,57,19,3 1/2,0,n/a,ornamentation
21,58,20,3 5/8,0,n/a,ornamentation
22,60,21,3 3/4,0,n/a,ornamentation
23,62,22,3 7/8,0,n/a,ornamentation
24,51,23,3 1/1,1,0,repetition
26,62,24,3 5/4,0,n/a,ornamentation
27,60,25,3 3/2,0,n/a,ornamentation
28,63,26,3 7/4,0,n/a,ornamentation
32,50,28,4 1/4,1,n/a,ornamentation
33,51,29,4 3/8,1,n/a,ornamentation
34,53,30,4 1/2,1,n/a,ornamentation
35,50,31,4 5/8,1,n/a,ornamentation
36,51,32,4 3/4,1,n/a,ornamentation
37,53,33,4 7/8,1,n/a,ornamentation
38,46,34,4 1/1,2,0,repetition
40,62,34,4 1/1,0,0,repetition
41,51,35,4 5/4,1,n/a,ornamentation
42,53,36,4 11/8,1,n/a,ornamentation
43,55,37,4 3/2,1,n/a,ornamentation
44,51,38,4 13/8,1,n/a,ornamentation
45,53,39,4 7/4,1,n/a,ornamentation
46,55,40,4 15/8,1,n/a,ornamentation
53,46,44,5 5/4,2,n/a,ornamentation
54,48,45,5 3/2,2,n/a,ornamentation
55,50,46,5 7/4,2,n/a,ornamentation
60,65,48,6 3/8,0,n/a,ornamentation
61,63,49,6 1/2,0,n/a,ornamentation
62,65,50,6 5/8,0,n/a,ornamentation
63,67,51,6 3/4,0,n/a,ornamentation
64,68,52,6 7/8,0,n/a,ornamentation
65,39,53,6 1/1,3,0,repetition
67,55,53,6 1/1,1,0,repetition
68,67,53,6 1/1,0,0,repetition
69,65,54,6 5/4,0,n/a,ornamentation
70,39,55,6 3/2,3,0,repetition
71,51,55,6 3/2,2,0,repetition
72,55,55,6 3/2,1,0,repetition
73,67,55,6 3/2,0,0,repetition
85,50,61,8,2,0,repetition
86,55,61,8,1,0,repetition
88,53,62,8 1/4,1,n/a,ornamentation
89,55,63,8 3/8,1,n/a,ornamentation
90,56,64,8 1/2,1,1,other
91,55,65,8 5/8,1,n/a,ornamentation
92,53,66,8 3/4,1,0,repetition
93,51,67,8 7/8,1,n/a,ornamentation
97,60,68,8 1/1,0,0,repetition
98,55,69,8 5/4,1,n/a,ornamentation
99,44,70,8 3/2,3,0,repetition
100,55,70,8 3/2,1,2,other
101,53,71,8 7/4,1,n/a,ornamentation
106,50,73,9 1/4,3,n/a,ornamentation
107,48,74,9 1/2,3,n/a,ornamentation
108,46,75,9 3/4,3,n/a,ornamentation
109,43,76,9 1/1,3,0,repetition
111,55,76,9 1/1,1,0,repetition
112,58,76,9 1/1,0,0,repetition
114,43,78,10,3,0,repetition
115,51,78,10,2,0,repetition
116,55,78,10,1,0,repetition
117,50,79,10 1/4,2,n/a,ornamentation
118,51,80,10 3/8,2,n/a,ornamentation
119,53,81,10 1/2,2,2,other
120,51,82,10 5/8,1,n/a,ornamentation
121,53,83,10 3/4,1,2,other
122,51,84,10 13/16,2,n/a,ornamentation
123,50,85,10 7/8,2,n/a,ornamentation
124,48,86,10 15/16,2,n/a,ornamentation
125,43,87,10 1/1,3,0,repetition
132,55,90,11 1/2,1,n/a,ornamentation
133,57,91,11 5/8,1,n/a,ornamentation
134,58,92,11 3/4,1,n/a,ornamentation
135,60,93,11 7/8,1,n/a,ornamentation
138,55,94,11 1/1,0,0,repetition
140,41,95,11 11/8,3,n/a,ornamentation
141,43,96,11 3/2,3,n/a,ornamentation
142,41,97,11 13/8,3,n/a,ornamentation
143,43,98,11 7/4,3,n/a,ornamentation
144,45,99,11 15/8,3,n/a,ornamentation
152,44,103,12 5/4,3,n/a,ornamentation
153,46,104,12 11/8,3,n/a,ornamentation
154,48,105,12 3/2,3,n/a,ornamentation
155,46,106,12 13/8,3,n/a,ornamentation
156,44,107,12 7/4,3,n/a,ornamentation
157,43,108,12 15/8,3,n/a,ornamentation
162,63,110,13 1/4,0,n/a,ornamentation
163,62,111,13 3/8,0,n/a,ornamentation
164,63,112,13 1/2,0,n/a,ornamentation
165,62,113,13 5/8,0,n/a,ornamentation
166,60,114,13 3/4,0,n/a,ornamentation
167,58,115,13 7/8,0,n/a,ornamentation
170,56,116,13 1/1,1,0,repetition
172,55,117,13 5/4,1,n/a,ornamentation
173,56,118,13 11/8,1,n/a,ornamentation
174,58,119,13 3/2,1,2,other
175,56,120,13 13/8,0,n/a,ornamentation
176,58,121,13 7/4,0,2,other
177,56,122,13 29/16,1,n/a,ornamentation
178,55,123,13 15/8,1,n/a,ornamentation
179,53,124,13 31/16,1,n/a,ornamentation
184,58,126,14 3/8,0,n/a,ornamentation
185,56,127,14 1/2,0,n/a,ornamentation
186,58,128,14 5/8,0,n/a,ornamentation
187,60,129,14 3/4,0,n/a,ornamentation
188,62,130,14 7/8,0,n/a,ornamentation
191,44,132,14 5/4,3,n/a,ornamentation
197,63,135,15,0,0,repetition
201,39,138,15 1/1,3,0,repetition
204,51,139,15 5/4,2,n/a,ornamentation
208,55,142,16,1,0,repetition
209,58,142,16,0,0,repetition
212,46,144,16 1/1,2,0,repetition
229,48,152,18 1/1,2,0,repetition
231,50,153,18 5/4,2,n/a,ornamentation
232,48,154,18 21/16,2,n/a,ornamentation
233,46,155,18 11/8,2,n/a,ornamentation
234,48,156,18 23/16,2,n/a,ornamentation
240,45,161,19 3/4,3,2,ficta
243,51,163,19 9/8,2,n/a,ornamentation
244,53,164,19 5/4,2,n/a,ornamentation
245,50,165,19 11/8,2,n/a,ornamentation
248,50,167,19 13/8,2,n/a,ornamentation
249,51,168,19 7/4,2,n/a,ornamentation
250,50,169,19 29/16,2,n/a,ornamentation
251,51,170,19 15/8,2,n/a,ornamentation
252,53,171,19 31/16,2,n/a,ornamentation
253,48,172,20,3,0,repetition
254,51,172,20,2,0,repetition
260,46,176,20 1/1,3,0,repetition
262,45,177,20 5/4,3,n/a,ornamentation
263,46,178,20 3/2,3,0,repetition
264,45,179,20 13/8,3,n/a,ornamentation
265,43,180,20 7/4,3,n/a,ornamentation
266,45,181,20 15/8,3,n/a,ornamentation
270,50,183,21 1/4,1,n/a,ornamentation
271,51,184,21 3/8,1,n/a,ornamentation
272,53,185,21 1/2,1,n/a,ornamentation
273,50,186,21 5/8,1,n/a,ornamentation
274,51,187,21 3/4,1,n/a,ornamentation
275,53,188,21 7/8,1,n/a,ornamentation
284,51,192,22 3/4,2,n/a,ornamentation
288,60,194,22 5/4,0,n/a,ornamentation
289,58,195,22 11/8,0,n/a,ornamentation
290,57,196,22 3/2,0,n/a,ornamentation
291,58,197,22 13/8,0,n/a,ornamentation
292,60,198,22 7/4,0,n/a,ornamentation
293,62,199,22 15/8,0,n/a,ornamentation
303,60,205,24 1/4,0,n/a,ornamentation
305,62,206,24 1/2,0,0,repetition
311,60,210,24 7/4,1,n/a,ornamentation
312,58,211,25,1,0,repetition
313,67,211,25,0,0,repetition
315,65,212,25 1/4,0,2,other
322,65,215,25 1/1,0,0,repetition
323,64,216,25 5/4,0,n/a,ornamentation
324,62,217,25 11/8,0,n/a,ornamentation
327,62,219,25 7/4,0,n/a,ornamentation
328,64,220,25 15/8,0,n/a,ornamentation
339,53,227,26 13/8,1,n/a,ornamentation
340,51,228,26 7/4,1,n/a,ornamentation
341,55,229,26 15/8,1,n/a,ornamentation
342,46,230,27,3,0,repetition
344,55,231,27 1/4,1,n/a,ornamentation
349,56,234,27 1/1,1,0,repetition
350,58,235,27 5/4,1,n/a,ornamentation
351,56,236,27 21/16,1,n/a,ornamentation
352,55,237,27 11/8,1,n/a,ornamentation
353,56,238,27 23/16,1,n/a,ornamentation
357,55,240,28,1,0,repetition
360,44,242,28 1/2,3,1,other
362,43,243,28 3/4,3,n/a,ornamentation
364,51,244,28 1/1,1,0,repetition
366,50,245,28 5/4,1,n/a,ornamentation
367,48,246,28 11/8,1,n/a,ornamentation
368,41,247,28 3/2,3,0,repetition
370,65,247,28 3/2,0,0,repetition
371,48,248,28 7/4,1,n/a,ornamentation
372,50,249,28 15/8,1,n/a,ornamentation
380,55,253,29 5/4,2,n/a,ornamentation
381,56,254,29 11/8,2,n/a,ornamentation
383,62,255,29 3/2,0,3,other
384,60,256,29 7/4,2,n/a,ornamentation
386,67,257,30,0,0,repetition
399,68,262,30 7/4,0,n/a,ornamentation
400,39,263,31,3,0,repetition
402,58,263,31,1,0,repetition
403,67,263,31,0,0,repetition
413,63,266,31 1/1,0,0,repetition
414,62,267,31 5/4,0,n/a,ornamentation
415,60,268,31 11/8,0,n/a,ornamentation
419,60,270,31 7/4,0,n/a,ornamentation
420,62,271,31 15/8,0,n/a,ornamentation
425,50,273,32 1/4,2,n/a,ornamentation
426,51,274,32 1/2,2,n/a,ornamentation
437,56,279,32 7/4,1,n/a,ornamentation
438,58,280,32 15/8,1,n/a,ornamentation
439,41,281,33,3,0,repetition
441,56,281,33,1,0,repetition
442,60,281,33,0,0,repetition
450,53,285,33 1/1,1,0,repetition
452,52,286,33 5/4,1,n/a,ornamentation
453,50,287,33 11/8,1,n/a,ornamentation
456,53,289,33 7/4,1,n/a,ornamentation
457,52,290,33 29/16,1,n/a,ornamentation
458,50,291,33 15/8,1,n/a,ornamentation
459,52,292,33 31/16,1,n/a,ornamentation
465,41,296,34 1/1,3,0,repetition
471,62,299,34 7/4,0,n/a,ornamentation
474,60,300,35,0,0,repetition
482,58,304,35 1/1,0,0,repetition
483,57,305,35 5/4,0,n/a,ornamentation
484,55,306,35 11/8,0,n/a,ornamentation
485,58,307,35 3/2,0,0,repetition
486,57,308,35 13/8,0,n/a,ornamentation
487,58,309,35 7/4,0,n/a,ornamentation
488,57,310,35 29/16,0,n/a,ornamentation
489,55,311,35 15/8,0,n/a,ornamentation
490,57,312,35 31/16,0,n/a,ornamentation
491,34,313,36,3,7,other
496,34,316,36 1/1,3,12,other
517,46,326,37 7/4,3,n/a,ornamentation
519,58,327,38,1,0,repetition
521,57,328,38 1/4,1,n/a,ornamentation
522,55,329,38 3/8,1,n/a,ornamentation
523,48,330,38 1/2,3,0,repetition
526,55,331,38 3/4,1,n/a,ornamentation
527,57,332,38 7/8,1,n/a,ornamentation
534,53,335,39,2,0,repetition
535,62,335,39,0,0,repetition
544,44,340,39 11/8,3,n/a,ornamentation
545,46,341,39 3/2,3,n/a,ornamentation
546,43,342,39 13/8,3,n/a,ornamentation
547,44,343,39 7/4,3,n/a,ornamentation
548,46,344,39 15/8,3,n/a,ornamentation
555,63,347,40 1/1,0,0,repetition
556,62,348,40 5/4,0,n/a,ornamentation
557,60,349,40 11/8,0,n/a,ornamentation
558,63,350,40 3/2,0,0,repetition
559,62,351,40 13/8,0,n/a,ornamentation
560,63,352,40 7/4,0,n/a,ornamentation
561,62,353,40 29/16,0,n/a,ornamentation
562,60,354,40 15/8,0,n/a,ornamentation
563,62,355,40 31/16,0,n/a,ornamentation
568,53,357,41 1/4,0,n/a,ornamentation
569,55,358,41 3/8,0,n/a,ornamentation
570,57,359,41 1/2,0,n/a,ornamentation
571,58,360,41 5/8,0,n/a,ornamentation
572,60,361,41 3/4,0,n/a,ornamentation
573,62,362,41 7/8,0,n/a,ornamentation
574,39,363,41 1/1,3,0,repetition
576,63,363,41 1/1,0,0,repetition
580,50,366,42,3,1,other
584,51,367,42 1/4,3,n/a,ornamentation
585,51,368,42 1/2,3,0,repetition
586,65,368,42 1/2,0,0,repetition
587,50,369,42 3/4,3,n/a,ornamentation
595,67,372,43,0,0,repetition
596,65,373,43 1/4,0,2,other
597,63,374,43 3/8,0,n/a,ornamentation
599,63,376,43 5/8,0,n/a,ornamentation
600,62,377,43 3/4,0,3,other
601,60,378,43 7/8,0,n/a,ornamentation
603,55,379,43 1/1,2,0,repetition
609,46,382,44,3,0,repetition
611,65,382,44,0,0,repetition
618,53,386,44 1/1,2,0,repetition
622,46,388,44 3/2,3,0,repetition
630,58,390,45,0,0,repetition
632,53,391,45 1/2,1,2,other
633,51,392,45 3/4,2,0,repetition
634,46,393,45 1/1,3,0,repetition
635,50,393,45 1/1,2,1,other
637,51,394,45 5/4,2,n/a,ornamentation
638,46,395,45 3/2,3,0,repetition
639,51,395,45 3/2,2,0,repetition
640,53,395,45 3/2,1,0,repetition
641,50,396,45 7/4,2,n/a,ornamentation
647,58,399,46 1/1,0,0,repetition
651,51,401,47,2,0,repetition
653,51,402,47 1/4,2,n/a,ornamentation
654,53,403,47 3/8,2,n/a,ornamentation
655,55,404,47 1/2,2,4,other
656,56,405,47 5/8,0,n/a,ornamentation
657,58,406,47 3/4,0,n/a,ornamentation
658,60,407,47 7/8,0,n/a,ornamentation
667,58,411,48 1/4,0,n/a,ornamentation
668,60,412,48 1/2,0,4,other
669,58,413,48 3/4,0,n/a,ornamentation
671,48,414,48 1/1,2,0,repetition
672,56,414,48 1/1,0,0,repetition
673,50,415,48 5/4,2,n/a,ornamentation
674,48,416,48 21/16,2,n/a,ornamentation
675,46,417,48 11/8,2,n/a,ornamentation
676,48,418,48 23/16,2,n/a,ornamentation
677,50,419,48 3/2,2,0,repetition
678,46,420,48 13/8,2,n/a,ornamentation
679,48,421,48 7/4,2,n/a,ornamentation
680,50,422,48 15/8,2,n/a,ornamentation
685,46,424,49 1/4,1,n/a,ornamentation
686,44,425,49 1/2,1,n/a,ornamentation
687,48,426,49 3/4,1,n/a,ornamentation
688,39,427,49 1/1,3,0,repetition
690,51,427,49 1/1,2,0,repetition
691,55,427,49 1/1,0,0,repetition
692,50,428,49 7/4,2,n/a,ornamentation
693,39,429,50,3,0,repetition
695,55,429,50,0,0,repetition
696,46,430,50 1/4,2,n/a,ornamentation
697,48,431,50 3/8,2,n/a,ornamentation
698,50,432,50 1/2,2,n/a,ornamentation
699,48,433,50 5/8,2,n/a,ornamentation
700,50,434,50 3/4,2,n/a,ornamentation
701,48,435,50 13/16,2,n/a,ornamentation
702,46,436,50 7/8,2,n/a,ornamentation
703,48,437,50 15/16,2,n/a,ornamentation
704,39,438,50 1/1,3,0,repetition
707,55,438,50 1/1,0,0,repetition
708,48,439,50 3/2,2,2,other
709,50,440,51,2,2,ficta
712,58,442,51 3/4,1,n/a,ornamentation
718,46,446,52 1/4,2,n/a,ornamentation
721,37,449,52 1/1,3,0,repetition
724,56,449,52 1/1,0,0,repetition
730,50,452,53 3/8,1,n/a,ornamentation
731,48,453,53 1/2,1,n/a,ornamentation
732,50,454,53 5/8,1,n/a,ornamentation
733,51,455,53 3/4,1,0,repetition
734,53,456,53 7/8,1,n/a,ornamentation
737,54,457,53 1/1,1,1,ficta
739,44,458,53 11/8,2,n/a,ornamentation
740,46,459,53 3/2,2,n/a,ornamentation
743,49,461,54,2,1,ficta
750,56,465,54 1/1,0,0,repetition
755,50,468,54 13/8,2,n/a,ornamentation
756,51,469,54 7/4,2,n/a,ornamentation
757,50,470,54 29/16,2,n/a,ornamentation
758,51,471,54 15/8,2,n/a,ornamentation
759,53,472,54 31/16,2,n/a,ornamentation
760,48,473,55,3,0,repetition
761,51,473,55,2,0,repetition
768,46,477,55 1/1,3,0,repetition
770,45,478,55 5/4,3,n/a,ornamentation
771,46,479,55 3/2,3,0,repetition
772,45,480,55 13/8,3,n/a,ornamentation
773,43,481,55 7/4,3,n/a,ornamentation
774,45,482,55 15/8,3,n/a,ornamentation
777,53,483,56,2,5,other
779,60,484,56 3/8,0,n/a,ornamentation
780,61,485,56 1/2,0,n/a,ornamentation
781,60,486,56 3/4,0,n/a,ornamentation
782,46,487,56 1/1,3,0,repetition
783,49,487,56 1/1,1,0,repetition
784,58,487,56 1/1,0,0,repetition
785,56,488,56 11/8,1,n/a,ornamentation
786,55,489,56 3/2,1,n/a,ornamentation
787,53,490,56 13/8,1,n/a,ornamentation
788,51,491,56 7/4,1,n/a,ornamentation
789,50,492,56 15/8,1,n/a,ornamentation
794,38,494,57 1/4,3,n/a,ornamentation
795,39,495,57 1/2,3,n/a,ornamentation
796,38,496,57 5/8,3,n/a,ornamentation
797,39,497,57 3/4,3,n/a,ornamentation
798,41,498,57 7/8,3,n/a,ornamentation
800,46,499,57 1/1,2,0,repetition
808,55,502,58 3/8,0,n/a,ornamentation
809,53,503,58 1/2,0,n/a,ornamentation
810,55,504,58 5/8,0,n/a,ornamentation
811,56,505,58 3/4,0,0,repetition
812,58,506,58 7/8,1,n/a,ornamentation
813,41,507,58 1/1,3,0,repetition
820,41,510,59,3,0,repetition
822,60,510,59,1,0,repetition
823,65,510,59,0,0,repetition
828,41,514,59 1/1,3,0,repetition
829,53,514,59 1/1,2,0,repetition
830,58,514,59 1/1,1,0,repetition
832,57,515,59 5/4,1,1,other
833,55,516,59 11/8,1,n/a,ornamentation
834,53,517,59 3/2,2,0,repetition
837,55,518,59 7/4,1,n/a,ornamentation
838,57,519,59 15/8,1,n/a,ornamentation
839,34,520,60,3,7,other
842,57,521,60 1/4,1,n/a,ornamentation
843,55,522,60 3/8,1,n/a,ornamentation
844,53,523,60 1/2,1,n/a,ornamentation
845,51,524,60 5/8,1,n/a,ornamentation
846,50,525,60 3/4,1,n/a,ornamentation
847,48,526,60 7/8,1,n/a,ornamentation
851,50,528,60 3/2,2,n/a,ornamentation
852,51,529,60 13/8,2,n/a,ornamentation
853,53,530,60 7/4,2,n/a,ornamentation
854,55,531,60 15/8,2,n/a,ornamentation
856,53,532,61,2,0,repetition
860,50,534,61 1/1,2,0,repetition
862,65,534,61 1/1,0,0,repetition
882,63,544,64,0,0,repetition
888,60,546,64 1/1,0,0,repetition
890,41,548,65,3,0,repetition
895,56,549,65 1/2,0,0,repetition
903,61,553,66,0,0,repetition
904,60,554,66 3/8,0,n/a,ornamentation
905,61,555,66 1/2,0,0,repetition
906,60,556,66 5/8,0,n/a,ornamentation
