note,pitch,chord,bar,mapped voice,cost,category
3,58,2,1 1/1,2,0,repetition
11,57,6,2 1/4,2,n/a,ornamentation
14,58,9,2 1/1,2,0,repetition
16,63,10,2 5/4,3,1,other
21,62,12,3,3,4,other
22,70,12,3,0,0,repetition
23,64,13,3 1/4,2,n/a,ornamentation
24,66,14,3 3/8,2,n/a,ornamentation
28,67,16,3 1/1,2,0,repetition
31,67,18,3 3/2,2,1,ficta
32,66,19,3 13/8,2,n/a,ornamentation
34,66,21,3 15/8,2,n/a,ornamentation
40,55,25,4 1/1,3,0,repetition
42,70,25,4 1/1,0,0,repetition
48,62,28,4 7/4,2,0,repetition
49,69,28,4 7/4,0,0,repetition
55,50,32,5 1/1,3,0,repetition
56,57,32,5 1/1,2,0,repetition
58,65,32,5 1/1,1,0,repetition
59,64,33,5 5/4,0,n/a,ornamentation
60,62,34,5 3/2,0,n/a,ornamentation
62,50,36,6,3,0,repetition
68,50,39,6 1/1,3,0,repetition
71,52,40,6 5/4,2,1,other
73,53,41,6 3/2,2,0,repetition
78,65,43,7,1,0,repetition
83,74,45,7 1/1,0,0,repetition
93,65,50,8 1/1,1,0,repetition
105,62,56,9 5/4,1,0,repetition
106,70,56,9 5/4,0,0,repetition
107,60,57,9 3/2,2,2,other
116,58,61,10 1/1,3,0,repetition
117,62,61,10 1/1,2,0,repetition
118,51,62,10 5/4,4,1,other
123,62,64,11,2,0,repetition
124,45,65,11 1/4,5,n/a,ornamentation
129,62,68,11 1/1,2,0,repetition
130,51,69,11 5/4,4,1,other
134,58,71,12,3,0,repetition
135,62,71,12,2,0,repetition
136,57,72,12 1/4,5,n/a,ornamentation
139,62,73,12 1/2,2,0,repetition
141,55,74,12 1/1,5,0,repetition
147,55,77,13 1/2,5,n/a,ornamentation
148,43,78,13 3/4,5,n/a,ornamentation
149,43,79,13 1/1,5,12,other
151,58,79,13 1/1,3,0,repetition
152,53,80,13 5/4,3,n/a,ornamentation
153,55,81,13 11/8,3,n/a,ornamentation
154,57,82,13 3/2,3,1,other
156,55,83,13 13/8,5,n/a,ornamentation
157,53,84,13 7/4,5,0,repetition
158,52,85,13 15/8,4,n/a,ornamentation
160,53,86,14,4,2,other
169,58,91,14 3/2,2,0,repetition
176,53,94,15 1/1,4,0,repetition
177,62,94,15 1/1,1,0,repetition
178,69,94,15 1/1,0,0,repetition
183,69,96,15 3/2,0,0,repetition
189,62,98,16 1/2,2,0,repetition
195,62,101,16 5/4,2,n/a,ornamentation
198,65,102,16 3/2,2,0,repetition
199,50,103,17,5,0,repetition
200,57,103,17,3,2,other
201,65,103,17,2,0,repetition
202,69,103,17,0,0,repetition
203,64,104,17 1/4,2,1,other
205,64,106,17 5/8,2,n/a,ornamentation
206,62,107,17 3/4,2,n/a,ornamentation
207,60,108,17 7/8,2,n/a,ornamentation
209,58,109,17 1/1,3,3,other
212,60,110,17 5/4,2,n/a,ornamentation
214,62,111,17 3/2,2,0,repetition
219,70,113,18,0,0,repetition
220,67,114,18 1/4,2,n/a,ornamentation
221,65,115,18 1/2,2,0,repetition
222,57,116,18 3/4,3,n/a,ornamentation
223,50,117,18 1/1,5,0,repetition
224,57,117,18 1/1,3,0,repetition
225,65,117,18 1/1,2,0,repetition
226,69,117,18 1/1,0,0,repetition
228,64,118,18 5/4,2,1,other
229,46,119,18 3/2,5,2,other
230,62,119,18 3/2,2,3,other
231,45,120,18 7/4,5,5,other
232,60,120,18 7/4,3,3,other
234,50,121,19,4,0,repetition
237,62,121,19,2,3,other
239,45,122,19 1/4,5,n/a,ornamentation
240,46,123,19 1/2,5,n/a,ornamentation
241,48,124,19 3/4,5,n/a,ornamentation
245,52,126,19 5/4,1,n/a,ornamentation
248,57,127,19 3/2,3,0,repetition
249,65,128,20,2,n/a,ornamentation
250,48,129,20 1/4,5,2,other
251,64,129,20 1/4,2,1,other
254,57,130,20 1/2,3,0,repetition
259,60,132,20 5/4,2,n/a,ornamentation
261,62,133,20 3/2,2,0,repetition
271,57,138,21 1/1,3,0,repetition
272,65,138,21 1/1,2,0,repetition
276,46,140,21 3/2,4,4,other
280,45,141,21 7/4,5,5,other
287,57,144,22 3/8,2,n/a,ornamentation
291,60,146,22 5/8,1,n/a,ornamentation
292,62,147,22 3/4,1,n/a,ornamentation
293,64,148,22 7/8,1,n/a,ornamentation
303,50,152,23 1/4,4,n/a,ornamentation
304,52,153,23 1/2,4,0,repetition
305,54,154,23 3/4,3,1,ficta
309,67,155,23 1/1,0,0,repetition
310,60,156,23 5/4,3,n/a,ornamentation
312,58,157,23 3/2,3,0,repetition
315,53,158,24,5,2,other
327,57,163,24 5/4,2,1,other
328,43,164,24 3/2,5,12,other
329,55,164,24 3/2,4,0,repetition
331,62,164,24 3/2,1,0,repetition
339,50,167,25 1/1,5,0,repetition
341,57,167,25 1/1,3,2,other
342,65,167,25 1/1,1,0,repetition
343,55,168,25 3/2,3,0,repetition
348,52,171,26 1/4,4,n/a,ornamentation
350,58,172,26 1/2,2,1,other
351,67,172,26 1/2,1,2,other
352,65,173,26 3/4,1,0,repetition
358,69,175,26 5/4,1,n/a,ornamentation
359,67,176,26 11/8,1,n/a,ornamentation
360,65,177,26 3/2,1,n/a,ornamentation
361,64,178,26 13/8,1,n/a,ornamentation
362,62,179,26 7/4,1,n/a,ornamentation
363,60,180,26 15/8,1,n/a,ornamentation
370,45,183,27 3/4,5,n/a,ornamentation
374,62,184,27 1/1,1,0,repetition
376,62,186,27 3/2,1,0,repetition
380,58,189,28 1/4,3,0,repetition
381,62,189,28 1/4,1,0,repetition
382,70,189,28 1/4,0,0,repetition
383,60,190,28 1/2,3,2,other
386,50,192,28 1/1,5,0,repetition
388,62,192,28 1/1,2,0,repetition
399,43,197,29 1/2,5,0,repetition
403,43,198,29 1/1,5,0,repetition
410,55,201,30,3,0,repetition
411,58,201,30,4,0,repetition
420,70,204,30 1/1,0,0,repetition
434,57,210,31 3/4,1,1,other
435,55,211,31 7/8,3,n/a,ornamentation
436,46,212,31 1/1,5,0,repetition
437,55,212,31 1/1,3,0,repetition
438,58,212,31 1/1,1,0,repetition
448,54,218,32 5/4,3,1,other
449,53,219,32 11/8,1,n/a,ornamentation
450,48,220,32 3/2,5,0,repetition
457,48,224,33 1/1,4,2,other
458,54,225,33 9/8,3,n/a,ornamentation
459,55,226,33 5/4,3,0,repetition
460,54,227,33 11/8,3,n/a,ornamentation
461,55,228,33 3/2,3,0,repetition
462,54,229,33 13/8,1,n/a,ornamentation
464,54,231,33 15/8,1,n/a,ornamentation
466,50,232,34,4,0,repetition
470,43,234,34 1/1,5,0,repetition
475,43,236,35,5,0,repetition
476,55,236,35,1,0,repetition
482,43,239,35 1/1,5,0,repetition
483,55,239,35 1/1,4,0,repetition
484,58,239,35 1/1,3,0,repetition
485,70,239,35 1/1,0,0,repetition
501,70,247,36 7/4,0,n/a,ornamentation
503,60,248,37,3,0,repetition
504,69,248,37,0,0,repetition
511,67,251,37 1/1,0,0,repetition
517,43,255,38 1/1,4,0,repetition
520,67,255,38 1/1,0,0,repetition
521,54,256,38 3/2,5,1,other
523,43,257,39,4,0,repetition
524,55,257,39,3,0,repetition
525,58,257,39,5,0,repetition
526,62,257,39,2,0,repetition
527,67,257,39,0,0,repetition
528,57,258,39 1/2,5,0,repetition
529,60,258,39 1/2,2,0,repetition
530,55,259,39 3/4,5,0,repetition
531,58,259,39 3/4,2,0,repetition
537,50,262,40 1/1,5,0,repetition
538,53,262,40 1/1,2,0,repetition
539,57,262,40 1/1,3,0,repetition
550,62,266,41 1/1,1,0,repetition
