note,pitch,chord,bar,mapped voice,cost,category
2,57,2,2,3,0,repetition
18,50,13,3 1/1,3,0,repetition
20,65,13,3 1/1,1,0,repetition
22,65,15,3 3/2,1,0,repetition
46,70,32,5 1/1,0,0,repetition
48,70,34,5 3/2,0,0,repetition
56,55,40,6 1/2,3,0,repetition
63,64,46,6 3/2,1,0,repetition
70,52,51,7 1/1,3,0,repetition
80,69,55,8 1/1,0,0,repetition
82,69,57,8 3/2,0,0,repetition
111,53,75,11 1/1,3,0,repetition
112,57,75,11 1/1,2,0,repetition
113,69,75,11 1/1,0,0,repetition
136,45,90,13 1/1,3,0,repetition
143,55,95,14,2,2,other
144,59,95,14,0,6,ficta
148,59,98,14 1/1,2,1,other
149,62,98,14 1/1,1,0,repetition
153,65,99,14 3/2,0,2,other
159,64,102,15 1/2,0,2,other
167,62,110,15 3/2,0,0,repetition
180,65,119,16 5/4,0,0,repetition
188,69,125,17,0,0,repetition
189,70,126,17 1/4,0,1,ficta
193,72,128,17 1/1,0,0,repetition
196,70,131,17 3/2,0,2,ficta
198,70,133,17 7/4,0,1,ficta
206,67,138,18 1/1,0,0,repetition
215,53,144,20,3,0,repetition
220,57,147,20 1/1,3,0,repetition
224,57,149,20 5/4,3,0,repetition
226,60,151,20 3/2,2,0,repetition
228,64,153,20 7/4,1,0,repetition
236,52,159,21 1/1,3,0,repetition
253,64,166,23 1/2,1,0,repetition
257,72,168,23 1/1,0,0,repetition
268,55,178,24 1/1,3,0,repetition
270,71,178,24 1/1,0,0,repetition
271,57,179,24 3/2,3,2,other
273,53,181,24 7/4,3,0,repetition
276,62,183,25,2,0,repetition
280,50,186,25 1/1,3,0,repetition
284,57,188,26,2,5,other
288,64,189,26 1/2,1,0,repetition
289,72,189,26 1/2,0,0,repetition
299,71,193,27,0,0,repetition
315,52,201,28 1/1,3,0,repetition
318,68,203,28 5/4,0,0,repetition
320,68,205,28 3/2,0,1,other
322,66,207,28 7/4,0,5,other
329,69,211,29 1/1,0,0,repetition
344,64,217,31,0,1,other
348,61,221,31 3/4,0,3,ficta
350,45,223,31 1/1,3,0,repetition
353,61,225,31 5/4,0,0,repetition
355,62,227,31 3/2,0,0,repetition
357,62,229,31 7/4,0,2,ficta
384,57,249,34 1/1,1,0,repetition
394,62,255,35 1/1,2,0,repetition
412,50,266,37 1/1,3,0,repetition
418,53,268,38,1,0,repetition
428,62,273,38 3/2,2,2,other
448,55,289,40 1/2,3,2,other
461,50,299,41 1/1,3,0,repetition
471,57,307,42,1,0,repetition
483,62,316,43,2,0,repetition
487,64,319,43 3/4,1,2,other
489,69,320,43 1/1,0,0,repetition
493,57,324,44 1/1,3,0,repetition
497,64,325,44 3/2,1,0,repetition
505,62,329,45 1/1,1,0,repetition
508,62,331,45 3/2,1,2,other
513,59,335,46,2,2,other
518,67,339,46 1/2,0,0,repetition
520,52,341,46 1/1,3,0,repetition
521,64,341,46 1/1,2,0,repetition
529,62,345,47 1/2,2,0,repetition
537,69,351,47 3/2,0,0,repetition
545,57,356,48 1/1,2,0,repetition
555,65,361,49 1/1,0,0,repetition
557,53,363,49 5/4,1,0,repetition
563,57,367,49 7/4,2,0,repetition
570,55,371,50 1/1,1,0,repetition
580,64,378,51 1/2,0,4,other
582,64,380,51 3/4,1,4,other
584,45,382,51 1/1,3,0,repetition
585,57,382,51 1/1,2,0,repetition
587,53,383,51 3/2,3,8,other
591,59,384,52,1,2,ficta
594,55,386,52 1/2,2,0,repetition
597,52,388,52 3/4,2,3,other
601,62,390,52 1/1,0,0,repetition
604,45,393,52 3/2,3,0,repetition
605,52,393,52 3/2,2,0,repetition
619,67,404,53 3/2,0,2,other
655,57,428,57 3/4,1,0,repetition
659,60,432,57 5/4,2,0,repetition
665,64,435,58,1,0,repetition
668,64,437,58 1/2,1,0,repetition
673,62,441,58 1/1,1,0,repetition
677,62,444,58 3/2,1,0,repetition
688,62,453,59 3/4,1,0,repetition
690,50,455,59 1/1,3,0,repetition
693,65,457,59 5/4,0,0,repetition
698,69,460,60,0,0,repetition
700,69,462,60 1/2,0,0,repetition
709,67,470,60 3/2,0,0,repetition
725,45,480,62 1/1,3,0,repetition
734,50,485,63 1/1,2,0,repetition
738,52,487,64,2,2,other
741,55,488,64 1/2,3,0,repetition
745,67,490,64 1/1,0,0,repetition
751,59,493,65,1,0,repetition
765,45,501,66 1/1,3,0,repetition
781,62,512,67 3/2,0,0,repetition
788,50,517,68 1/1,2,0,repetition
791,58,518,68 3/2,3,1,ficta
799,55,523,69 1/2,3,0,repetition
803,67,525,69 1/1,0,0,repetition
809,59,528,70,1,0,repetition
818,57,533,70 3/2,1,0,repetition
826,60,538,71 1/2,2,0,repetition
828,45,540,71 1/1,3,0,repetition
835,64,543,72,0,0,repetition
838,64,545,72 1/2,0,0,repetition
842,45,549,72 1/1,3,0,repetition
847,62,553,72 3/2,0,0,repetition
854,57,559,73,2,5,other
856,65,559,73,1,8,other
867,50,570,74,3,0,repetition
868,57,570,74,2,7,other
869,62,570,74,1,5,other
870,65,570,74,0,3,other
