note,pitch,chord,bar,mapped voice,cost,category
6,58,6,2 1/2,3,0,repetition
13,58,11,2 7/4,3,0,repetition
15,57,12,3,3,1,other
16,50,13,3 1/2,3,4,other
21,58,17,3 3/2,2,0,repetition
28,60,22,4 1/4,2,2,other
29,62,23,4 1/2,1,0,repetition
30,58,24,4 3/4,2,0,repetition
32,57,25,4 1/1,2,1,other
35,64,27,4 3/2,1,4,other
37,48,29,5,3,2,other
38,55,29,5,2,2,other
41,67,31,5 1/2,0,0,repetition
42,64,32,5 3/4,1,0,repetition
43,53,33,5 1/1,3,5,other
46,55,34,5 3/2,3,5,other
51,69,35,6,0,1,other
53,53,37,6 1/2,3,0,repetition
54,60,37,6 1/2,2,0,repetition
55,70,37,6 1/2,0,0,repetition
62,46,42,7,3,0,repetition
63,58,42,7,2,0,repetition
66,63,44,7 3/4,1,2,ficta
69,58,46,7 3/2,3,0,repetition
70,62,46,7 3/2,1,0,repetition
72,60,47,7 7/4,1,0,repetition
73,58,48,8,2,0,repetition
76,57,50,8 1/2,2,1,other
88,58,57,9 1/2,2,0,repetition
89,67,57,9 1/2,0,3,other
91,58,58,9 1/1,2,0,repetition
93,53,59,9 7/4,3,2,other
94,60,59,9 7/4,2,2,other
96,55,60,10,3,0,repetition
100,57,61,10 1/2,2,1,other
101,66,61,10 1/2,0,1,ficta
102,55,62,10 1/1,3,5,other
103,58,62,10 1/1,2,0,repetition
107,58,64,10 3/2,3,7,other
111,60,66,11,1,5,other
115,66,68,11 1/2,0,3,ficta
116,64,69,11 3/4,0,3,other
118,57,70,11 1/1,2,0,repetition
119,67,70,11 1/1,0,0,repetition
120,66,71,11 5/4,0,1,other
121,67,72,11 3/2,0,0,repetition
126,58,76,12,1,4,other
129,55,78,12 1/2,2,0,repetition
131,58,80,12 1/1,1,0,repetition
132,62,80,12 1/1,0,5,other
134,58,82,12 3/2,3,3,other
137,57,84,13,3,2,other
142,62,86,13 1/1,1,0,repetition
144,60,87,13 3/2,1,0,repetition
148,58,89,14 3/4,3,0,repetition
150,57,90,14 1/1,3,1,other
151,50,91,14 3/2,3,4,other
156,58,95,15 1/2,2,0,repetition
163,60,100,15 5/4,2,2,other
164,62,101,15 3/2,1,0,repetition
165,58,102,15 7/4,2,0,repetition
167,57,103,16,2,1,other
170,64,105,16 1/2,0,3,other
172,48,107,16 1/1,3,2,other
173,55,107,16 1/1,2,2,other
176,67,109,16 3/2,0,0,repetition
177,64,110,16 7/4,1,0,repetition
178,53,111,17,3,5,other
180,60,111,17,1,4,other
182,55,112,17 1/2,3,5,other
187,69,113,17 1/1,0,1,other
189,53,115,17 3/2,3,0,repetition
190,60,115,17 3/2,2,0,repetition
191,70,115,17 3/2,0,0,repetition
198,46,120,18 1/1,3,0,repetition
199,58,120,18 1/1,2,0,repetition
202,63,122,18 7/4,1,2,ficta
205,58,124,19 1/2,3,0,repetition
206,62,124,19 1/2,1,0,repetition
208,60,125,19 3/4,1,0,repetition
209,58,126,19 1/1,2,0,repetition
212,57,128,19 3/2,2,1,other
224,58,135,20 3/2,2,0,repetition
225,67,135,20 3/2,0,3,other
227,58,136,21,2,0,repetition
229,53,137,21 3/4,3,2,other
230,60,137,21 3/4,2,2,other
232,55,138,21 1/1,3,0,repetition
233,58,138,21 1/1,2,0,repetition
235,50,139,21 3/2,3,5,other
236,57,139,21 3/2,2,1,other
237,66,139,21 3/2,0,1,ficta
238,55,140,22,2,3,other
243,58,142,22 1/2,3,0,repetition
247,60,144,22 1/1,3,2,other
250,53,146,22 3/2,1,0,repetition
251,65,146,22 3/2,0,4,other
253,55,148,23,3,3,other
255,62,148,23,0,0,repetition
257,62,150,23 1/4,0,0,repetition
261,69,154,23 3/4,0,4,other
263,53,156,24,2,0,repetition
264,60,156,24,1,2,other
265,69,156,24,0,0,repetition
266,67,157,24 1/4,0,2,other
267,55,158,24 1/2,2,2,other
268,66,158,24 1/2,0,3,ficta
269,64,159,24 3/4,0,3,other
272,67,160,24 1/1,0,0,repetition
274,67,162,24 3/2,0,0,repetition
