note,pitch,chord,bar,mapped voice,cost,category
18,67,16,3 1/4,0,3,other
35,54,29,5 3/2,1,2,ficta
42,52,32,6 1/1,2,2,other
44,48,33,6 3/2,2,0,repetition
45,70,34,6 7/4,0,2,ficta
49,67,36,7 1/4,0,2,other
62,55,42,8 1/4,2,3,other
65,61,43,8 1/2,0,3,ficta
82,67,55,10 1/4,1,3,other
108,69,73,12 3/2,0,0,repetition
120,61,80,13 3/2,1,2,ficta
125,50,82,14 1/2,3,0,repetition
126,62,82,14 1/2,1,0,repetition
127,66,82,14 1/2,0,1,ficta
132,65,85,14 7/4,0,2,other
136,62,87,15 1/4,1,2,other
157,59,99,17,2,2,other
159,60,100,17 1/2,1,2,other
175,60,111,18 3/2,1,1,other
206,66,133,21 3/2,1,2,ficta
211,55,135,22 1/2,3,0,repetition
212,67,135,22 1/2,1,0,repetition
218,70,138,22 7/4,0,2,ficta
222,67,140,23 1/4,1,2,other
229,67,143,23 5/4,1,0,repetition
239,58,150,24 3/2,3,0,repetition
246,49,152,25 1/2,2,1,ficta
249,57,153,25 1/1,3,0,repetition
251,69,153,25 1/1,0,0,repetition
253,49,155,25 3/2,2,1,ficta
258,57,158,26 1/2,3,0,repetition
259,65,158,26 1/2,0,0,repetition
271,66,163,27 1/4,0,2,other
276,61,165,27 3/4,1,2,ficta
280,66,166,27 1/1,0,1,ficta
294,65,172,28 5/4,0,1,other
320,65,182,30 3/4,2,0,repetition
329,62,187,31,2,0,repetition
335,69,193,31 1/1,0,1,ficta
337,67,195,31 3/2,1,0,repetition
338,70,195,31 3/2,0,0,repetition
340,62,196,32,2,0,repetition
341,66,196,32,1,1,ficta
