piece	N_model	N_intab	M	M_o	M_r	M_f	M_a	m	m_oa	m_a
44C	346	361	92	0	68	1	23	.7451	.9362	.9362
51C	346	380	74	0	54	8	12	.8052	.9684	.9684
30C	1004	975	273	0	167	41	65	.7200	.9333	.9333
30C	511	541	116	0	77	11	28	.7855	.9482	.9482
51M	501	468	73	0	30	21	22	.8440	.9529	.9529
51S	274	302	79	0	51	15	13	.7384	.9569	.9569
51M	316	327	48	0	25	8	15	.8532	.9541	.9541
51S	271	281	36	0	22	4	10	.8718	.9644	.9644
51S	225	246	42	0	25	9	8	.8292	.9674	.9674
30P	298	312	35	0	14	18	3	.8878	.9903	.9903
51S	335	313	43	0	17	13	13	.8626	.9584	.9584
30B	231	254	36	0	28	5	3	.8582	.9881	.9881
51C	436	417	58	0	39	10	9	.8609	.9784	.9784
