note,pitch,chord,bar,mapped voice,cost,category
22,62,17,4 1/1,1,0,repetition
33,65,24,5 3/2,1,3,other
62,70,45,7,0,0,repetition
78,65,52,7 3/2,2,3,other
102,58,69,9,1,0,repetition
103,62,69,9,2,0,repetition
109,53,72,9 3/4,1,2,other
124,50,79,10 1/1,1,0,repetition
166,70,106,13 1/1,0,0,repetition
188,63,124,14 3/2,1,0,repetition
199,63,132,15 1/1,1,0,repetition
217,58,144,17,3,0,repetition
242,51,159,19 1/2,3,2,ficta
251,67,164,19 3/2,0,0,repetition
281,67,189,21 3/2,0,0,repetition
306,55,210,23 3/2,2,0,repetition
319,62,220,24 1/2,1,0,repetition
328,62,228,24 3/2,1,0,repetition
336,51,234,25 1/1,3,1,ficta
347,62,243,26,2,7,other
350,50,245,26 1/1,3,0,repetition
381,59,266,29 1/4,1,3,ficta
383,61,267,29 1/2,1,3,ficta
419,58,283,31 3/2,2,0,repetition
422,62,284,32,1,0,repetition
430,50,291,32 1/1,3,0,repetition
432,69,291,32 1/1,0,0,repetition
450,62,306,35,2,0,repetition
454,69,308,35 1/1,0,0,repetition
471,50,322,37 1/1,3,0,repetition
505,60,345,41,1,0,repetition
508,60,347,41 1/2,1,0,repetition
513,62,349,41 7/4,1,0,repetition
540,67,362,43 3/2,0,1,ficta
543,67,364,43 7/4,0,1,other
552,58,370,44 1/4,2,0,repetition
554,62,372,44 1/2,2,5,other
558,43,376,44 1/1,3,0,repetition
559,58,376,44 1/1,2,0,repetition
592,67,394,46 3/2,0,1,ficta
594,67,396,46 7/4,0,1,other
596,64,398,46 15/8,0,0,repetition
609,55,408,47 1/1,1,0,repetition
611,59,409,47 3/2,2,1,ficta
614,59,410,48,2,1,ficta
619,60,413,48 1/2,2,2,other
633,64,423,48 3/2,0,0,repetition
644,67,430,50,0,3,other
657,64,441,50 3/2,0,0,repetition
659,60,442,50 7/4,0,0,repetition
685,61,460,53,0,1,ficta
707,69,475,55,0,0,repetition
716,67,482,55 3/2,0,0,repetition
731,62,496,56 1/1,2,4,other
732,67,496,56 1/1,0,0,repetition
736,55,500,56 3/2,2,0,repetition
737,62,500,56 3/2,0,5,other
750,58,508,58,2,0,repetition
778,57,526,60,1,0,repetition
792,43,533,61 1/1,3,0,repetition
801,65,538,62 1/4,0,0,repetition
809,69,544,62 1/1,0,0,repetition
815,57,549,63,1,0,repetition
880,60,588,69 1/2,2,0,repetition
886,57,592,69 3/2,2,0,repetition
893,60,596,70 1/2,2,0,repetition
921,57,612,72 3/2,1,0,repetition
941,60,625,74,1,0,repetition
952,55,632,74 3/2,1,0,repetition
965,58,640,76,1,0,repetition
979,53,649,77,1,0,repetition
983,60,651,77 1/2,2,0,repetition
998,48,660,78 1/4,3,2,other
1007,55,664,78 3/2,2,0,repetition
1023,43,678,79 1/1,3,0,repetition
1024,50,678,79 1/1,1,0,repetition
1025,55,678,79 1/1,2,0,repetition
1026,62,678,79 1/1,0,0,repetition
1035,43,686,80,3,0,repetition
1036,55,686,80,2,0,repetition
1044,43,694,80 1/1,3,0,repetition
1045,55,694,80 1/1,2,0,repetition
1052,50,698,81 1/1,3,0,repetition
1057,64,700,82,1,1,ficta
1061,64,702,82 1/1,2,4,ficta
1072,62,708,83 1/2,1,0,repetition
1083,62,716,83 3/2,2,0,repetition
1085,62,718,83 7/4,2,0,repetition
1096,65,724,84 1/1,2,0,repetition
1099,50,726,84 3/2,3,0,repetition
1108,58,733,85 3/4,1,0,repetition
1115,65,738,85 3/2,1,3,other
1134,50,750,86 3/2,3,0,repetition
1149,70,755,87 3/2,0,0,repetition
1154,69,757,88 1/2,0,0,repetition
1211,46,789,92 1/1,3,0,repetition
1212,53,789,92 1/1,1,0,repetition
1297,70,865,97 3/2,0,0,repetition
1303,64,869,98 1/1,0,1,ficta
1323,62,886,99 1/1,2,0,repetition
1427,43,968,105 1/1,3,0,repetition
1428,55,968,105 1/1,1,0,repetition
1451,70,988,106 3/2,0,1,other
1502,55,1033,109 1/1,2,0,repetition
1505,67,1033,109 1/1,0,0,repetition
1516,60,1044,110 1/2,3,2,other
1525,55,1053,110 3/2,2,0,repetition
1534,61,1059,111 1/2,1,3,ficta
1548,61,1071,112,1,3,ficta
1555,62,1077,112 3/2,1,0,repetition
1572,50,1092,113 1/1,3,0,repetition
1585,60,1103,114 1/2,2,2,other
1606,61,1121,115 1/2,1,1,ficta
1617,62,1131,115 7/4,1,0,repetition
1623,57,1137,116 1/2,2,1,other
1629,67,1142,116 3/2,0,1,ficta
1631,67,1144,116 7/4,0,1,other
1644,55,1156,117 1/1,2,0,repetition
1647,67,1156,117 1/1,0,0,repetition
1659,62,1168,118 1/2,1,3,other
1666,60,1175,118 3/2,3,2,other
1677,67,1184,119 1/2,0,0,repetition
1689,61,1194,119 3/2,1,3,ficta
1715,64,1216,121 1/1,1,4,other
1717,60,1217,121 3/2,1,0,repetition
1718,72,1217,121 3/2,0,0,repetition
1738,64,1230,123 1/1,1,2,ficta
1764,55,1245,126 3/2,2,1,ficta
1767,55,1247,126 7/4,2,1,other
1775,43,1253,127 1/1,3,0,repetition
1776,55,1253,127 1/1,2,0,repetition
1819,58,1276,131 3/2,2,0,repetition
1919,52,1313,138 1/1,1,3,ficta
1921,64,1313,138 1/1,0,2,ficta
1938,43,1325,139 1/1,3,0,repetition
1939,55,1325,139 1/1,1,0,repetition
1940,62,1325,139 1/1,0,0,repetition
1948,43,1333,140,3,0,repetition
1949,55,1333,140,1,0,repetition
1950,62,1333,140,0,0,repetition
1952,43,1335,140 1/1,3,0,repetition
1953,55,1335,140 1/1,1,0,repetition
1955,62,1335,140 1/1,0,0,repetition
1959,62,1337,141,0,0,repetition
1964,62,1339,141 1/1,0,0,repetition
1991,53,1350,143 1/1,1,0,repetition
1996,65,1352,143 3/2,0,0,repetition
2009,58,1360,144 3/2,2,0,repetition
2029,48,1372,146 1/2,3,0,repetition
2058,43,1384,148 1/1,3,0,repetition
2090,50,1400,152,3,0,repetition
2114,69,1412,154,0,0,repetition
2116,59,1413,154 1/4,2,2,ficta
2123,57,1415,154 1/1,1,0,repetition
2130,57,1420,155,1,0,repetition
