note,pitch,chord,bar,mapped voice,cost,category
5,65,5,1 2/1,1,3,other
18,62,16,2 5/2,1,2,other
28,72,22,3 2/1,0,3,other
39,71,30,4 3/2,0,1,other
50,64,35,5 3/2,1,1,other
66,60,43,6 2/1,1,0,repetition
68,64,45,6 5/2,2,1,other
72,59,47,7,1,3,other
91,62,56,8 1/1,2,0,repetition
102,62,63,9 1/1,3,0,repetition
106,62,66,9 2/1,1,2,ficta
171,66,106,14 5/2,0,3,other
189,60,119,15 2/1,1,0,repetition
191,64,121,15 5/2,2,1,other
195,59,123,16,1,3,other
220,62,138,17 1/1,2,0,repetition
228,65,144,17 2/1,2,1,other
230,64,146,17 5/2,2,0,repetition
234,67,148,18,1,3,other
236,67,150,18 1/2,1,3,other
241,61,154,18 1/1,3,1,other
243,64,156,18 3/2,1,0,repetition
244,62,157,18 7/4,3,1,other
251,66,162,19,2,1,ficta
256,62,165,19 2/1,3,0,repetition
273,67,174,21 3/2,2,2,other
277,64,176,21 5/2,2,1,other
292,67,185,22 2/1,2,2,other
316,59,201,24 5/2,2,1,other
339,54,213,26 2/1,1,1,ficta
350,54,216,27 2/1,3,1,ficta
357,66,218,28 1/2,0,1,other
362,67,221,28 3/2,0,3,other
365,67,222,28 2/1,0,3,other
379,54,230,29 2/1,1,1,ficta
382,60,231,29 5/2,2,2,other
386,59,234,30 1/2,2,0,repetition
391,60,237,30 3/2,2,0,repetition
393,54,238,30 2/1,1,1,ficta
396,57,240,30 5/2,2,0,repetition
399,59,241,31,2,2,other
405,43,245,31 1/1,5,0,repetition
411,59,247,31 3/2,4,4,other
427,66,254,32 3/2,1,2,ficta
438,55,258,33 1/1,4,0,repetition
445,54,261,33 3/2,4,1,ficta
454,54,265,34 1/2,4,1,ficta
456,62,265,34 1/2,2,0,repetition
466,54,271,35,4,4,other
472,54,274,35 1/2,4,2,ficta
483,59,281,35 3/2,3,2,other
485,62,283,35 7/4,2,0,repetition
492,52,286,36 1/4,4,1,other
493,55,286,36 1/4,3,2,other
495,53,287,36 1/2,4,0,repetition
501,65,289,36 1/1,1,0,repetition
502,69,289,36 1/1,0,0,repetition
511,65,293,37,1,0,repetition
512,69,293,37,0,0,repetition
522,65,297,37 1/1,1,0,repetition
523,69,297,37 1/1,0,0,repetition
525,53,299,37 5/4,2,0,repetition
527,53,301,37 3/2,2,2,other
534,57,307,39,3,0,repetition
536,66,307,39,1,1,other
537,69,307,39,0,0,repetition
546,50,316,39 1/1,5,0,repetition
547,57,316,39 1/1,3,0,repetition
548,62,316,39 1/1,2,0,repetition
549,66,316,39 1/1,1,1,other
550,69,316,39 1/1,0,0,repetition
562,59,326,40,2,3,other
