note,pitch,chord,bar,mapped voice,cost,category
2,43,1,1 1/1,4,0,repetition
5,55,3,2,3,0,repetition
12,46,8,4 1/1,4,0,repetition
17,55,10,5,3,0,repetition
18,43,11,5 1/2,5,3,other
25,50,14,6 1/1,4,0,repetition
28,46,16,7 1/1,5,0,repetition
33,55,18,8,3,0,repetition
35,48,20,8 1/1,3,7,other
44,50,25,9 1/1,5,3,other
45,53,25,9 1/1,3,4,other
51,57,28,10,4,7,other
53,50,30,10 1/2,5,0,repetition
56,50,31,10 1/1,3,3,other
59,53,33,10 3/2,5,0,repetition
61,46,35,11,5,0,repetition
63,53,35,11,3,0,repetition
72,53,41,11 3/2,3,0,repetition
76,57,43,12,5,0,repetition
78,48,45,12 1/2,4,2,other
82,55,47,12 1/1,5,0,repetition
84,45,49,12 3/2,4,0,repetition
91,58,51,13 1/1,3,0,repetition
94,43,53,14,5,12,other
95,55,53,14,4,0,repetition
98,67,53,14,0,0,repetition
114,43,67,15,5,12,other
121,56,70,15 1/2,5,1,ficta
125,50,74,15 1/1,5,5,other
136,62,82,16,3,4,other
139,43,84,16 1/1,4,0,repetition
141,58,84,16 1/1,2,0,repetition
148,67,86,17,0,0,repetition
155,55,92,17 1/1,3,0,repetition
165,43,97,18 1/2,4,0,repetition
168,62,98,18 1/1,2,0,repetition
169,67,98,18 1/1,0,0,repetition
180,58,104,19 1/1,1,0,repetition
181,67,104,19 1/1,0,0,repetition
187,67,106,20,0,0,repetition
189,60,108,20 1/2,3,2,other
206,50,118,21 1/1,4,0,repetition
207,53,118,21 1/1,5,0,repetition
208,57,118,21 1/1,3,0,repetition
210,69,118,21 1/1,0,0,repetition
212,50,120,22,4,0,repetition
213,53,120,22,5,0,repetition
221,62,123,22 1/1,2,0,repetition
222,65,123,22 1/1,1,0,repetition
229,62,127,23,1,0,repetition
230,65,127,23,0,0,repetition
236,53,130,23 1/1,3,0,repetition
238,65,130,23 1/1,0,0,repetition
244,65,133,24,0,0,repetition
247,46,135,24 1/1,4,0,repetition
249,62,135,24 1/1,1,0,repetition
250,65,135,24 1/1,0,0,repetition
259,62,138,25,1,0,repetition
261,46,140,25 1/1,5,0,repetition
265,55,143,26,2,0,repetition
266,58,143,26,3,0,repetition
270,43,145,26 1/1,5,0,repetition
271,55,145,26 1/1,4,0,repetition
272,58,145,26 1/1,3,0,repetition
281,58,149,27 1/2,3,0,repetition
284,58,151,27 1/1,3,0,repetition
286,48,152,27 5/4,4,2,other
288,53,153,27 3/2,2,2,other
294,53,157,28 1/2,5,2,other
299,58,161,28 1/1,3,0,repetition
301,48,162,28 5/4,5,2,other
305,58,164,29,3,0,repetition
308,58,166,29 1/2,3,0,repetition
310,58,168,29 3/4,3,0,repetition
313,53,170,29 1/1,5,2,other
314,58,170,29 1/1,3,0,repetition
316,63,171,29 5/4,2,1,other
318,53,172,29 3/2,4,7,other
319,58,172,29 3/2,3,0,repetition
320,62,172,29 3/2,2,0,repetition
325,58,175,30 1/2,3,0,repetition
327,60,176,30 3/4,3,2,other
329,53,177,30 1/1,4,2,other
330,58,177,30 1/1,3,0,repetition
335,57,179,30 3/2,3,1,other
336,62,179,30 3/2,2,0,repetition
338,53,181,31,4,0,repetition
343,55,183,31 1/2,3,2,other
344,63,183,31 1/2,1,1,ficta
347,48,185,31 1/1,4,4,other
348,55,185,31 1/1,3,2,other
352,55,187,31 3/2,4,2,other
353,63,187,31 3/2,1,1,other
355,63,189,32 1/4,2,0,repetition
357,55,190,32 1/2,3,0,repetition
361,55,192,32 1/1,3,0,repetition
365,55,194,32 3/2,3,0,repetition
367,55,195,33,3,0,repetition
370,55,197,33 1/2,3,2,other
371,63,197,33 1/2,2,1,other
374,50,199,33 1/1,4,1,other
375,54,199,33 1/1,3,1,other
376,60,199,33 1/1,2,0,repetition
377,55,200,33 5/4,3,2,other
378,54,201,33 7/4,3,1,other
