note,pitch,chord,bar,mapped voice,cost,category
13,72,9,3,0,0,repetition
14,66,10,3 1/4,1,2,ficta
18,67,13,3 5/4,1,0,repetition
34,66,24,5,1,2,ficta
42,67,30,5 3/2,1,1,other
44,67,32,5 7/4,1,1,other
60,72,47,6 3/2,1,5,other
85,67,69,8 1/2,0,0,repetition
102,67,85,9 3/2,0,1,other
108,59,91,10 1/2,1,4,other
109,62,91,10 1/2,0,5,other
110,67,91,10 1/2,0,0,repetition
112,43,93,10 1/1,1,12,other
113,59,93,10 1/1,1,4,other
114,62,93,10 1/1,0,5,other
115,67,93,10 1/1,0,0,repetition
116,43,94,10 3/2,1,12,other
132,71,108,12,0,0,repetition
135,69,111,12 1/2,0,2,other
137,66,113,12 1/1,0,1,other
156,70,128,14,0,3,other
157,69,129,14 1/4,0,4,other
159,67,130,14 1/2,0,2,other
162,62,133,14 5/4,1,0,repetition
164,64,134,14 3/2,0,0,repetition
167,62,136,15 1/2,1,0,repetition
168,62,137,15 1/1,1,0,repetition
176,65,143,16 3/2,0,0,repetition
185,64,149,17 5/4,1,2,other
191,57,153,18 1/2,1,2,other
197,67,158,18 3/2,0,0,repetition
210,62,170,20,1,0,repetition
222,57,178,21 1/2,1,2,other
243,67,191,23 1/2,1,2,other
283,66,213,26,0,4,ficta
294,54,221,27,1,1,ficta
295,57,221,27,1,2,other
296,62,221,27,0,9,other
300,69,223,27 1/2,0,2,other
302,50,225,27 1/1,1,5,other
304,66,225,27 1/1,0,1,other
305,64,226,27 5/4,0,3,other
306,67,227,27 3/2,0,1,other
307,66,228,27 7/4,0,0,repetition
308,43,229,28,1,14,other
309,59,230,28 1/4,1,4,other
310,62,230,28 1/4,0,5,other
311,67,230,28 1/4,0,0,repetition
314,43,233,28 1/1,1,12,other
315,55,233,28 1/1,1,0,repetition
316,59,233,28 1/1,1,4,other
317,62,233,28 1/1,0,5,other
318,67,233,28 1/1,0,0,repetition
