note,pitch,chord,bar,mapped voice,cost,category
14,64,10,4 3/16,0,n/a,ornamentation
15,65,11,4 1/4,0,n/a,ornamentation
16,64,12,4 5/16,0,n/a,ornamentation
17,65,13,4 3/8,0,n/a,ornamentation
18,64,14,4 13/32,0,n/a,ornamentation
19,62,15,4 7/16,0,n/a,ornamentation
20,60,16,4 15/32,0,n/a,ornamentation
22,62,17,4 1/2,1,0,repetition
30,64,22,5 11/16,1,n/a,ornamentation
31,62,23,5 23/32,1,n/a,ornamentation
33,65,24,5 3/4,1,3,other
35,64,25,5 13/16,1,n/a,ornamentation
36,65,26,5 7/8,1,n/a,ornamentation
37,64,27,5 29/32,1,n/a,ornamentation
38,62,28,5 15/16,1,n/a,ornamentation
39,64,29,5 31/32,1,n/a,ornamentation
43,67,31,6 1/16,0,n/a,ornamentation
44,69,32,6 1/8,0,n/a,ornamentation
45,70,33,6 3/16,0,n/a,ornamentation
46,69,34,6 1/4,0,n/a,ornamentation
47,67,35,6 3/8,0,n/a,ornamentation
50,70,37,6 5/8,0,n/a,ornamentation
51,69,38,6 21/32,0,n/a,ornamentation
52,67,39,6 11/16,0,n/a,ornamentation
53,69,40,6 23/32,0,n/a,ornamentation
57,69,42,6 13/16,0,n/a,ornamentation
58,70,43,6 7/8,0,n/a,ornamentation
59,72,44,6 15/16,0,n/a,ornamentation
62,70,45,7,0,0,repetition
74,64,50,7 11/16,2,n/a,ornamentation
75,62,51,7 23/32,2,n/a,ornamentation
78,65,52,7 3/4,2,3,other
80,64,53,7 13/16,2,n/a,ornamentation
81,65,54,7 7/8,2,n/a,ornamentation
82,64,55,7 29/32,2,n/a,ornamentation
83,62,56,7 15/16,2,n/a,ornamentation
84,64,57,7 31/32,2,n/a,ornamentation
90,60,60,8 5/16,2,n/a,ornamentation
91,62,61,8 3/8,2,n/a,ornamentation
92,63,62,8 7/16,2,n/a,ornamentation
98,57,66,8 13/16,1,n/a,ornamentation
99,58,67,8 7/8,1,n/a,ornamentation
100,60,68,8 15/16,1,n/a,ornamentation
102,58,69,9,1,0,repetition
103,62,69,9,2,0,repetition
109,53,72,9 3/8,1,2,other
