note,pitch,chord,bar,mapped voice,cost,category
8,62,6,2 11/16,1,n/a,ornamentation
14,71,9,3 3/8,0,n/a,ornamentation
15,69,10,3 13/32,0,n/a,ornamentation
16,62,11,3 7/16,0,n/a,ornamentation
17,69,12,3 15/32,0,n/a,ornamentation
20,69,14,3 5/8,0,n/a,ornamentation
21,71,15,3 11/16,0,n/a,ornamentation
49,60,26,6 3/8,2,n/a,ornamentation
50,62,27,6 7/16,2,n/a,ornamentation
51,64,28,6 1/2,2,0,repetition
52,66,29,6 9/16,2,n/a,ornamentation
53,67,30,6 5/8,2,2,other
54,69,31,6 11/16,0,n/a,ornamentation
71,65,37,8 3/8,2,1,other
74,64,38,8 1/2,2,0,repetition
81,62,42,9 1/4,3,0,repetition
86,62,46,9 9/16,3,n/a,ornamentation
87,59,47,9 5/8,3,n/a,ornamentation
88,61,48,9 11/16,3,n/a,ornamentation
92,64,50,10 1/8,2,n/a,ornamentation
93,65,51,10 3/16,2,n/a,ornamentation
94,67,52,10 1/4,2,2,other
95,65,53,10 5/16,2,n/a,ornamentation
97,62,55,10 7/16,2,n/a,ornamentation
101,62,57,10 5/8,1,n/a,ornamentation
102,64,58,10 11/16,1,n/a,ornamentation
107,59,61,11 3/8,3,2,other
117,67,65,12 3/8,0,n/a,ornamentation
118,69,66,12 7/16,0,n/a,ornamentation
121,69,68,12 5/8,0,n/a,ornamentation
122,71,69,12 11/16,0,n/a,ornamentation
150,62,80,15 7/16,1,n/a,ornamentation
151,60,81,15 1/2,1,0,repetition
152,62,82,15 9/16,2,n/a,ornamentation
153,64,83,15 5/8,2,1,other
154,66,84,15 11/16,2,n/a,ornamentation
165,67,88,16 5/8,0,n/a,ornamentation
166,69,89,16 11/16,0,n/a,ornamentation
173,65,92,17 3/8,2,1,other
176,64,93,17 1/2,2,0,repetition
183,62,97,18 1/4,3,0,repetition
185,61,98,18 7/16,3,0,repetition
186,62,99,18 1/2,1,2,other
187,61,100,18 9/16,3,n/a,ornamentation
188,59,101,18 5/8,3,n/a,ornamentation
189,61,102,18 11/16,3,n/a,ornamentation
219,60,117,22 1/8,1,n/a,ornamentation
220,59,118,22 5/32,1,n/a,ornamentation
221,57,119,22 3/16,1,n/a,ornamentation
222,59,120,22 7/32,1,n/a,ornamentation
226,67,122,22 3/8,2,2,other
229,67,123,22 1/2,2,2,other
230,66,124,22 5/8,2,1,other
266,54,141,26 1/2,1,1,ficta
277,54,144,27 1/2,3,1,ficta
287,62,147,28 3/8,0,n/a,ornamentation
288,64,148,28 7/16,0,n/a,ornamentation
291,66,149,28 1/2,0,2,ficta
292,64,150,28 5/8,0,n/a,ornamentation
293,66,151,28 11/16,0,n/a,ornamentation
311,54,157,30 1/2,1,1,ficta
318,67,160,31 1/4,0,0,repetition
321,43,162,31 1/2,5,0,repetition
326,62,164,31 3/4,4,7,other
332,55,167,32 1/4,4,0,repetition
339,74,169,32 1/2,0,0,repetition
344,66,171,32 3/4,1,2,ficta
346,67,172,32 7/8,1,n/a,ornamentation
347,69,173,32 15/16,1,n/a,ornamentation
357,50,177,33 1/2,4,5,other
363,54,179,33 3/4,4,1,ficta
370,54,181,34 1/4,4,1,ficta
382,74,186,35,0,0,repetition
385,50,188,35 1/4,5,0,repetition
386,54,188,35 1/4,4,2,ficta
392,55,190,35 5/8,3,n/a,ornamentation
393,57,191,35 11/16,3,n/a,ornamentation
394,59,192,35 3/4,3,2,other
395,60,193,35 13/16,2,n/a,ornamentation
396,62,194,35 7/8,2,0,repetition
397,64,195,35 15/16,1,n/a,ornamentation
399,54,196,36,4,1,ficta
401,66,196,36,1,2,ficta
403,52,197,36 1/8,4,1,other
405,54,198,36 1/4,4,1,other
409,54,200,36 1/2,3,2,ficta
411,66,200,36 1/2,1,1,other
412,69,200,36 1/2,0,0,repetition
419,54,204,37,4,2,ficta
421,66,204,37,1,1,other
422,69,204,37,0,0,repetition
426,54,206,37 1/4,3,2,ficta
430,54,208,37 1/2,2,2,ficta
432,66,208,37 1/2,1,1,other
433,69,208,37 1/2,0,0,repetition
435,52,210,37 7/8,5,2,other
437,57,211,39,3,0,repetition
439,66,211,39,1,1,other
440,69,211,39,0,0,repetition
441,62,212,39 1/8,0,n/a,ornamentation
442,64,213,39 3/16,0,n/a,ornamentation
443,66,214,39 1/4,0,n/a,ornamentation
444,67,215,39 5/16,0,n/a,ornamentation
445,69,216,39 3/8,0,n/a,ornamentation
446,71,217,39 7/16,0,n/a,ornamentation
447,50,218,39 1/2,5,0,repetition
448,57,218,39 1/2,3,0,repetition
449,62,218,39 1/2,2,0,repetition
450,66,218,39 1/2,1,1,other
451,69,218,39 1/2,0,0,repetition
452,67,219,39 7/8,0,n/a,ornamentation
453,69,220,39 15/16,0,n/a,ornamentation
455,69,222,40 1/16,0,n/a,ornamentation
456,67,223,40 1/8,0,n/a,ornamentation
457,66,224,40 3/16,0,n/a,ornamentation
458,64,225,40 1/4,0,n/a,ornamentation
459,66,226,40 5/16,0,n/a,ornamentation
460,67,227,40 3/8,0,n/a,ornamentation
461,69,228,40 7/16,0,n/a,ornamentation
462,43,229,40 1/2,5,0,repetition
463,50,229,40 1/2,4,5,other
464,55,229,40 1/2,3,0,repetition
465,62,229,40 1/2,2,0,repetition
466,67,229,40 1/2,1,0,repetition
467,71,229,40 1/2,0,0,repetition
468,55,230,40 3/4,4,0,repetition
469,57,231,40 7/8,4,2,other
471,50,232,41,3,5,other
473,59,232,41,2,3,other
