note,pitch,chord,bar,mapped voice,cost,category
3,58,2,1 11/16,4,n/a,ornamentation
4,60,3,1 3/4,4,n/a,ornamentation
5,58,4,1 13/16,4,n/a,ornamentation
6,57,5,1 7/8,4,n/a,ornamentation
7,55,6,1 15/16,4,n/a,ornamentation
9,60,7,2,2,0,repetition
11,70,8,2 3/16,0,n/a,ornamentation
12,72,9,2 1/4,0,n/a,ornamentation
13,70,10,2 5/16,0,n/a,ornamentation
14,69,11,2 3/8,0,n/a,ornamentation
15,67,12,2 7/16,0,n/a,ornamentation
17,60,13,2 1/2,2,0,repetition
19,67,14,2 5/8,0,n/a,ornamentation
20,65,15,2 3/4,0,n/a,ornamentation
21,64,16,2 7/8,0,n/a,ornamentation
25,64,18,3 1/8,4,n/a,ornamentation
26,67,19,3 3/16,4,n/a,ornamentation
27,65,20,3 1/4,4,n/a,ornamentation
31,62,22,3 1/2,2,0,repetition
33,55,23,3 5/8,3,n/a,ornamentation
34,57,24,3 11/16,3,n/a,ornamentation
35,58,25,3 3/4,3,0,repetition
36,60,26,3 13/16,2,n/a,ornamentation
37,62,27,3 7/8,2,n/a,ornamentation
38,64,28,3 15/16,2,n/a,ornamentation
45,53,32,4 1/2,4,0,repetition
48,57,33,4 5/8,3,n/a,ornamentation
53,65,36,5,2,0,repetition
57,53,39,5 1/2,4,0,repetition
59,65,39,5 1/2,2,0,repetition
61,65,41,5 7/8,2,n/a,ornamentation
65,58,43,6 1/8,3,n/a,ornamentation
66,60,44,6 3/16,3,n/a,ornamentation
67,62,45,6 1/4,3,2,other
68,60,46,6 5/16,3,n/a,ornamentation
69,58,47,6 3/8,3,0,repetition
70,57,48,6 7/16,3,n/a,ornamentation
71,58,49,6 1/2,3,1,other
72,57,50,6 9/16,3,n/a,ornamentation
73,55,51,6 5/8,3,n/a,ornamentation
74,53,52,6 11/16,3,n/a,ornamentation
75,48,53,6 3/4,4,0,repetition
76,55,53,6 3/4,3,0,repetition
77,60,53,6 3/4,1,0,repetition
78,64,53,6 3/4,2,0,repetition
79,65,54,6 7/8,2,n/a,ornamentation
80,64,55,6 29/32,2,n/a,ornamentation
81,62,56,6 15/16,2,n/a,ornamentation
82,64,57,6 31/32,2,n/a,ornamentation
86,59,59,7 1/8,2,n/a,ornamentation
87,60,60,7 3/16,2,n/a,ornamentation
88,62,61,7 1/4,2,n/a,ornamentation
89,64,62,7 5/16,2,n/a,ornamentation
90,65,63,7 3/8,2,n/a,ornamentation
91,67,64,7 7/16,2,n/a,ornamentation
94,65,65,7 1/2,2,0,repetition
95,64,66,7 5/8,2,n/a,ornamentation
96,62,67,7 3/4,2,3,other
97,57,68,7 7/8,1,0,repetition
98,60,68,7 7/8,2,5,other
102,65,69,8,2,0,repetition
103,58,70,8 1/4,3,n/a,ornamentation
104,60,71,8 3/8,3,n/a,ornamentation
108,64,73,8 11/16,2,n/a,ornamentation
109,62,74,8 3/4,2,n/a,ornamentation
110,64,75,8 13/16,2,n/a,ornamentation
111,65,76,8 7/8,2,n/a,ornamentation
112,67,77,8 15/16,2,n/a,ornamentation
116,65,78,9,2,0,repetition
118,62,79,9 1/8,0,n/a,ornamentation
119,64,80,9 3/16,0,n/a,ornamentation
120,65,81,9 1/4,0,n/a,ornamentation
121,67,82,9 5/16,0,n/a,ornamentation
122,69,83,9 3/8,0,0,repetition
123,70,84,9 7/16,0,n/a,ornamentation
125,70,86,9 11/16,0,n/a,ornamentation
126,53,87,9 3/4,4,0,repetition
127,60,87,9 3/4,1,0,repetition
128,65,87,9 3/4,2,0,repetition
129,72,87,9 3/4,0,0,repetition
130,70,88,9 13/16,0,n/a,ornamentation
131,69,89,9 7/8,0,n/a,ornamentation
132,67,90,9 15/16,0,n/a,ornamentation
134,53,91,10,3,0,repetition
148,77,96,11 1/8,0,n/a,ornamentation
151,48,99,11 1/2,4,0,repetition
152,55,99,11 1/2,1,0,repetition
153,60,99,11 1/2,3,0,repetition
154,67,99,11 1/2,2,0,repetition
156,74,100,11 11/16,0,n/a,ornamentation
157,76,101,11 3/4,0,n/a,ornamentation
158,74,102,11 13/16,0,n/a,ornamentation
159,72,103,11 7/8,0,n/a,ornamentation
160,71,104,11 15/16,0,n/a,ornamentation
161,72,105,12,0,n/a,ornamentation
162,74,106,12 1/8,0,n/a,ornamentation
168,67,108,12 1/2,2,0,repetition
170,67,109,12 5/8,2,n/a,ornamentation
171,69,110,12 11/16,2,n/a,ornamentation
174,71,111,12 3/4,2,4,other
175,72,112,12 13/16,0,n/a,ornamentation
176,74,113,12 7/8,0,n/a,ornamentation
177,76,114,12 15/16,0,n/a,ornamentation
192,65,122,14 1/8,1,0,repetition
193,74,122,14 1/8,0,0,repetition
195,73,123,14 1/4,0,1,ficta
197,71,124,14 3/8,0,1,ficta
200,74,125,14 1/2,0,4,other
201,73,126,14 5/8,0,n/a,ornamentation
202,71,127,14 11/16,0,n/a,ornamentation
203,57,128,14 3/4,3,0,repetition
204,64,128,14 3/4,1,0,repetition
205,74,128,14 3/4,0,2,other
206,73,129,14 7/8,0,n/a,ornamentation
213,65,132,15 1/2,2,0,repetition
215,72,133,15 5/8,0,n/a,ornamentation
220,65,135,16,2,0,repetition
222,62,136,16 1/8,1,n/a,ornamentation
223,60,137,16 1/4,1,2,other
224,58,138,16 3/8,1,n/a,ornamentation
227,65,139,16 1/2,2,0,repetition
229,64,140,16 5/8,2,n/a,ornamentation
230,65,141,16 11/16,2,n/a,ornamentation
231,67,142,16 3/4,2,n/a,ornamentation
232,65,143,16 13/16,2,n/a,ornamentation
233,64,144,16 7/8,2,n/a,ornamentation
234,62,145,16 15/16,2,n/a,ornamentation
240,55,147,17 1/8,3,n/a,ornamentation
241,57,148,17 1/4,3,0,repetition
242,57,148,17 1/4,1,0,
243,59,149,17 3/8,1,n/a,ornamentation
247,64,150,17 1/2,2,0,repetition
249,70,151,17 5/8,2,n/a,ornamentation
250,69,152,17 11/16,2,n/a,ornamentation
251,70,153,17 3/4,2,n/a,ornamentation
252,69,154,17 13/16,2,n/a,ornamentation
253,67,155,17 7/8,2,n/a,ornamentation
254,65,156,17 15/16,2,n/a,ornamentation
257,64,157,18,2,0,repetition
259,59,158,18 1/8,1,n/a,ornamentation
260,60,159,18 3/16,1,n/a,ornamentation
261,62,160,18 1/4,1,n/a,ornamentation
262,60,161,18 5/16,1,n/a,ornamentation
263,59,162,18 3/8,1,n/a,ornamentation
264,57,163,18 7/16,1,n/a,ornamentation
267,64,164,18 1/2,2,0,repetition
268,65,165,18 5/8,0,n/a,ornamentation
269,48,166,18 3/4,4,0,repetition
286,58,173,20 3/16,2,n/a,ornamentation
287,60,174,20 1/4,2,0,repetition
288,58,175,20 5/16,4,n/a,ornamentation
289,57,176,20 3/8,4,n/a,ornamentation
290,55,177,20 7/16,4,n/a,ornamentation
292,57,178,20 1/2,3,0,repetition
295,60,179,20 5/8,3,n/a,ornamentation
296,58,180,20 3/4,3,1,other
297,53,181,20 7/8,4,0,repetition
298,57,181,20 7/8,3,0,repetition
303,58,183,21 1/8,3,n/a,ornamentation
304,57,184,21 3/16,3,n/a,ornamentation
305,58,185,21 1/4,3,n/a,ornamentation
306,57,186,21 5/16,3,n/a,ornamentation
307,55,187,21 3/8,3,5,other
308,53,188,21 7/16,3,n/a,ornamentation
312,64,189,21 1/2,2,0,repetition
314,53,190,21 5/8,3,2,other
315,65,190,21 5/8,2,1,other
316,48,191,21 3/4,4,0,repetition
317,55,191,21 3/4,3,0,repetition
318,65,191,21 3/4,2,1,other
319,64,192,21 7/8,2,n/a,ornamentation
324,59,194,22 1/8,1,n/a,ornamentation
325,60,195,22 3/16,1,n/a,ornamentation
326,62,196,22 1/4,1,n/a,ornamentation
327,64,197,22 5/16,1,n/a,ornamentation
328,65,198,22 3/8,1,n/a,ornamentation
329,67,199,22 7/16,1,n/a,ornamentation
332,69,200,22 1/2,0,0,repetition
333,67,201,22 5/8,0,n/a,ornamentation
334,69,202,22 3/4,0,0,repetition
335,67,203,22 13/16,0,n/a,ornamentation
