note,pitch,chord,bar,mapped voice,cost,category
9,62,6,2 5/4,1,n/a,ornamentation
13,72,9,3,0,0,repetition
14,66,10,3 1/4,1,2,ficta
18,67,13,3 5/4,1,0,repetition
34,66,24,5,1,2,ficta
39,67,27,5 9/8,1,n/a,ornamentation
41,64,29,5 11/8,1,n/a,ornamentation
42,67,30,5 3/2,1,1,other
43,66,31,5 13/8,1,n/a,ornamentation
44,67,32,5 7/4,1,1,other
45,66,33,5 29/16,1,n/a,ornamentation
46,64,34,5 15/8,1,n/a,ornamentation
47,66,35,5 31/16,1,n/a,ornamentation
50,66,37,6 1/4,1,n/a,ornamentation
51,64,38,6 3/8,1,n/a,ornamentation
52,62,39,6 1/2,1,n/a,ornamentation
53,60,40,6 5/8,1,n/a,ornamentation
54,59,41,6 3/4,1,n/a,ornamentation
55,57,42,6 7/8,1,n/a,ornamentation
56,55,43,6 1/1,1,n/a,ornamentation
57,67,44,6 9/8,1,n/a,ornamentation
58,69,45,6 5/4,1,n/a,ornamentation
59,71,46,6 11/8,1,n/a,ornamentation
60,72,47,6 3/2,1,5,other
61,71,48,6 13/8,0,n/a,ornamentation
62,72,49,6 7/4,0,n/a,ornamentation
63,71,50,6 29/16,0,n/a,ornamentation
64,69,51,6 15/8,0,n/a,ornamentation
65,67,52,6 31/16,0,n/a,ornamentation
67,66,54,7 1/8,0,n/a,ornamentation
68,67,55,7 1/4,0,n/a,ornamentation
69,69,56,7 3/8,0,n/a,ornamentation
72,67,58,7 5/8,0,n/a,ornamentation
73,69,59,7 3/4,0,n/a,ornamentation
74,71,60,7 7/8,0,n/a,ornamentation
77,64,62,7 5/4,1,n/a,ornamentation
80,69,65,7 15/8,0,n/a,ornamentation
83,70,67,8 1/4,0,n/a,ornamentation
84,69,68,8 3/8,0,n/a,ornamentation
85,67,69,8 1/2,0,0,repetition
86,65,70,8 5/8,1,n/a,ornamentation
87,64,71,8 3/4,1,n/a,ornamentation
88,62,72,8 7/8,1,n/a,ornamentation
89,60,73,8 1/1,1,n/a,ornamentation
90,57,74,8 9/8,1,n/a,ornamentation
91,59,75,8 5/4,1,n/a,ornamentation
92,60,76,8 11/8,1,n/a,ornamentation
95,57,78,8 7/4,1,n/a,ornamentation
102,67,85,9 3/2,0,1,other
103,66,86,9 13/8,0,n/a,ornamentation
105,66,88,9 15/8,0,n/a,ornamentation
107,43,90,10 1/4,1,n/a,ornamentation
108,59,91,10 1/2,1,4,other
109,62,91,10 1/2,0,5,other
110,67,91,10 1/2,0,0,repetition
111,55,92,10 3/4,1,n/a,ornamentation
112,43,93,10 1/1,1,12,other
113,59,93,10 1/1,1,4,other
114,62,93,10 1/1,0,5,other
115,67,93,10 1/1,0,0,repetition
116,43,94,10 3/2,1,12,other
118,67,96,11 1/4,0,n/a,ornamentation
119,69,97,11 3/8,0,n/a,ornamentation
120,71,98,11 1/2,0,n/a,ornamentation
121,69,99,11 5/8,0,n/a,ornamentation
122,71,100,11 3/4,0,n/a,ornamentation
123,69,101,11 13/16,0,n/a,ornamentation
124,67,102,11 7/8,0,n/a,ornamentation
125,69,103,11 15/16,0,n/a,ornamentation
128,69,105,11 5/4,0,n/a,ornamentation
129,71,106,11 3/2,0,n/a,ornamentation
130,72,107,11 7/4,0,n/a,ornamentation
132,71,108,12,0,0,repetition
133,69,109,12 1/4,0,n/a,ornamentation
134,71,110,12 3/8,0,n/a,ornamentation
135,69,111,12 1/2,0,2,other
136,67,112,12 3/4,0,n/a,ornamentation
137,66,113,12 1/1,0,1,other
138,67,114,12 9/8,0,n/a,ornamentation
139,69,115,12 5/4,0,n/a,ornamentation
140,71,116,12 11/8,0,n/a,ornamentation
143,59,118,12 7/4,1,n/a,ornamentation
145,62,120,13 1/8,1,n/a,ornamentation
146,64,121,13 1/4,1,n/a,ornamentation
147,66,122,13 3/8,1,n/a,ornamentation
150,72,124,13 3/4,0,n/a,ornamentation
155,69,127,13 7/4,0,n/a,ornamentation
156,70,128,14,0,3,other
157,69,129,14 1/4,0,4,other
159,67,130,14 1/2,0,2,other
160,65,131,14 3/4,0,n/a,ornamentation
162,62,133,14 5/4,1,0,repetition
164,64,134,14 3/2,0,0,repetition
167,62,136,15 1/2,1,0,repetition
168,62,137,15 1/1,1,0,repetition
176,65,143,16 3/2,0,0,repetition
181,62,146,17 1/2,1,3,other
185,64,149,17 5/4,1,2,other
191,57,153,18 1/2,1,2,other
193,55,154,18 3/4,1,n/a,ornamentation
195,66,156,18 5/4,0,n/a,ornamentation
196,64,157,18 11/8,0,n/a,ornamentation
197,67,158,18 3/2,0,0,repetition
198,66,159,18 13/8,0,n/a,ornamentation
199,67,160,18 7/4,0,n/a,ornamentation
200,66,161,18 29/16,0,n/a,ornamentation
201,64,162,18 15/8,0,n/a,ornamentation
202,66,163,18 31/16,0,n/a,ornamentation
204,67,164,19,1,10,other
205,55,165,19 1/4,0,n/a,ornamentation
210,62,170,20,1,0,repetition
214,62,171,20 1/2,1,3,other
222,57,178,21 1/2,1,2,other
224,55,179,21 3/4,1,n/a,ornamentation
243,67,191,23 1/2,1,2,other
283,66,213,26,0,4,ficta
294,54,221,27,1,1,ficta
295,57,221,27,1,2,other
296,62,221,27,0,9,other
300,69,223,27 1/2,0,2,other
301,67,224,27 3/4,0,n/a,ornamentation
302,50,225,27 1/1,1,5,other
304,66,225,27 1/1,0,1,other
305,64,226,27 5/4,0,3,other
306,67,227,27 3/2,0,1,other
307,66,228,27 7/4,0,0,repetition
308,43,229,28,1,14,other
309,59,230,28 1/4,1,4,other
310,62,230,28 1/4,0,5,other
311,67,230,28 1/4,0,0,repetition
312,55,231,28 1/2,1,n/a,ornamentation
313,60,232,28 3/4,1,n/a,ornamentation
314,43,233,28 1/1,1,12,other
315,55,233,28 1/1,1,0,repetition
316,59,233,28 1/1,1,4,other
317,62,233,28 1/1,0,5,other
318,67,233,28 1/1,0,0,repetition
