note,pitch,chord,bar,mapped voice,cost,category
2,67,1,1 1/1,1,0,repetition
3,67,1,1 1/1,0,0,
4,67,2,1 3/2,1,0,repetition
5,67,2,1 3/2,0,0,
8,65,4,2 1/8,0,n/a,ornamentation
9,64,5,2 1/4,0,n/a,ornamentation
10,62,6,2 3/8,0,n/a,ornamentation
11,64,7,2 1/2,0,n/a,ornamentation
12,62,8,2 9/16,0,n/a,ornamentation
13,64,9,2 5/8,0,n/a,ornamentation
14,65,10,2 11/16,0,n/a,ornamentation
15,67,11,2 3/4,0,n/a,ornamentation
16,69,12,2 7/8,0,n/a,ornamentation
17,55,13,2 1/1,2,0,repetition
20,43,14,2 5/4,2,n/a,ornamentation
21,55,15,2 3/2,2,0,repetition
22,67,15,2 3/2,1,0,repetition
23,69,15,2 3/2,0,1,other
24,67,16,2 7/4,1,n/a,ornamentation
26,67,17,3,1,0,repetition
27,70,17,3,0,0,repetition
28,57,18,3 1/4,2,n/a,ornamentation
29,58,19,3 1/2,2,3,other
30,70,19,3 1/2,0,0,repetition
31,60,20,3 3/4,2,n/a,ornamentation
33,66,21,3 1/1,1,1,ficta
36,62,22,4,2,0,repetition
37,64,23,4 1/8,4,n/a,ornamentation
38,65,24,4 1/4,4,n/a,ornamentation
39,64,25,4 3/8,4,n/a,ornamentation
40,62,26,4 1/2,4,n/a,ornamentation
41,60,27,4 5/8,4,n/a,ornamentation
42,59,28,4 3/4,4,n/a,ornamentation
43,57,29,4 7/8,4,n/a,ornamentation
44,55,30,4 1/1,4,0,repetition
47,43,31,4 5/4,4,n/a,ornamentation
48,52,32,4 3/2,4,n/a,ornamentation
49,54,33,4 7/4,4,n/a,ornamentation
53,54,35,5 1/4,4,n/a,ornamentation
54,55,36,5 1/2,4,n/a,ornamentation
55,57,37,5 3/4,4,n/a,ornamentation
56,43,38,5 1/1,5,0,repetition
59,43,39,5 3/2,5,0,repetition
60,58,39,5 3/2,4,0,repetition
61,67,39,5 3/2,1,0,repetition
63,58,40,6,4,0,repetition
64,67,40,6,1,0,repetition
65,69,41,6 1/8,0,n/a,ornamentation
66,70,42,6 1/4,0,n/a,ornamentation
67,43,43,6 1/2,5,0,repetition
68,58,43,6 1/2,4,0,repetition
69,69,43,6 1/2,0,0,repetition
