note,pitch,chord,bar,mapped voice,cost,category
30,51,19,7,3,2,ficta
72,63,38,12,1,2,ficta
77,51,42,13,3,2,ficta
88,55,48,14 5/4,3,0,repetition
89,58,48,14 5/4,2,0,repetition
90,62,48,14 5/4,1,0,repetition
98,62,51,15 5/4,1,0,repetition
114,62,58,18,1,0,repetition
121,62,61,19,1,0,repetition
130,50,66,21,3,0,repetition
159,64,84,26 1/16,0,n/a,ornamentation
160,65,85,26 1/8,0,n/a,ornamentation
161,67,86,26 3/16,0,n/a,ornamentation
162,69,87,26 1/4,0,n/a,ornamentation
163,65,88,26 5/16,0,n/a,ornamentation
164,67,89,26 3/8,0,n/a,ornamentation
165,69,90,26 7/16,0,n/a,ornamentation
167,62,91,26 1/2,1,0,repetition
168,70,91,26 1/2,0,0,repetition
169,69,92,26 9/16,0,n/a,ornamentation
170,67,93,26 5/8,0,n/a,ornamentation
171,69,94,26 11/16,0,n/a,ornamentation
173,70,95,26 3/4,0,0,repetition
174,67,96,26 13/16,0,n/a,ornamentation
175,69,97,26 7/8,0,n/a,ornamentation
176,70,98,26 15/16,0,n/a,ornamentation
183,69,101,27 1/2,0,0,repetition
185,51,103,27 7/8,3,2,ficta
209,52,114,29 5/8,1,1,ficta
223,60,122,30 5/8,2,0,repetition
258,66,136,32 11/16,0,n/a,ornamentation
259,67,137,32 3/4,0,0,repetition
260,66,138,32 25/32,0,n/a,ornamentation
261,67,139,32 13/16,0,n/a,ornamentation
262,66,140,32 27/32,0,n/a,ornamentation
263,67,141,32 7/8,0,n/a,ornamentation
264,66,142,32 29/32,0,n/a,ornamentation
265,64,143,32 15/16,0,n/a,ornamentation
266,66,144,32 31/32,0,n/a,ornamentation
271,57,146,33 1/16,2,n/a,ornamentation
272,58,147,33 1/8,2,n/a,ornamentation
273,60,148,33 3/16,2,n/a,ornamentation
274,62,149,33 1/4,2,n/a,ornamentation
275,60,150,33 5/16,2,n/a,ornamentation
276,58,151,33 3/8,2,n/a,ornamentation
277,57,152,33 7/16,2,n/a,ornamentation
278,55,153,33 1/2,1,0,repetition
279,58,153,33 1/2,2,0,repetition
280,67,153,33 1/2,0,0,repetition
281,57,154,33 11/16,2,n/a,ornamentation
282,58,155,33 23/32,2,n/a,ornamentation
300,58,167,35 11/16,1,n/a,ornamentation
301,60,168,35 23/32,1,n/a,ornamentation
302,58,169,35 3/4,1,n/a,ornamentation
303,57,170,35 7/8,1,n/a,ornamentation
307,50,173,36 1/2,3,0,repetition
335,55,188,39 11/16,1,n/a,ornamentation
336,53,189,39 23/32,1,n/a,ornamentation
337,57,190,39 3/4,1,0,repetition
338,55,191,39 13/16,1,n/a,ornamentation
339,57,192,39 7/8,1,n/a,ornamentation
340,55,193,39 29/32,1,n/a,ornamentation
341,53,194,39 15/16,1,n/a,ornamentation
342,55,195,39 31/32,1,n/a,ornamentation
358,57,203,41 1/2,2,0,repetition
369,50,210,42 1/2,2,0,repetition
371,62,210,42 1/2,1,0,repetition
382,57,216,43 1/4,1,1,other
386,54,219,43 11/16,3,n/a,ornamentation
387,55,220,43 3/4,3,0,repetition
388,54,221,43 13/16,3,n/a,ornamentation
389,55,222,43 7/8,3,n/a,ornamentation
390,54,223,43 29/32,3,n/a,ornamentation
391,52,224,43 15/16,3,n/a,ornamentation
392,54,225,43 31/32,3,n/a,ornamentation
394,57,227,44 1/16,0,n/a,ornamentation
395,58,228,44 1/8,0,n/a,ornamentation
396,60,229,44 3/16,0,n/a,ornamentation
398,60,231,44 5/16,0,n/a,ornamentation
399,58,232,44 3/8,0,n/a,ornamentation
400,57,233,44 7/16,0,n/a,ornamentation
401,55,234,44 1/2,3,0,repetition
403,57,235,44 9/16,2,n/a,ornamentation
404,58,236,44 5/8,2,n/a,ornamentation
405,60,237,44 11/16,2,n/a,ornamentation
408,60,239,44 13/16,2,n/a,ornamentation
409,58,240,44 7/8,2,n/a,ornamentation
410,57,241,44 15/16,2,n/a,ornamentation
413,57,243,45 1/16,0,n/a,ornamentation
414,58,244,45 1/8,0,n/a,ornamentation
415,60,245,45 3/16,0,n/a,ornamentation
417,62,246,45 1/4,0,0,repetition
418,60,247,45 5/16,0,n/a,ornamentation
419,62,248,45 3/8,0,0,repetition
420,64,249,45 7/16,0,n/a,ornamentation
423,64,251,45 9/16,0,n/a,ornamentation
424,65,252,45 5/8,0,0,repetition
425,67,253,45 11/16,0,n/a,ornamentation
427,67,255,45 13/16,0,n/a,ornamentation
428,69,256,45 7/8,0,n/a,ornamentation
429,70,257,45 15/16,0,n/a,ornamentation
431,69,258,46,0,0,repetition
432,67,259,46 1/16,0,n/a,ornamentation
433,69,260,46 1/8,0,0,repetition
434,70,261,46 3/16,0,n/a,ornamentation
437,64,263,46 5/16,2,n/a,ornamentation
438,66,264,46 3/8,2,n/a,ornamentation
439,67,265,46 7/16,2,n/a,ornamentation
441,66,267,46 11/16,0,n/a,ornamentation
442,64,268,46 23/32,0,n/a,ornamentation
443,67,269,46 3/4,0,0,repetition
