note,pitch,chord,bar,mapped voice,cost,category
1,62,1,1 1/1,1,0,repetition
5,50,3,2 1/1,3,0,repetition
7,69,3,2 1/1,0,0,repetition
8,52,4,2 5/4,3,n/a,ornamentation
9,53,5,2 3/2,3,n/a,ornamentation
10,55,6,2 7/4,3,n/a,ornamentation
14,62,8,3 1/4,1,n/a,ornamentation
15,64,9,3 1/2,1,0,repetition
51,62,26,7 5/4,1,n/a,ornamentation
52,57,27,7 3/2,3,0,repetition
54,64,27,7 3/2,0,0,repetition
57,50,29,8 1/1,4,0,repetition
69,53,33,9 3/2,4,0,repetition
74,71,35,10 1/2,0,0,repetition
76,64,36,10 1/1,3,0,repetition
77,67,36,10 1/1,1,0,repetition
80,72,37,10 3/2,0,0,repetition
84,62,39,11 1/2,3,0,repetition
85,65,39,11 1/2,1,0,repetition
87,60,40,11 3/4,3,n/a,ornamentation
91,69,42,11 5/4,0,n/a,ornamentation
97,45,45,12 1/1,4,0,repetition
98,57,45,12 1/1,3,0,repetition
99,60,45,12 1/1,1,0,repetition
100,69,45,12 1/1,0,0,repetition
104,69,46,13,0,0,repetition
108,69,47,13 1/1,0,0,repetition
109,62,48,13 3/2,2,2,other
110,60,49,13 7/4,2,n/a,ornamentation
121,55,54,14 3/2,2,0,repetition
126,57,56,15 1/4,1,n/a,ornamentation
132,62,58,15 1/1,1,5,other
134,57,59,15 5/4,1,n/a,ornamentation
142,45,63,16 1/1,4,0,repetition
143,57,63,16 1/1,2,5,other
157,62,70,17 5/4,1,n/a,ornamentation
163,67,73,18 1/4,1,n/a,ornamentation
164,65,74,18 1/2,1,n/a,ornamentation
165,64,75,18 3/4,1,2,other
175,62,79,19 1/4,0,n/a,ornamentation
184,61,82,19 5/4,0,n/a,ornamentation
185,59,83,19 11/8,0,n/a,ornamentation
186,62,84,19 3/2,0,0,repetition
187,61,85,19 7/4,0,n/a,ornamentation
192,69,86,20,2,17,other
193,50,87,20 1/1,4,0,repetition
194,57,87,20 1/1,3,0,repetition
195,62,87,20 1/1,2,12,other
198,69,88,20 3/2,0,0,repetition
210,55,94,22 1/1,3,0,repetition
212,71,94,22 1/1,0,0,repetition
213,61,95,22 5/4,1,2,ficta
219,60,98,23 1/4,1,n/a,ornamentation
223,60,101,23 5/4,1,n/a,ornamentation
229,45,104,24 1/1,4,0,repetition
230,48,104,24 1/1,3,0,repetition
231,60,104,24 1/1,1,0,repetition
232,64,104,24 1/1,0,0,repetition
235,60,105,25,0,4,other
240,53,107,25 3/2,4,0,repetition
250,59,110,26 1/1,4,7,other
251,67,110,26 1/1,0,0,repetition
261,60,113,27 1/2,0,4,other
265,57,115,27 5/4,1,n/a,ornamentation
271,45,118,28 1/1,4,0,repetition
272,52,118,28 1/1,3,0,repetition
273,57,118,28 1/1,2,0,repetition
274,60,118,28 1/1,0,0,repetition
277,64,119,29,0,4,other
285,60,122,29 3/2,2,0,repetition
291,57,124,30 3/4,3,2,other
293,59,125,30 1/1,2,0,repetition
304,55,128,31 1/2,2,0,repetition
306,64,128,31 1/2,1,0,repetition
310,64,130,31 5/4,1,n/a,ornamentation
311,62,131,31 3/2,1,0,repetition
315,57,132,32,3,0,repetition
316,64,132,32,1,2,other
318,45,133,32 1/1,4,0,repetition
319,52,133,32 1/1,2,0,repetition
321,64,133,32 1/1,1,4,other
335,59,141,33 3/2,4,14,other
345,64,144,34 1/1,1,0,repetition
347,60,145,34 5/4,2,n/a,ornamentation
355,69,148,35 1/4,0,n/a,ornamentation
358,65,149,35 1/2,1,0,repetition
363,69,151,35 5/4,0,n/a,ornamentation
367,64,153,36,1,0,repetition
369,59,154,36 3/4,2,n/a,ornamentation
372,61,155,36 1/1,1,1,ficta
373,69,155,36 1/1,0,0,repetition
380,55,158,37 3/4,3,2,other
382,57,159,37 1/1,3,0,repetition
383,62,159,37 1/1,1,2,other
390,62,161,38,1,2,other
393,58,162,38 1/2,3,0,repetition
399,62,164,38 5/4,1,n/a,ornamentation
402,57,166,39,3,0,repetition
409,65,168,39 1/1,0,0,repetition
420,56,173,40 3/2,2,1,other
425,57,175,41 1/2,2,0,repetition
427,45,176,41 1/1,4,0,repetition
428,57,176,41 1/1,2,0,repetition
442,59,181,42 5/4,1,n/a,ornamentation
443,53,182,42 3/2,2,0,repetition
444,60,182,42 3/2,1,3,other
445,69,182,42 3/2,0,0,repetition
446,62,183,42 7/4,1,n/a,ornamentation
447,48,184,43,4,3,other
448,60,184,43,1,3,other
449,64,184,43,2,11,other
454,67,185,43 1/2,0,0,repetition
458,67,186,43 1/1,0,0,repetition
471,45,191,44 3/2,4,0,repetition
472,57,191,44 3/2,3,0,repetition
473,60,191,44 3/2,1,0,repetition
477,52,193,45 1/1,4,0,repetition
479,59,193,45 1/1,1,0,repetition
481,55,194,45 3/2,3,0,repetition
483,64,195,46,1,5,other
485,57,196,46 1/1,2,0,repetition
487,72,196,46 1/1,0,0,repetition
495,60,199,47 1/2,3,1,other
503,64,201,47 5/4,3,n/a,ornamentation
504,62,202,47 3/2,3,0,repetition
505,69,202,47 3/2,0,0,repetition
511,52,204,48 1/1,2,0,repetition
512,55,204,48 1/1,4,0,repetition
513,59,204,48 1/1,3,5,other
517,67,206,49,1,0,repetition
530,57,213,50 1/1,4,0,repetition
535,60,215,51,2,4,other
538,57,217,51 1/1,4,0,repetition
545,69,219,52,0,0,repetition
549,57,221,52 1/1,4,0,repetition
551,48,222,52 3/2,3,2,other
560,57,225,53 1/1,2,0,repetition
565,60,227,54,3,8,other
566,64,227,54,1,0,repetition
575,57,231,55,2,0,repetition
582,57,234,55 5/4,1,n/a,ornamentation
587,62,236,56,1,5,other
589,57,237,56 1/4,1,n/a,ornamentation
601,64,242,57 1/2,1,0,repetition
612,57,245,58,1,3,other
614,67,246,58 1/4,1,2,other
615,65,247,58 1/2,1,0,repetition
620,69,248,58 1/1,0,0,repetition
626,53,251,59 1/1,4,0,repetition
632,62,252,59 3/2,2,5,other
636,64,253,60,2,7,other
646,60,256,60 5/4,2,n/a,ornamentation
647,50,257,60 3/2,4,0,repetition
648,53,257,60 3/2,3,0,repetition
649,59,257,60 3/2,2,2,other
650,65,257,60 3/2,0,0,repetition
655,57,259,61 1/2,3,0,repetition
657,72,259,61 1/2,0,8,other
658,45,260,61 1/1,4,0,repetition
670,60,263,62 1/2,3,1,other
676,59,265,62 5/4,1,n/a,ornamentation
677,53,266,62 3/2,2,0,repetition
678,60,266,62 3/2,1,0,repetition
679,69,266,62 3/2,0,0,repetition
681,48,268,63,4,3,other
685,52,269,63 1/2,4,0,repetition
708,48,275,64 3/2,4,0,repetition
709,52,275,64 3/2,2,0,repetition
711,64,275,64 3/2,0,0,repetition
714,55,277,65,3,0,repetition
719,43,280,65 1/1,4,0,repetition
722,59,280,65 1/1,1,0,repetition
725,50,281,66,1,9,other
728,43,282,66 1/2,4,0,repetition
729,55,282,66 1/2,1,4,other
730,59,282,66 1/2,2,0,repetition
731,62,282,66 1/2,3,0,repetition
733,59,283,66 1/1,2,0,repetition
735,67,283,66 1/1,0,0,repetition
751,62,288,67 5/4,0,n/a,ornamentation
754,57,290,68,3,0,repetition
759,57,292,68 1/1,0,5,other
761,65,292,68 1/1,1,0,repetition
776,57,297,69 5/4,2,n/a,ornamentation
777,56,298,69 3/2,2,1,ficta
780,60,299,70,0,4,other
782,53,301,70 1/1,4,0,repetition
784,57,301,70 1/1,1,0,repetition
800,57,307,71 5/4,2,n/a,ornamentation
805,64,309,72,1,2,other
809,57,310,72 1/1,2,0,repetition
811,72,310,72 1/1,0,0,repetition
816,64,313,73,1,0,repetition
817,68,313,73,0,1,ficta
826,69,316,73 5/4,0,n/a,ornamentation
831,61,318,74,1,3,ficta
835,57,319,74 3/2,2,0,repetition
836,61,319,74 3/2,1,1,ficta
837,69,319,74 3/2,0,0,repetition
840,57,320,75,2,0,repetition
842,69,320,75,0,0,repetition
843,45,321,75 1/2,4,5,other
845,57,321,75 1/2,2,0,repetition
847,72,321,75 1/2,0,3,other
850,57,322,75 1/1,2,0,repetition
852,69,322,75 1/1,0,0,repetition
853,71,323,75 7/4,0,n/a,ornamentation
856,57,324,76,2,0,repetition
