note,pitch,chord,bar,mapped voice,cost,category
3,52,2,2,1,0,repetition
13,64,7,4,0,0,repetition
16,57,9,4 1/2,1,0,repetition
23,50,14,5 3/4,1,0,repetition
29,69,18,6 5/8,0,n/a,ornamentation
35,57,21,7,1,0,repetition
44,62,26,8 1/4,1,n/a,ornamentation
45,60,27,8 5/16,1,n/a,ornamentation
46,59,28,8 3/8,1,n/a,ornamentation
47,60,29,8 7/16,1,n/a,ornamentation
53,69,31,9,0,0,repetition
56,62,33,9 1/2,1,0,repetition
59,59,35,9 13/16,2,n/a,ornamentation
60,57,36,9 7/8,2,2,other
61,55,37,9 15/16,2,n/a,ornamentation
77,62,45,12,1,0,repetition
79,64,46,12 1/4,1,2,other
80,62,47,12 5/16,1,n/a,ornamentation
81,60,48,12 3/8,1,0,repetition
82,62,49,12 7/16,1,n/a,ornamentation
86,60,51,13,2,0,repetition
87,64,51,13,1,0,repetition
88,67,51,13,0,0,repetition
98,69,56,13 13/16,0,n/a,ornamentation
99,71,57,13 7/8,0,n/a,ornamentation
100,72,58,13 15/16,0,n/a,ornamentation
101,62,59,14,1,0,repetition
102,71,59,14,0,0,repetition
109,69,64,14 9/16,0,n/a,ornamentation
110,66,65,14 5/8,0,n/a,ornamentation
111,68,66,14 11/16,0,n/a,ornamentation
112,69,67,14 3/4,0,0,repetition
113,68,68,14 13/16,0,n/a,ornamentation
114,66,69,14 7/8,0,n/a,ornamentation
115,68,70,14 15/16,0,n/a,ornamentation
116,45,71,15,2,7,other
120,57,72,15 1/2,1,0,repetition
121,69,72,15 1/2,0,0,repetition
127,67,77,16 1/4,0,2,other
128,65,78,16 5/16,0,n/a,ornamentation
129,64,79,16 3/8,0,0,repetition
130,62,80,16 7/16,0,n/a,ornamentation
146,60,89,18 1/2,1,0,repetition
148,62,90,18 3/4,1,2,other
149,60,91,18 13/16,1,n/a,ornamentation
150,59,92,18 7/8,1,0,repetition
151,57,93,18 15/16,1,n/a,ornamentation
160,55,97,20 1/2,2,0,repetition
166,64,100,21,1,0,repetition
171,64,102,21 3/4,1,0,repetition
183,67,108,23,1,n/a,ornamentation
184,65,109,23 1/16,1,n/a,ornamentation
185,64,110,23 1/8,1,n/a,ornamentation
186,65,111,23 3/16,1,n/a,ornamentation
196,60,116,24,1,0,repetition
