note,pitch,chord,bar,mapped voice,cost,category
3,64,2,1 9/16,1,n/a,ornamentation
4,62,3,1 5/8,1,n/a,ornamentation
5,64,4,1 11/16,1,n/a,ornamentation
7,67,6,1 13/16,0,n/a,ornamentation
8,69,7,1 7/8,0,n/a,ornamentation
9,71,8,1 15/16,0,n/a,ornamentation
13,64,11,2 3/8,1,n/a,ornamentation
14,62,12,2 7/16,1,n/a,ornamentation
21,62,17,3 1/16,1,n/a,ornamentation
22,64,18,3 1/8,1,0,repetition
23,66,19,3 3/16,1,n/a,ornamentation
26,64,21,3 5/16,0,n/a,ornamentation
27,66,22,3 3/8,0,n/a,ornamentation
28,67,23,3 7/16,0,n/a,ornamentation
30,67,25,3 9/16,1,n/a,ornamentation
32,64,27,3 11/16,1,n/a,ornamentation
33,67,28,3 3/4,1,1,other
34,66,29,3 25/32,1,n/a,ornamentation
35,67,30,3 13/16,1,n/a,ornamentation
36,66,31,3 27/32,1,n/a,ornamentation
37,67,32,3 7/8,1,1,other
38,66,33,3 29/32,1,n/a,ornamentation
39,64,34,3 15/16,1,n/a,ornamentation
40,66,35,3 31/32,1,n/a,ornamentation
54,71,44,4 15/16,0,n/a,ornamentation
55,66,45,5,1,2,ficta
57,62,46,5 1/16,1,n/a,ornamentation
58,64,47,5 1/8,1,n/a,ornamentation
59,62,48,5 5/32,1,n/a,ornamentation
60,64,49,5 3/16,1,n/a,ornamentation
61,66,50,5 7/32,1,n/a,ornamentation
65,66,53,5 11/16,1,n/a,ornamentation
66,67,54,5 3/4,1,1,other
67,66,55,5 13/16,1,n/a,ornamentation
68,67,56,5 7/8,1,1,other
69,66,57,5 29/32,1,n/a,ornamentation
70,64,58,5 15/16,1,n/a,ornamentation
71,66,59,5 31/32,1,n/a,ornamentation
74,65,61,6 1/8,1,n/a,ornamentation
75,64,62,6 3/16,1,n/a,ornamentation
76,62,63,6 1/4,1,n/a,ornamentation
77,60,64,6 5/16,1,n/a,ornamentation
78,62,65,6 3/8,1,n/a,ornamentation
79,60,66,6 13/32,1,n/a,ornamentation
80,59,67,6 7/16,1,n/a,ornamentation
81,57,68,6 15/32,1,n/a,ornamentation
82,55,69,6 1/2,1,12,other
85,66,72,7 1/16,0,n/a,ornamentation
86,67,73,7 1/8,0,n/a,ornamentation
87,69,74,7 3/16,0,n/a,ornamentation
90,69,76,7 5/16,0,n/a,ornamentation
91,71,77,7 3/8,0,n/a,ornamentation
92,67,78,7 13/32,0,n/a,ornamentation
93,69,79,7 7/16,0,n/a,ornamentation
94,71,80,7 15/32,0,n/a,ornamentation
97,71,82,7 9/16,0,n/a,ornamentation
98,72,83,7 5/8,0,n/a,ornamentation
99,74,84,7 11/16,0,n/a,ornamentation
100,72,85,7 3/4,0,0,repetition
101,59,86,7 7/8,1,0,repetition
103,69,87,7 15/16,0,n/a,ornamentation
106,66,89,8 1/8,0,n/a,ornamentation
107,67,90,8 3/16,0,n/a,ornamentation
109,60,92,8 1/2,0,n/a,ornamentation
110,69,93,8 5/8,0,n/a,ornamentation
111,67,94,8 11/16,0,n/a,ornamentation
114,57,96,8 7/8,1,n/a,ornamentation
116,69,98,9 1/16,0,n/a,ornamentation
117,67,99,9 1/8,0,4,other
118,66,100,9 3/16,0,n/a,ornamentation
119,59,101,9 1/4,1,4,other
121,66,102,9 5/16,0,n/a,ornamentation
122,67,103,9 3/8,0,0,repetition
123,64,104,9 13/32,1,n/a,ornamentation
124,66,105,9 7/16,1,n/a,ornamentation
125,67,106,9 15/32,1,n/a,ornamentation
128,64,109,9 11/16,0,n/a,ornamentation
129,67,110,9 3/4,0,1,other
130,66,111,9 13/16,0,n/a,ornamentation
131,67,112,9 7/8,0,1,other
132,66,113,9 29/32,0,n/a,ornamentation
133,64,114,9 15/16,0,n/a,ornamentation
134,66,115,9 31/32,0,n/a,ornamentation
137,65,117,10 1/8,0,n/a,ornamentation
138,64,118,10 3/16,0,n/a,ornamentation
139,62,119,10 1/4,0,n/a,ornamentation
140,60,120,10 5/16,0,n/a,ornamentation
141,62,121,10 3/8,0,n/a,ornamentation
142,60,122,10 13/32,0,n/a,ornamentation
143,59,123,10 7/16,0,n/a,ornamentation
144,57,124,10 15/32,0,n/a,ornamentation
145,55,125,10 1/2,0,n/a,ornamentation
146,57,126,10 9/16,0,n/a,ornamentation
147,59,127,10 5/8,0,n/a,ornamentation
148,60,128,10 11/16,0,n/a,ornamentation
149,62,129,10 3/4,0,n/a,ornamentation
150,64,130,10 13/16,0,n/a,ornamentation
151,66,131,10 7/8,0,n/a,ornamentation
152,67,132,10 15/16,0,n/a,ornamentation
154,67,134,11 1/16,0,n/a,ornamentation
155,69,135,11 1/8,0,n/a,ornamentation
156,71,136,11 3/16,0,n/a,ornamentation
157,69,137,11 1/4,0,n/a,ornamentation
158,67,138,11 5/16,0,n/a,ornamentation
159,69,139,11 3/8,0,n/a,ornamentation
160,66,140,11 13/32,0,n/a,ornamentation
161,67,141,11 7/16,0,n/a,ornamentation
162,69,142,11 15/32,0,n/a,ornamentation
165,69,144,11 9/16,0,n/a,ornamentation
166,67,145,11 5/8,0,n/a,ornamentation
167,66,146,11 11/16,0,n/a,ornamentation
168,64,147,11 3/4,0,n/a,ornamentation
169,66,148,11 13/16,0,n/a,ornamentation
170,67,149,11 7/8,0,n/a,ornamentation
171,69,150,11 15/16,0,n/a,ornamentation
173,71,151,12,0,0,repetition
