note,pitch,chord,bar,mapped voice,cost,category
3,69,2,2,0,0,repetition
7,62,5,2 5/8,0,n/a,ornamentation
8,64,6,2 11/16,0,n/a,ornamentation
9,65,7,2 3/4,0,n/a,ornamentation
10,67,8,2 13/16,0,n/a,ornamentation
11,69,9,2 7/8,0,n/a,ornamentation
12,70,10,2 15/16,0,n/a,ornamentation
13,62,11,3,1,0,repetition
19,67,14,3 5/8,0,n/a,ornamentation
20,69,15,3 11/16,0,n/a,ornamentation
21,70,16,3 3/4,0,n/a,ornamentation
22,69,17,3 13/16,0,n/a,ornamentation
23,70,18,3 7/8,0,n/a,ornamentation
24,69,19,3 29/32,0,n/a,ornamentation
25,67,20,3 15/16,0,n/a,ornamentation
26,69,21,3 31/32,0,n/a,ornamentation
32,60,25,4 5/8,1,n/a,ornamentation
33,62,26,4 11/16,1,n/a,ornamentation
34,63,27,4 3/4,1,n/a,ornamentation
35,62,28,4 13/16,1,n/a,ornamentation
36,60,29,4 7/8,1,n/a,ornamentation
37,62,30,4 15/16,1,n/a,ornamentation
40,65,32,5 1/8,0,n/a,ornamentation
41,67,33,5 3/16,0,n/a,ornamentation
42,69,34,5 1/4,0,n/a,ornamentation
43,67,35,5 5/16,0,n/a,ornamentation
44,65,36,5 3/8,0,n/a,ornamentation
45,64,37,5 7/16,0,n/a,ornamentation
57,67,46,7 11/16,0,n/a,ornamentation
58,69,47,7 3/4,0,n/a,ornamentation
59,67,48,7 13/16,0,n/a,ornamentation
60,69,49,7 7/8,0,n/a,ornamentation
61,67,50,7 29/32,0,n/a,ornamentation
62,65,51,7 15/16,0,n/a,ornamentation
63,64,52,7 31/32,0,n/a,ornamentation
66,62,54,8 1/8,0,n/a,ornamentation
67,64,55,8 3/16,0,n/a,ornamentation
68,65,56,8 1/4,0,n/a,ornamentation
69,62,57,8 5/16,0,n/a,ornamentation
70,64,58,8 3/8,0,n/a,ornamentation
71,65,59,8 13/32,0,n/a,ornamentation
72,67,60,8 7/16,0,n/a,ornamentation
73,69,61,8 15/32,0,n/a,ornamentation
76,57,63,8 5/8,1,n/a,ornamentation
77,58,64,8 11/16,1,n/a,ornamentation
78,60,65,8 3/4,1,n/a,ornamentation
79,58,66,8 13/16,1,n/a,ornamentation
80,60,67,8 7/8,1,n/a,ornamentation
81,58,68,8 29/32,1,n/a,ornamentation
82,57,69,8 15/16,1,n/a,ornamentation
83,58,70,8 31/32,1,n/a,ornamentation
85,67,71,9,0,0,repetition
88,58,73,9 3/8,1,n/a,ornamentation
89,57,74,9 7/16,1,n/a,ornamentation
92,69,76,9 11/16,0,n/a,ornamentation
94,57,78,9 7/8,1,n/a,ornamentation
95,60,79,9 15/16,1,n/a,ornamentation
97,70,80,10,0,0,repetition
101,58,83,10 5/16,1,n/a,ornamentation
102,60,84,10 3/8,1,n/a,ornamentation
103,58,85,10 13/32,1,n/a,ornamentation
104,57,86,10 7/16,1,n/a,ornamentation
105,55,87,10 15/32,1,n/a,ornamentation
107,67,88,10 1/2,0,0,repetition
108,66,89,10 5/8,0,n/a,ornamentation
109,64,90,10 11/16,0,n/a,ornamentation
111,67,92,10 13/16,0,n/a,ornamentation
112,69,93,10 7/8,0,n/a,ornamentation
113,67,94,10 29/32,0,n/a,ornamentation
114,69,95,10 15/16,0,n/a,ornamentation
115,66,96,10 31/32,0,n/a,ornamentation
119,65,98,11 3/16,0,n/a,ornamentation
120,64,99,11 1/4,0,n/a,ornamentation
121,65,100,11 5/16,0,n/a,ornamentation
122,67,101,11 3/8,0,n/a,ornamentation
123,69,102,11 7/16,0,n/a,ornamentation
125,62,103,11 1/2,2,0,repetition
128,55,105,12,3,0,repetition
131,70,105,12,0,0,repetition
137,69,108,12 5/8,2,n/a,ornamentation
138,67,109,12 11/16,2,n/a,ornamentation
139,65,110,12 3/4,2,2,other
140,64,111,12 25/32,0,n/a,ornamentation
141,62,112,12 13/16,0,n/a,ornamentation
142,64,113,12 27/32,0,n/a,ornamentation
143,65,114,12 7/8,0,n/a,ornamentation
144,67,115,12 29/32,0,n/a,ornamentation
145,69,116,12 15/16,0,n/a,ornamentation
146,70,117,12 31/32,0,n/a,ornamentation
151,70,119,13 3/16,0,n/a,ornamentation
152,72,120,13 1/4,0,n/a,ornamentation
153,70,121,13 5/16,0,n/a,ornamentation
154,69,122,13 3/8,0,n/a,ornamentation
155,67,123,13 7/16,0,n/a,ornamentation
160,67,125,13 5/8,0,n/a,ornamentation
161,65,126,13 11/16,0,n/a,ornamentation
