note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/2,1,0,repetition
3,67,3,1 7/8,1,n/a,ornamentation
4,65,4,1 29/32,1,n/a,ornamentation
5,64,5,1 15/16,1,n/a,ornamentation
6,65,6,1 31/32,1,n/a,ornamentation
8,65,8,1 9/8,1,n/a,ornamentation
9,67,9,1 19/16,1,n/a,ornamentation
14,69,13,2 3/8,1,n/a,ornamentation
15,67,14,2 1/2,1,0,repetition
16,74,14,2 1/2,0,0,repetition
20,71,17,2 7/8,0,n/a,ornamentation
21,72,18,2 15/16,0,n/a,ornamentation
24,72,20,2 9/8,0,n/a,ornamentation
25,74,21,2 19/16,0,n/a,ornamentation
28,60,23,3,1,0,repetition
33,66,27,3 1/2,1,2,ficta
35,62,28,3 5/8,1,n/a,ornamentation
37,66,30,3 7/8,1,n/a,ornamentation
38,67,31,3 15/16,1,n/a,ornamentation
39,67,32,3 1/1,1,0,repetition
42,64,34,3 19/16,1,n/a,ornamentation
43,67,35,3 5/4,1,1,other
44,66,36,3 21/16,1,n/a,ornamentation
45,67,37,3 11/8,1,1,other
46,66,38,3 45/32,1,n/a,ornamentation
47,64,39,3 23/16,1,n/a,ornamentation
48,66,40,3 47/32,1,n/a,ornamentation
52,66,43,4 3/8,1,1,ficta
53,64,44,4 7/16,1,n/a,ornamentation
54,55,45,4 1/2,3,0,repetition
56,71,45,4 1/2,0,0,repetition
63,74,48,4 1/1,0,0,repetition
65,71,50,4 19/16,0,n/a,ornamentation
69,73,53,4 23/16,0,n/a,ornamentation
74,57,56,5 3/8,3,n/a,ornamentation
75,55,57,5 1/2,3,0,repetition
76,62,57,5 1/2,2,0,repetition
80,62,60,5 7/8,2,n/a,ornamentation
81,60,61,5 29/32,2,n/a,ornamentation
82,59,62,5 15/16,2,n/a,ornamentation
83,60,63,5 31/32,2,n/a,ornamentation
86,60,65,5 9/8,2,n/a,ornamentation
87,62,66,5 19/16,2,n/a,ornamentation
90,62,68,5 11/8,2,n/a,ornamentation
95,54,73,6 1/2,3,2,ficta
97,55,74,6 5/8,3,n/a,ornamentation
100,57,76,6 13/16,2,n/a,ornamentation
101,59,77,6 7/8,2,n/a,ornamentation
102,55,78,6 1/1,3,0,repetition
104,54,79,6 19/16,3,n/a,ornamentation
105,55,80,6 5/4,3,1,other
106,54,81,6 21/16,3,n/a,ornamentation
108,54,83,6 23/16,3,n/a,ornamentation
113,55,86,7 1/2,3,0,repetition
114,62,86,7 1/2,2,0,repetition
116,66,87,7 11/16,2,n/a,ornamentation
118,62,89,7 13/16,2,n/a,ornamentation
119,60,90,7 7/8,2,n/a,ornamentation
120,59,91,7 15/16,2,n/a,ornamentation
122,67,92,7 1/1,1,0,repetition
123,66,93,7 9/8,1,n/a,ornamentation
124,64,94,7 19/16,1,n/a,ornamentation
126,66,95,7 5/4,1,1,ficta
127,67,96,7 11/8,1,n/a,ornamentation
128,66,97,7 45/32,1,n/a,ornamentation
129,64,98,7 23/16,1,n/a,ornamentation
130,66,99,7 47/32,1,n/a,ornamentation
134,73,101,8 1/8,0,n/a,ornamentation
135,71,102,8 3/16,0,n/a,ornamentation
136,73,103,8 1/4,0,n/a,ornamentation
137,74,104,8 5/16,0,n/a,ornamentation
138,76,105,8 3/8,0,n/a,ornamentation
139,78,106,8 7/16,0,n/a,ornamentation
140,55,107,8 1/2,3,0,repetition
141,67,107,8 1/2,1,0,repetition
143,66,108,8 3/4,1,n/a,ornamentation
144,67,109,8 7/8,1,n/a,ornamentation
146,79,110,8 1/1,0,0,repetition
147,67,111,8 9/8,1,n/a,ornamentation
148,69,112,8 5/4,1,0,repetition
149,78,113,8 11/8,0,n/a,ornamentation
153,67,116,9 1/2,1,0,repetition
155,74,117,9 5/8,0,n/a,ornamentation
156,76,118,9 11/16,0,n/a,ornamentation
159,64,120,9 7/8,1,n/a,ornamentation
161,77,121,9 1/1,0,0,repetition
167,72,126,10 1/8,0,n/a,ornamentation
168,74,127,10 3/16,0,n/a,ornamentation
171,77,129,10 3/8,0,n/a,ornamentation
173,76,130,10 1/2,0,0,repetition
175,62,132,10 3/4,1,0,repetition
177,65,133,10 7/8,1,n/a,ornamentation
179,74,134,10 1/1,0,0,repetition
180,73,135,10 19/16,0,n/a,ornamentation
181,74,136,10 5/4,0,0,repetition
182,73,137,10 21/16,0,n/a,ornamentation
183,71,138,10 11/8,0,n/a,ornamentation
184,73,139,10 23/16,0,n/a,ornamentation
188,52,141,11 3/16,3,n/a,ornamentation
189,54,142,11 1/4,3,n/a,ornamentation
190,50,143,11 5/16,3,n/a,ornamentation
191,52,144,11 3/8,3,n/a,ornamentation
192,54,145,11 7/16,3,n/a,ornamentation
194,62,146,11 1/2,1,0,repetition
195,74,146,11 1/2,0,0,repetition
196,64,147,11 5/8,0,n/a,ornamentation
197,66,148,11 11/16,0,n/a,ornamentation
198,67,149,11 3/4,0,n/a,ornamentation
199,69,150,11 13/16,0,n/a,ornamentation
200,71,151,11 7/8,0,n/a,ornamentation
201,73,152,11 15/16,0,n/a,ornamentation
202,55,153,11 1/1,3,0,repetition
203,62,153,11 1/1,1,0,repetition
204,74,153,11 1/1,0,0,repetition
205,54,154,11 5/4,3,1,ficta
208,61,156,12 1/8,2,n/a,ornamentation
209,62,157,12 3/16,2,n/a,ornamentation
210,64,158,12 1/4,2,n/a,ornamentation
211,62,159,12 5/16,2,n/a,ornamentation
212,61,160,12 3/8,2,n/a,ornamentation
213,59,161,12 7/16,2,n/a,ornamentation
214,61,162,12 1/2,2,1,other
215,62,163,12 9/16,2,n/a,ornamentation
216,64,164,12 5/8,2,n/a,ornamentation
217,66,165,12 11/16,2,n/a,ornamentation
218,55,166,12 3/4,3,0,repetition
219,67,166,12 3/4,2,0,repetition
220,66,167,12 7/8,2,n/a,ornamentation
221,67,168,12 15/16,2,n/a,ornamentation
223,67,169,12 1/1,2,0,repetition
224,66,170,12 9/8,2,n/a,ornamentation
225,64,171,12 19/16,2,n/a,ornamentation
226,67,172,12 5/4,2,0,repetition
227,66,173,12 21/16,2,n/a,ornamentation
228,67,174,12 11/8,2,n/a,ornamentation
229,66,175,12 45/32,2,n/a,ornamentation
230,64,176,12 23/16,2,n/a,ornamentation
231,66,177,12 47/32,2,n/a,ornamentation
235,55,180,13 1/2,3,0,repetition
236,65,181,13 9/16,3,n/a,ornamentation
237,67,182,13 5/8,3,n/a,ornamentation
238,64,183,13 11/16,3,n/a,ornamentation
240,64,185,13 13/16,2,n/a,ornamentation
241,65,186,13 7/8,2,n/a,ornamentation
242,67,187,13 15/16,2,n/a,ornamentation
244,65,188,13 1/1,2,0,repetition
250,64,193,14 1/8,2,n/a,ornamentation
251,62,194,14 5/32,2,n/a,ornamentation
252,60,195,14 3/16,2,n/a,ornamentation
253,62,196,14 7/32,2,n/a,ornamentation
255,48,198,14 3/8,3,n/a,ornamentation
257,64,199,14 1/2,2,0,repetition
260,53,202,14 7/8,3,n/a,ornamentation
262,62,204,14 17/16,2,n/a,ornamentation
263,61,205,14 9/8,2,n/a,ornamentation
264,59,206,14 19/16,2,n/a,ornamentation
265,62,207,14 5/4,2,0,repetition
266,61,208,14 21/16,2,n/a,ornamentation
267,62,209,14 11/8,2,n/a,ornamentation
268,61,210,14 45/32,2,n/a,ornamentation
269,59,211,14 23/16,2,n/a,ornamentation
270,61,212,14 47/32,2,n/a,ornamentation
275,74,215,15 3/8,0,n/a,ornamentation
277,62,217,15 5/8,1,n/a,ornamentation
280,62,219,15 7/8,1,n/a,ornamentation
282,72,221,15 9/8,0,n/a,ornamentation
288,57,225,16 3/16,2,n/a,ornamentation
290,53,227,16 5/16,3,n/a,ornamentation
291,52,228,16 3/8,3,n/a,ornamentation
292,50,229,16 7/16,3,n/a,ornamentation
294,55,230,16 1/2,2,0,repetition
295,53,231,16 9/16,3,n/a,ornamentation
296,55,232,16 5/8,3,n/a,ornamentation
297,52,233,16 11/16,3,n/a,ornamentation
299,52,235,16 13/16,2,n/a,ornamentation
300,53,236,16 7/8,2,n/a,ornamentation
301,55,237,16 15/16,2,n/a,ornamentation
303,53,239,16 9/8,3,n/a,ornamentation
311,65,244,17 5/16,0,n/a,ornamentation
312,67,245,17 3/8,0,n/a,ornamentation
313,65,246,17 13/32,0,n/a,ornamentation
314,64,247,17 7/16,0,n/a,ornamentation
315,62,248,17 15/32,0,n/a,ornamentation
317,64,249,17 1/2,0,3,other
318,67,250,17 5/8,1,n/a,ornamentation
321,65,253,17 9/8,1,n/a,ornamentation
328,55,257,18 3/16,2,n/a,ornamentation
330,55,259,18 5/16,3,n/a,ornamentation
331,53,260,18 3/8,3,n/a,ornamentation
332,52,261,18 7/16,3,n/a,ornamentation
334,57,262,18 1/2,2,0,repetition
