note,pitch,chord,bar,mapped voice,cost,category
1,65,1,1 1/1,0,0,repetition
2,64,2,1 11/8,0,n/a,ornamentation
3,65,3,1 3/2,0,n/a,ornamentation
4,64,4,1 13/8,0,n/a,ornamentation
5,65,5,1 7/4,0,n/a,ornamentation
6,67,6,1 15/8,0,n/a,ornamentation
8,65,8,2 1/2,0,n/a,ornamentation
9,64,9,2 3/4,0,n/a,ornamentation
10,65,10,2 7/8,0,n/a,ornamentation
11,67,11,2 1/1,0,2,other
12,65,12,2 9/8,0,n/a,ornamentation
13,64,13,2 5/4,0,n/a,ornamentation
14,62,14,2 11/8,0,n/a,ornamentation
15,60,15,2 3/2,0,n/a,ornamentation
16,62,16,2 13/8,0,n/a,ornamentation
17,64,17,2 7/4,0,n/a,ornamentation
18,65,18,2 15/8,0,n/a,ornamentation
20,59,20,3 3/8,0,n/a,ornamentation
21,60,21,3 1/2,0,n/a,ornamentation
22,62,22,3 5/8,0,n/a,ornamentation
23,64,23,3 3/4,0,n/a,ornamentation
24,65,24,3 7/8,0,n/a,ornamentation
25,67,25,3 1/1,0,n/a,ornamentation
26,65,26,3 5/4,0,n/a,ornamentation
27,64,27,3 11/8,0,n/a,ornamentation
28,62,28,3 3/2,0,n/a,ornamentation
29,64,29,3 13/8,0,n/a,ornamentation
30,65,30,3 7/4,0,n/a,ornamentation
31,67,31,3 15/8,0,n/a,ornamentation
34,53,33,4 1/1,4,0,repetition
37,72,35,5,0,0,repetition
40,67,38,5 3/4,0,n/a,ornamentation
42,69,39,5 1/1,0,0,repetition
44,65,41,5 11/8,0,n/a,ornamentation
45,67,42,5 3/2,0,0,repetition
46,65,43,5 13/8,0,n/a,ornamentation
47,64,44,5 7/4,0,n/a,ornamentation
48,62,45,5 15/8,0,n/a,ornamentation
51,65,47,6 3/8,0,n/a,ornamentation
53,60,49,6 3/4,0,n/a,ornamentation
54,55,50,6 1/1,4,0,repetition
55,62,50,6 1/1,0,0,repetition
56,60,51,6 5/4,0,n/a,ornamentation
57,58,52,6 11/8,0,n/a,ornamentation
59,58,54,6 13/8,4,n/a,ornamentation
60,57,55,6 7/4,4,2,other
61,55,56,6 15/8,4,n/a,ornamentation
65,58,58,7 3/4,4,n/a,ornamentation
66,53,59,7 1/1,2,0,repetition
72,72,62,8,0,0,repetition
77,67,65,8 3/4,0,n/a,ornamentation
79,69,66,8 1/1,0,0,repetition
80,70,67,8 5/4,0,1,other
81,69,68,8 11/8,0,n/a,ornamentation
82,52,69,8 3/2,4,0,repetition
83,67,69,8 3/2,0,0,repetition
84,50,70,8 7/4,4,0,repetition
85,65,70,8 7/4,0,0,repetition
91,65,73,9 3/4,0,n/a,ornamentation
92,55,74,9 1/1,2,0,repetition
93,64,74,9 1/1,0,2,other
94,46,75,9 5/4,4,0,repetition
95,62,75,9 5/4,0,0,repetition
104,53,79,10 1/4,4,n/a,ornamentation
105,55,80,10 3/8,4,n/a,ornamentation
106,57,81,10 1/2,4,n/a,ornamentation
107,58,82,10 5/8,4,n/a,ornamentation
108,60,83,10 3/4,4,n/a,ornamentation
109,62,84,10 7/8,4,n/a,ornamentation
110,53,85,10 1/1,3,0,repetition
111,57,85,10 1/1,2,0,repetition
117,72,88,11,0,0,repetition
124,69,91,11 1/1,0,0,repetition
136,46,97,12 1/1,4,0,repetition
138,55,97,12 1/1,3,0,repetition
139,62,98,12 5/4,0,n/a,ornamentation
149,53,102,13 3/8,3,n/a,ornamentation
150,57,103,13 1/2,3,n/a,ornamentation
151,58,104,13 3/4,3,n/a,ornamentation
152,41,105,13 1/1,4,0,repetition
153,57,105,13 1/1,3,0,repetition
162,57,110,14 1/1,3,0,repetition
165,53,111,14 3/2,4,n/a,ornamentation
173,64,114,15 3/8,1,n/a,ornamentation
174,62,115,15 1/2,1,0,repetition
175,60,116,15 5/8,2,n/a,ornamentation
176,58,117,15 3/4,2,0,repetition
177,57,118,15 7/8,3,n/a,ornamentation
181,55,120,15 5/4,3,3,other
182,57,121,15 11/8,3,n/a,ornamentation
183,58,122,15 3/2,3,0,repetition
184,60,123,15 13/8,2,n/a,ornamentation
185,62,124,15 7/4,2,0,repetition
186,58,125,15 15/8,3,n/a,ornamentation
190,57,127,16 1/4,1,n/a,ornamentation
191,59,128,16 3/8,1,n/a,ornamentation
192,60,129,16 1/2,1,n/a,ornamentation
193,62,130,16 5/8,1,n/a,ornamentation
194,64,131,16 3/4,1,0,repetition
195,65,132,16 7/8,2,n/a,ornamentation
198,60,133,16 1/1,0,0,repetition
200,62,134,16 11/8,2,n/a,ornamentation
202,48,136,16 7/4,4,n/a,ornamentation
205,64,137,17,1,0,repetition
206,43,138,17 1/4,4,n/a,ornamentation
207,45,139,17 1/2,4,0,repetition
212,60,141,17 1/1,2,0,repetition
213,64,141,17 1/1,1,0,repetition
216,57,143,17 11/8,3,n/a,ornamentation
217,55,144,17 3/2,3,0,repetition
218,60,145,17 7/4,2,n/a,ornamentation
225,41,149,18 1/1,4,0,repetition
226,53,149,18 1/1,3,0,repetition
230,53,150,18 5/4,1,n/a,ornamentation
231,55,151,18 11/8,1,n/a,ornamentation
232,57,152,18 3/2,1,n/a,ornamentation
233,58,153,18 13/8,1,n/a,ornamentation
234,60,154,18 7/4,1,n/a,ornamentation
235,62,155,18 15/8,1,n/a,ornamentation
240,50,157,19 1/4,3,n/a,ornamentation
241,52,158,19 1/2,3,3,other
242,48,159,19 3/4,4,n/a,ornamentation
247,69,161,19 11/8,0,n/a,ornamentation
248,67,162,19 3/2,0,n/a,ornamentation
249,65,163,19 13/8,0,n/a,ornamentation
250,67,164,19 7/4,0,0,repetition
