piece	N_model	N_intab	M	M_o	M_r	M_f	M_a	m	m_oa	m_a
51A	693	1183	560	359	168	7	26	.5266	.6745	.9780
30B	1115	1235	263	54	153	19	37	.7870	.9263	.9700
40B	1115	2095	1193	885	198	27	83	.4305	.5379	.9603
40P	215	513	326	228	26	2	70	.3645	.4191	.8635 <-- 4965_01b_per_illud_ave_josquin
40N	415	565	225	153	29	10	33	.6017	.6707	.9415
50B	1115	1644	1347	403	381	15	548	.1806	.4215	.6666 <-- 5254_03_benedicta_es_coelorum_desprez-1
50B	215	361	162	125	28	3	6	.5512	.6371	.9833
50B	415	476	129	65	28	15	21	.7289	.8193	.9558
5B	1115	1501	667	254	240	40	133	.5556	.7421	.9113 <-- 5702_benedicta-1
5B	215	319	134	81	17	4	32	.5799	.6457	.8996
5B	415	476	145	54	57	11	23	.6953	.8382	.9516
30F	235	234	2	0	0	2	0	.9914	.0000	.0000
51I	1109	1974	952	709	182	21	40	.5177	.6205	.9797
51I	1020	1790	859	710	115	10	24	.5201	.5899	.9865
51I	968	1335	757	301	137	9	310	.4329	.5423	.7677 <-- 5263_12_in_exitu_israel_de_egipto_desprez-3
50I	533	910	440	293	113	4	30	.5164	.6450	.9670
50I	393	609	272	172	61	13	26	.5533	.6748	.9573
50I	360	611	297	158	126	1	12	.5139	.7217	.9803
43M	1026	1167	256	63	164	12	17	.7806	.9314	.9854
43M	1106	1140	676	59	189	5	423	.4070	.5771	.6289 <-- 4465_33-34_memor_esto-2
9M1	1070	1736	863	396	346	44	77	.5028	.7275	.9556
9M1	753	1133	817	328	227	17	245	.2789	.4942	.7837 <-- 932_milano_108_pater_noster_josquin-2 
50P	1070	1781	820	592	190	7	31	.5395	.6501	.9825
50P	753	1286	629	455	146	5	23	.5108	.6283	.9821 <-- 5252_01_pater_noster_desprez-2
30P	737	898	233	15	182	14	22	.7405	.9587	.9755
50P	737	1280	967	336	349	11	271	.2445	.5257	.7882 <-- 5253_02_praeter_rerum_seriem_desprez-1
50P	952	1347	505	257	193	12	43	.6250	.7772	.9680
50M	737	1085	568	178	245	18	127	.4764	.7188	.8829
50M	952	1185	426	95	204	11	116	.6405	.8219	.9021
11Q	1288	2133	934	779	111	22	22	.5621	.6244	.9896
11Q	1067	1662	685	561	87	16	21	.5878	.6498	.9873
51Q	1288	2238	1043	795	196	16	36	.5339	.6286	.9839
51Q	1067	1562	563	400	120	9	34	.6395	.7221	.9782
9M1	805	1297	693	370	198	8	117	.4656	.6245	.9097
50S	805	1361	667	383	225	5	54	.5099	.6789	.9603
50S	935	1435	815	310	276	6	223	.4320	.6285	.8445 <-- 5255_04_stabat_mater_dolorosa_desprez-2
