note,pitch,chord,bar,mapped voice,cost,category
12,67,12,1 1/1,1,0,repetition
22,66,21,2,1,1,ficta
42,67,39,3,1,0,repetition
47,74,41,3 1/1,0,0,repetition
51,67,44,4,1,5,other
55,67,47,4 1/2,1,3,other
74,69,62,5,0,1,other
83,65,70,5 1/1,1,0,repetition
84,69,70,5 1/1,0,0,repetition
89,67,75,5 7/4,0,0,repetition
116,72,96,7,0,7,other
120,53,100,7 1/2,3,4,other
128,60,108,7 1/1,2,2,other
129,72,108,7 1/1,0,0,repetition
133,64,112,7 3/2,1,1,other
135,67,114,7 7/4,1,2,other
138,62,116,8,2,0,repetition
143,62,120,8 1/2,2,0,repetition
144,70,120,8 1/2,0,0,repetition
146,69,121,8 3/4,0,2,other
147,55,122,8 1/1,3,0,repetition
148,62,122,8 1/1,2,0,repetition
149,72,122,8 1/1,0,5,other
154,70,126,8 3/2,0,3,other
159,60,130,9,2,2,other
160,67,130,9,0,2,other
162,64,132,9 1/4,2,2,other
164,64,134,9 1/2,2,2,other
166,67,136,9 3/4,0,0,repetition
169,62,138,9 1/1,2,0,repetition
172,70,140,9 5/4,0,0,repetition
178,67,146,9 7/4,0,0,repetition
190,64,156,10 3/4,0,0,repetition
192,48,158,10 1/1,3,0,repetition
193,60,158,10 1/1,2,0,repetition
202,67,164,11,1,0,repetition
204,67,166,11 1/2,1,2,other
217,65,178,11 3/2,1,0,repetition
236,62,194,12 1/1,1,0,repetition
237,69,194,12 1/1,0,0,repetition
239,65,196,12 5/4,1,3,other
241,65,198,12 3/2,0,4,other
243,69,200,12 7/4,0,1,other
259,62,213,13 1/1,1,7,other
263,53,216,13 7/4,2,0,repetition
269,72,220,14,0,2,other
273,60,224,14 1/2,1,0,repetition
277,57,228,14 1/1,3,0,repetition
279,72,228,14 1/1,0,0,repetition
282,67,231,14 3/2,1,3,other
286,67,235,14 7/4,1,2,other
291,62,239,15,1,3,other
298,55,245,15 1/1,3,0,repetition
300,72,245,15 1/1,0,3,other
302,69,247,15 5/4,0,1,other
308,65,251,15 7/4,1,0,repetition
314,64,255,16 1/2,1,0,repetition
319,62,259,16 1/1,1,0,repetition
323,62,262,16 3/2,1,0,repetition
332,50,270,17 1/1,3,0,repetition
333,65,270,17 1/1,0,0,repetition
335,65,272,17 5/4,0,0,repetition
340,69,276,17 7/4,0,0,repetition
346,57,280,18 1/4,3,0,repetition
349,72,282,18 1/2,0,0,repetition
351,69,284,18 3/4,0,3,other
353,65,286,18 1/1,2,5,other
355,62,288,18 5/4,2,2,other
358,62,290,18 3/2,2,2,other
364,70,294,19,0,0,repetition
368,69,296,19 1/2,0,0,repetition
370,66,298,19 3/4,0,1,other
377,67,304,19 3/2,0,0,repetition
379,67,306,19 7/4,0,1,other
392,60,317,20 3/2,1,2,other
398,62,322,21,3,7,other
399,70,322,21,0,0,repetition
401,67,324,21 1/2,0,3,other
409,55,332,21 1/1,3,0,repetition
433,69,350,22 1/1,0,0,repetition
438,74,353,23,0,2,other
443,62,357,23 1/1,1,0,repetition
446,70,359,23 3/2,0,1,other
448,70,361,23 7/4,0,3,other
468,55,376,25 1/1,3,0,repetition
469,58,376,25 1/1,1,0,repetition
470,67,376,25 1/1,0,0,repetition
477,69,379,26,0,0,repetition
479,72,381,26 1/2,0,5,other
485,72,385,26 1/1,0,2,other
487,72,387,26 3/2,0,2,other
489,72,389,26 7/4,0,3,other
496,50,394,27 1/1,3,0,repetition
497,62,394,27 1/1,2,0,repetition
498,65,394,27 1/1,0,0,repetition
499,67,395,27 3/2,0,2,other
512,64,407,28 3/4,1,0,repetition
514,60,409,28 1/1,2,0,repetition
517,67,411,28 5/4,1,0,repetition
525,70,417,29,1,0,repetition
527,69,419,29 1/2,1,0,repetition
