note,pitch,chord,bar,mapped voice,cost,category
6,58,6,2,3,0,repetition
10,58,10,3 1/1,3,0,repetition
12,60,11,3 3/2,3,2,other
14,60,13,3 7/4,1,2,other
23,58,21,4 3/4,3,5,other
27,53,25,4 1/1,3,0,repetition
29,55,26,4 3/2,3,2,other
31,55,28,4 7/4,3,3,other
36,65,32,5,1,0,repetition
46,53,41,6,3,0,repetition
48,55,42,6 1/2,3,2,other
50,51,44,6 3/4,3,1,ficta
53,60,46,6 1/1,1,0,repetition
63,58,54,7,1,2,other
67,58,57,7 1/1,3,0,repetition
70,72,58,7 3/2,0,2,other
72,72,60,7 7/4,0,2,other
77,60,64,8,1,2,other
78,70,64,8,0,0,repetition
80,67,66,8 1/4,1,2,other
91,51,72,8 7/4,3,2,ficta
97,58,74,9 1/2,2,0,repetition
99,46,76,9 1/1,3,0,repetition
101,65,76,9 1/1,0,0,repetition
112,62,83,10 1/2,1,3,other
118,58,89,10 1/1,2,0,repetition
121,60,90,10 3/2,2,2,other
123,60,92,10 7/4,1,2,other
128,57,96,11,2,2,other
130,67,97,11 1/2,1,2,other
147,65,110,12 1/2,1,0,repetition
153,58,114,12 5/4,2,0,repetition
155,58,116,12 3/2,2,0,repetition
164,58,122,13 1/4,2,0,repetition
170,65,128,13 3/4,1,3,other
180,67,134,14,1,2,other
183,69,137,14 1/2,0,1,other
188,57,141,14 1/1,2,1,other
204,72,146,15 3/2,0,0,repetition
208,72,148,16,0,0,repetition
216,62,152,16 1/1,1,2,other
219,69,153,16 3/2,0,1,other
224,70,157,17,0,3,other
235,65,164,17 3/2,1,0,repetition
243,67,170,18,0,0,repetition
249,69,174,18 1/2,0,4,other
258,67,182,18 3/2,0,0,repetition
265,62,188,19,1,0,repetition
272,67,191,19 1/1,0,0,repetition
274,53,192,19 3/2,2,2,other
276,48,193,20,3,2,other
277,55,193,20,2,0,repetition
278,63,193,20,1,1,other
279,46,194,20 1/4,3,0,repetition
280,62,194,20 1/4,1,0,repetition
289,53,198,20 3/2,2,2,other
292,62,199,21,1,0,repetition
296,70,201,21 1/2,0,0,repetition
312,50,211,22 3/2,3,1,other
313,65,211,22 3/2,0,2,other
314,48,212,22 7/4,3,3,other
315,63,212,22 7/4,1,3,other
323,46,218,23 1/1,3,0,repetition
333,65,222,24 1/2,0,0,repetition
337,65,226,24 3/4,0,0,repetition
345,69,232,24 5/4,0,0,repetition
347,69,234,24 3/2,0,1,other
348,72,235,24 7/4,0,0,repetition
352,69,238,25 1/2,0,1,other
360,67,246,25 3/2,1,0,repetition
370,63,254,26 1/2,1,2,ficta
381,57,264,27,1,0,repetition
400,55,280,28 5/4,3,0,repetition
409,67,287,29 1/2,0,0,repetition
414,60,290,29 3/2,1,0,repetition
426,64,300,30 3/2,1,1,ficta
431,64,302,31,1,2,ficta
433,55,303,31 1/2,2,0,repetition
438,62,305,31 1/1,1,0,repetition
440,60,306,31 5/4,1,2,other
442,62,307,31 3/2,1,0,repetition
444,63,308,31 7/4,0,1,other
447,65,309,32,0,3,other
450,53,311,32 1/2,2,0,repetition
451,57,311,32 1/2,1,0,repetition
457,67,314,32 5/4,0,2,other
459,70,316,32 3/2,0,1,other
461,67,318,32 7/4,0,2,other
464,62,320,33,2,12,other
467,55,322,33 1/4,3,0,repetition
471,58,326,33 3/4,1,0,repetition
474,70,328,33 1/1,0,0,repetition
476,62,330,33 5/4,1,0,repetition
479,70,332,33 3/2,0,0,repetition
492,62,343,34 3/2,1,0,repetition
500,58,350,35 3/4,2,0,repetition
504,62,354,35 5/4,1,0,repetition
507,67,356,35 3/2,1,3,other
512,65,360,36,1,0,repetition
517,64,364,36 1/2,1,0,repetition
525,62,372,36 3/2,1,0,repetition
532,58,377,37 1/2,3,0,repetition
534,50,379,37 1/1,2,0,repetition
536,62,379,37 1/1,1,0,repetition
537,60,380,37 3/2,3,2,other
543,50,386,38,2,0,repetition
546,50,388,38 1/1,2,0,repetition
547,58,388,38 1/1,3,0,repetition
549,60,389,38 3/2,3,2,other
551,60,391,38 7/4,1,2,other
560,58,399,39 3/4,0,4,other
564,53,403,39 1/1,3,0,repetition
566,55,404,39 3/2,3,2,other
568,55,406,39 7/4,3,3,other
573,65,410,40,1,0,repetition
583,53,419,41,3,0,repetition
585,55,420,41 1/2,3,2,other
587,51,422,41 3/4,3,1,ficta
590,60,424,41 1/1,1,0,repetition
600,58,432,42,1,2,other
604,58,435,42 1/1,3,0,repetition
607,72,436,42 3/2,0,2,other
609,72,438,42 7/4,0,2,other
614,60,442,43,1,2,other
615,70,442,43,0,0,repetition
617,67,444,43 1/4,1,2,other
628,51,450,43 7/4,3,2,ficta
634,58,452,44 1/2,2,0,repetition
636,46,454,44 1/1,3,0,repetition
638,65,454,44 1/1,0,0,repetition
655,58,467,45 1/1,2,0,repetition
658,60,468,45 3/2,2,2,other
660,60,470,45 7/4,1,2,other
667,67,475,46 1/2,1,2,other
684,65,488,47 1/2,1,0,repetition
690,58,492,47 5/4,2,0,repetition
692,58,494,47 3/2,2,0,repetition
701,58,500,48 1/4,2,0,repetition
707,65,506,48 3/4,1,3,other
717,67,512,49,1,2,other
720,69,515,49 1/2,0,1,other
741,72,524,50 3/2,0,0,repetition
745,72,526,51,0,0,repetition
766,65,536,52 3/2,1,0,repetition
774,66,542,53,0,1,ficta
783,67,548,53 3/2,0,0,repetition
787,43,552,54,3,7,other
