note,pitch,chord,bar,mapped voice,cost,category
1,62,1,1 3/2,1,0,repetition
6,69,3,2 1/1,0,0,repetition
7,50,4,2 3/2,3,0,repetition
19,68,8,4 1/1,0,3,ficta
48,50,23,8 1/1,4,0,repetition
81,59,41,11 3/2,3,0,repetition
93,57,49,12 1/1,3,0,repetition
101,65,55,13 3/2,1,1,other
112,55,60,14 3/2,2,0,repetition
132,45,68,16 1/1,4,0,repetition
133,52,68,16 1/1,2,0,repetition
140,62,71,17,1,2,other
143,66,72,17 1/2,0,1,other
149,62,76,17 3/2,1,0,repetition
159,53,80,18 1/1,4,3,other
195,67,94,22,0,5,other
199,61,98,22 5/4,1,2,ficta
210,60,105,23 3/2,1,0,repetition
226,53,113,25 3/2,4,0,repetition
255,61,123,28,0,1,ficta
256,45,124,28 1/1,4,0,repetition
257,52,124,28 1/1,3,0,repetition
258,57,124,28 1/1,2,0,repetition
259,61,124,28 1/1,0,1,other
268,60,133,29 1/2,2,0,repetition
275,48,137,29 3/2,4,3,other
281,52,140,30 1/2,4,0,repetition
282,54,141,30 3/4,3,1,ficta
320,68,159,33 3/2,0,3,ficta
340,65,167,35 1/2,1,0,repetition
347,69,171,35 3/2,0,0,repetition
354,64,175,36,3,12,other
356,69,176,36 1/1,0,0,repetition
377,58,185,38 1/2,3,0,repetition
380,45,187,38 3/2,4,0,repetition
382,64,187,38 3/2,0,0,repetition
390,62,191,39 1/1,1,0,repetition
391,65,191,39 1/1,0,0,repetition
400,61,194,40 1/2,1,1,ficta
404,56,196,40 3/2,2,1,other
410,60,199,41 1/1,2,3,other
420,68,202,42 1/2,0,3,ficta
423,62,203,42 1/1,3,10,other
426,60,205,42 3/2,1,3,other
429,64,206,43,3,12,other
436,67,208,43 1/1,0,0,repetition
438,52,209,43 3/2,2,0,repetition
445,56,211,44 1/2,3,3,ficta
450,64,212,44 1/1,0,3,other
455,56,216,45,3,1,ficta
456,64,216,45,0,3,other
460,52,220,45 1/1,4,0,repetition
461,56,220,45 1/1,3,1,ficta
462,64,220,45 1/1,1,5,other
473,72,226,46 1/1,0,0,repetition
481,68,229,47 1/2,0,3,ficta
485,62,231,47 3/2,3,0,repetition
491,55,234,48 1/1,4,0,repetition
492,64,234,48 1/1,3,0,repetition
494,55,236,48 3/2,4,0,repetition
499,67,240,49,1,0,repetition
515,53,249,51,2,11,other
518,57,251,51 1/1,4,0,repetition
529,48,256,52 3/2,3,2,other
551,67,266,55 1/2,1,10,other
571,64,274,57 1/2,1,0,repetition
581,57,278,58,0,8,other
584,67,279,58 1/4,1,2,other
585,65,280,58 1/2,1,0,repetition
596,53,285,59 1/1,4,0,repetition
606,45,288,60 1/2,4,7,other
620,57,292,61 1/2,2,0,repetition
625,69,294,61 1/1,0,0,repetition
626,62,295,61 5/4,3,2,other
627,71,295,61 5/4,0,1,other
629,64,296,61 3/2,1,0,repetition
637,60,299,62 1/2,3,1,other
646,48,302,63,4,3,other
650,52,303,63 1/2,4,0,repetition
660,59,306,63 3/2,2,7,other
674,48,310,64 3/2,4,0,repetition
677,52,312,65,2,0,repetition
679,50,314,65 1/2,2,2,other
681,48,315,65 3/4,2,4,other
683,47,316,65 1/1,4,4,other
692,55,323,66,2,0,repetition
697,59,326,66 1/1,2,0,repetition
707,59,330,67 1/2,1,0,repetition
717,57,335,68 1/1,2,0,repetition
730,56,340,69 3/2,2,1,ficta
733,60,341,70,0,4,other
735,55,343,70 3/4,4,2,other
754,50,351,71 3/2,3,0,repetition
763,57,353,72 1/1,1,3,other
765,72,353,72 1/1,0,0,repetition
783,64,360,74,3,9,other
791,57,367,74 1/1,2,0,repetition
794,57,368,74 3/2,2,0,repetition
796,69,368,74 3/2,0,0,repetition
799,57,369,75,2,0,repetition
801,69,369,75,0,0,repetition
802,45,370,75 1/2,4,5,other
804,60,370,75 1/2,1,2,other
805,72,370,75 1/2,0,3,other
808,57,371,75 1/1,2,0,repetition
810,69,371,75 1/1,0,0,repetition
815,57,374,76,2,0,repetition
816,64,374,76,1,2,other
817,72,374,76,0,3,other
821,64,375,76 3/2,2,7,other
822,69,375,76 3/2,0,0,repetition
825,57,376,77,2,0,repetition
827,69,376,77,0,0,repetition
831,64,377,77 1/2,2,7,other
832,72,377,77 1/2,0,3,other
835,57,378,77 1/1,2,0,repetition
837,69,378,77 1/1,0,0,repetition
842,57,381,78,2,0,repetition
843,64,381,78,1,2,other
844,73,381,78,0,4,other
