note,pitch,chord,bar,mapped voice,cost,category
2,59,1,1 1/4,1,2,ficta
6,69,4,1 1/1,0,0,repetition
8,66,6,2,0,3,ficta
12,66,9,2 1/1,0,1,other
20,67,15,3 1/1,0,0,repetition
33,63,26,5 5/4,1,2,ficta
45,65,35,6 3/2,1,0,repetition
55,55,42,8,2,3,other
65,66,44,9,0,1,ficta
76,62,53,9 3/2,1,4,other
80,55,57,10,1,0,repetition
84,62,61,10 1/2,2,4,other
86,66,63,10 3/4,0,0,repetition
112,59,84,13 7/4,1,2,ficta
116,51,87,14 1/2,3,1,ficta
124,51,93,15 1/4,3,2,ficta
126,50,94,15 1/2,3,2,other
131,60,98,15 3/2,1,0,repetition
135,72,100,16,0,5,other
150,58,112,17 1/2,2,1,other
151,50,113,17 1/1,3,0,repetition
152,57,113,17 1/1,2,0,repetition
153,65,113,17 1/1,0,0,repetition
164,48,120,18 3/2,3,0,repetition
184,62,135,21 7/4,0,0,repetition
189,50,138,22 1/1,3,0,repetition
190,57,138,22 1/1,2,0,repetition
191,65,138,22 1/1,0,0,repetition
193,50,140,23,3,0,repetition
198,50,144,23 1/1,3,0,repetition
218,72,157,26 1/4,0,0,repetition
230,58,164,27 1/1,2,0,repetition
233,62,165,27 3/2,2,4,other
243,58,172,28 5/4,3,0,repetition
247,52,176,29,3,3,other
248,50,177,29 1/4,3,5,other
251,61,178,29 1/2,1,6,other
255,62,179,29 1/1,1,7,other
256,67,179,29 1/1,0,0,repetition
259,67,182,29 3/2,0,1,ficta
260,66,183,29 7/4,0,0,repetition
264,55,186,30 1/1,2,0,repetition
266,67,186,30 1/1,0,0,repetition
286,69,201,33,0,0,repetition
318,62,222,36 1/2,0,4,other
323,65,225,37,2,10,other
327,62,229,37 3/4,0,0,repetition
331,63,233,37 3/2,1,1,ficta
352,61,245,40,3,3,other
372,73,252,41 3/2,0,1,ficta
385,62,259,43,2,0,repetition
386,66,259,43,1,1,ficta
391,71,261,44 3/4,0,2,ficta
401,71,266,45 1/1,0,2,ficta
416,71,276,48 1/1,0,2,ficta
422,69,278,49,1,9,other
425,63,279,49 1/1,2,1,ficta
430,66,280,49 2/1,1,1,ficta
435,71,281,50,0,1,ficta
462,60,288,52 1/1,1,3,other
465,60,289,52 2/1,2,3,other
483,66,293,54,0,1,ficta
509,64,302,56 2/1,0,1,ficta
512,55,304,57,2,0,repetition
516,64,305,57 1/1,0,2,ficta
519,55,307,58,2,0,repetition
520,59,307,58,1,1,ficta
528,67,314,58 2/1,0,5,other
529,69,315,58 5/2,0,7,other
530,43,316,59,3,0,repetition
531,55,316,59,2,0,repetition
532,62,316,59,1,4,other
533,71,316,59,0,9,other
