note,pitch,chord,bar,mapped voice,cost,category
3,67,1,1 1/1,0,0,repetition
7,55,5,1 7/4,1,0,repetition
22,67,18,2 1/1,0,0,repetition
23,62,19,2 3/2,0,5,other
27,66,23,3 1/2,1,1,ficta
29,66,25,3 1/1,1,2,ficta
30,69,25,3 1/1,0,0,repetition
33,57,28,4 1/4,1,5,other
36,66,31,4 1/1,1,2,ficta
37,69,31,4 1/1,0,0,repetition
39,69,33,4 5/4,0,0,repetition
41,67,35,4 3/2,1,0,repetition
45,67,39,4 7/4,1,2,other
63,55,53,5 1/1,3,0,repetition
64,71,53,5 1/1,0,0,repetition
79,55,65,6 1/1,3,0,repetition
80,67,65,6 1/1,1,0,repetition
84,59,69,6 3/2,3,4,other
93,54,78,7 1/2,5,1,ficta
95,54,80,7 1/1,5,2,ficta
96,57,80,7 1/1,3,0,repetition
99,49,83,8 1/4,5,1,ficta
102,54,86,8 1/1,5,2,ficta
103,57,86,8 1/1,3,0,repetition
105,57,88,8 5/4,3,0,repetition
107,54,90,8 3/2,5,1,other
109,55,92,8 7/4,5,2,other
117,65,98,9 1/2,1,2,other
127,59,106,9 1/1,3,0,repetition
129,59,108,9 5/4,3,0,repetition
148,55,122,10 1/1,5,0,repetition
153,62,125,10 3/2,2,0,repetition
159,62,129,11,5,7,other
162,54,131,11 1/2,5,1,ficta
165,54,133,11 1/1,3,1,ficta
166,69,133,11 1/1,0,0,repetition
170,54,136,11 7/4,3,1,ficta
180,60,140,12 1/1,1,0,repetition
182,54,141,12 5/4,3,1,ficta
188,72,144,13,0,0,repetition
190,57,145,13 1/4,1,0,repetition
194,59,149,13 3/4,1,1,other
203,59,155,13 5/4,1,0,repetition
208,62,159,13 7/4,1,0,repetition
227,54,170,15,4,1,ficta
230,67,170,15,0,0,repetition
232,57,172,15 1/2,3,0,repetition
236,57,174,15 1/1,3,0,repetition
242,67,178,15 3/2,0,1,other
258,67,187,16 1/1,0,0,repetition
259,54,188,16 5/4,1,2,ficta
264,60,191,17,3,0,repetition
268,54,195,17 1/2,1,1,ficta
269,62,195,17 1/2,3,2,other
271,62,197,17 3/4,3,2,other
279,59,203,17 5/4,3,0,repetition
281,55,205,17 3/2,1,0,repetition
286,59,209,17 7/4,3,0,repetition
295,53,215,18 1/2,1,0,repetition
304,61,222,18 5/4,2,1,ficta
306,62,224,18 3/2,2,2,other
308,62,226,18 7/4,2,2,other
313,55,230,19,3,0,repetition
323,57,235,19 1/1,1,0,repetition
324,62,235,19 1/1,2,0,repetition
325,69,235,19 1/1,0,0,repetition
335,50,244,20,5,0,repetition
339,43,246,20 1/1,4,0,repetition
341,55,246,20 1/1,3,0,repetition
343,71,246,20 1/1,0,0,repetition
345,52,248,21,5,0,repetition
358,57,255,21 3/2,3,2,other
361,59,257,21 7/4,2,1,other
369,60,263,22 1/2,2,0,repetition
392,60,278,23 1/2,1,0,repetition
400,57,282,23 3/2,3,0,repetition
404,62,283,24,2,0,repetition
408,50,286,24 1/2,4,0,repetition
414,43,292,24 1/1,5,0,repetition
415,55,292,24 1/1,1,0,repetition
416,59,292,24 1/1,3,0,repetition
421,52,296,25,4,0,repetition
423,67,296,25,2,0,repetition
436,57,304,25 3/2,3,2,other
439,60,306,25 7/4,2,0,repetition
446,62,310,26,2,2,other
466,60,321,27 1/2,1,0,repetition
474,57,325,27 3/2,1,0,repetition
487,43,336,28 1/1,5,0,repetition
488,55,336,28 1/1,3,0,repetition
490,71,336,28 1/1,0,0,repetition
495,67,341,29,2,0,repetition
511,67,354,29 3/2,2,3,other
512,62,355,29 7/4,2,0,repetition
517,66,358,30 1/4,0,3,other
520,62,360,30 1/2,0,5,other
527,69,366,30 1/1,0,2,other
529,67,368,30 3/2,0,1,other
533,67,372,30 7/4,0,1,other
550,59,386,31 1/1,3,0,repetition
551,67,386,31 1/1,0,0,repetition
556,55,391,32,4,0,repetition
574,60,406,32 3/2,3,0,repetition
575,50,407,32 7/4,4,0,repetition
587,55,415,33 3/2,2,0,repetition
589,55,417,33 7/4,2,0,repetition
607,43,433,34 1/1,4,0,repetition
