note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/1,1,0,repetition
2,67,2,1 3/2,1,0,repetition
10,55,9,2 1/1,2,0,repetition
17,67,13,3,1,0,repetition
18,70,13,3,0,0,repetition
29,62,22,3 3/2,2,0,repetition
31,62,23,4,2,0,repetition
38,55,30,4 1/1,4,0,repetition
53,43,41,5 1/1,5,0,repetition
62,58,47,6,4,0,repetition
63,67,47,6,1,0,repetition
76,50,58,7,5,0,repetition
80,62,59,7 1/1,3,0,repetition
81,74,59,7 1/1,0,0,repetition
93,50,69,8 1/1,5,0,repetition
100,65,73,9,3,0,repetition
101,74,73,9,0,0,repetition
111,57,81,9 3/2,4,0,repetition
114,50,83,10 1/1,5,0,repetition
117,57,84,10 3/2,4,0,repetition
135,50,98,12,5,0,repetition
136,53,98,12,1,0,repetition
137,58,98,12,4,0,repetition
159,64,114,13 1/1,3,0,repetition
178,62,124,14 3/2,3,3,other
182,50,128,15,5,0,repetition
185,69,128,15,0,0,repetition
214,65,144,16 3/2,3,1,other
222,57,149,17 1/2,2,2,other
248,69,170,19 1/2,2,2,other
250,69,172,19 3/4,0,2,other
254,66,176,19 1/1,2,2,ficta
257,67,178,19 3/2,2,2,other
258,69,178,19 3/2,0,0,repetition
273,66,187,21 1/2,2,1,ficta
278,66,189,21 1/1,2,2,ficta
290,67,197,22 1/1,2,0,repetition
296,67,200,23,2,0,repetition
301,69,204,23 1/2,2,2,other
303,65,206,23 3/4,1,0,repetition
356,55,237,26 1/1,4,0,repetition
376,65,244,28,3,0,repetition
379,67,246,28 1/2,3,2,other
381,64,248,28 3/4,3,0,repetition
396,43,257,29 1/2,5,12,other
397,55,258,29 1/1,5,0,repetition
398,58,258,29 1/1,2,0,repetition
400,70,258,29 1/1,0,0,repetition
404,62,260,30,3,0,repetition
422,55,272,31,5,0,repetition
424,70,272,31,0,0,repetition
448,50,288,32 1/1,5,0,repetition
450,62,288,32 1/1,3,0,repetition
451,65,288,32 1/1,0,0,repetition
464,58,299,33 1/1,4,0,repetition
470,62,302,34,3,0,repetition
483,55,311,35,5,0,repetition
484,58,311,35,4,0,repetition
504,57,322,36,4,2,other
509,53,324,36 1/1,4,0,repetition
511,65,324,36 1/1,3,0,repetition
517,57,327,37,1,0,repetition
533,50,335,38,5,0,repetition
536,65,335,38,3,0,repetition
565,45,354,39 1/1,5,0,repetition
566,52,354,39 1/1,2,0,repetition
567,57,354,39 1/1,1,0,repetition
568,60,354,39 1/1,3,0,repetition
600,51,377,42,2,0,repetition
601,60,377,42,3,0,repetition
602,67,377,42,0,0,repetition
633,43,401,44 1/2,3,17,other
638,70,402,44 1/1,0,0,repetition
654,51,412,46,5,0,repetition
679,62,425,47 3/2,3,3,other
691,50,430,48 3/2,2,0,repetition
693,46,431,49,5,0,repetition
697,46,433,49 1/2,5,0,repetition
736,60,456,51 3/2,3,0,repetition
748,55,464,52 1/1,1,0,repetition
752,57,467,52 3/2,2,0,repetition
754,57,469,52 7/4,2,0,repetition
759,43,473,53 1/1,5,0,repetition
776,62,485,54 3/2,3,2,other
790,67,495,55 1/1,0,0,repetition
809,67,506,56 1/1,0,0,repetition
814,55,508,57,4,0,repetition
816,67,508,57,0,0,repetition
824,55,515,57 1/1,4,0,repetition
827,67,515,57 1/1,0,0,repetition
830,55,517,58,4,0,repetition
838,55,519,58 1/1,4,0,repetition
843,54,522,58 7/4,4,1,ficta
853,43,529,59 1/1,5,0,repetition
854,55,529,59 1/1,4,0,repetition
855,62,529,59 1/1,3,0,repetition
864,62,536,60,3,0,repetition
868,62,538,60 1/1,3,0,repetition
873,62,540,61,3,0,repetition
874,70,540,61,0,0,repetition
879,62,545,61 3/4,3,0,repetition
890,55,554,62 1/2,4,0,repetition
901,74,557,63,0,0,repetition
905,58,559,63 1/2,1,0,repetition
909,55,561,63 1/1,2,0,repetition
912,70,561,63 1/1,0,0,repetition
922,58,567,64,4,0,repetition
927,46,571,64 3/4,5,0,repetition
931,65,573,64 1/1,0,0,repetition
954,46,587,66 1/2,5,0,repetition
966,65,591,67,3,0,repetition
1020,54,624,71 1/2,4,1,other
1033,48,634,72,5,0,repetition
1034,52,634,72,1,0,repetition
1035,57,634,72,4,0,repetition
1036,60,634,72,3,0,repetition
1050,55,642,73,4,0,repetition
1071,55,654,75,4,0,repetition
1072,58,654,75,2,0,repetition
1073,64,654,75,3,0,repetition
1074,67,654,75,0,0,repetition
1119,43,679,78,5,0,repetition
1120,55,679,78,1,0,repetition
1121,58,679,78,4,0,repetition
1122,62,679,78,3,0,repetition
1172,65,703,81,3,0,repetition
1194,69,716,82 3/4,0,0,repetition
1196,50,718,82 1/1,5,0,repetition
1208,70,722,83,0,0,repetition
1218,62,727,83 5/4,3,2,other
1220,59,729,83 3/2,3,1,other
1222,62,731,83 7/4,3,2,other
1232,50,739,84 1/1,5,0,repetition
1234,65,739,84 1/1,0,0,repetition
1264,48,763,86 1/2,5,0,repetition
1286,55,778,87 1/1,4,0,repetition
1288,63,778,87 1/1,2,1,ficta
1291,48,780,88,5,0,repetition
1294,63,780,88,2,1,other
1295,72,780,88,0,0,repetition
1327,62,805,90 1/1,3,0,repetition
1330,55,807,91,4,0,repetition
1333,70,807,91,0,0,repetition
1339,62,809,91 1/1,3,0,repetition
1346,43,815,92,5,0,repetition
1348,58,815,92,2,0,repetition
1357,53,820,92 3/2,5,2,other
1363,58,824,93,2,0,repetition
1368,57,827,93 1/2,4,0,repetition
1370,48,829,93 1/1,5,0,repetition
1371,52,829,93 1/1,1,0,repetition
1372,57,829,93 1/1,4,0,repetition
1374,55,830,93 5/4,4,0,repetition
1375,62,830,93 5/4,3,0,repetition
1380,48,833,94,1,2,other
1381,54,833,94,4,1,ficta
1383,45,835,94 1/2,5,0,repetition
1385,55,835,94 1/2,4,2,other
1392,55,839,95,4,0,repetition
1393,58,839,95,2,0,repetition
1395,74,839,95,0,0,repetition
1400,62,841,95 1/1,3,0,repetition
1425,60,853,97 3/2,3,2,other
1431,62,857,98,3,0,repetition
1434,55,859,98 1/1,4,0,repetition
1445,62,866,99,3,0,repetition
1450,65,870,99 3/4,0,0,repetition
1458,67,875,99 3/2,0,2,other
1467,51,881,100 1/2,5,3,ficta
1473,67,882,100 1/1,0,0,repetition
1476,62,885,100 3/2,3,0,repetition
1478,66,887,100 7/4,0,0,repetition
1480,69,889,101,0,5,other
1484,50,893,101 1/2,5,0,repetition
1485,57,893,101 1/2,4,0,repetition
1486,62,893,101 1/2,3,0,repetition
1487,67,893,101 1/2,0,1,other
1491,62,895,101 1/1,3,0,repetition
1524,52,912,103 7/4,2,0,repetition
1526,48,914,104,5,0,repetition
1528,64,914,104,3,0,repetition
1529,67,914,104,0,0,repetition
1530,48,915,104 1/2,5,0,repetition
1552,53,926,105 1/1,4,0,repetition
1561,74,928,106,0,0,repetition
1575,62,934,107,3,0,repetition
1591,48,942,108 1/1,5,0,repetition
1600,60,944,109,3,0,repetition
1606,72,946,109 1/1,0,0,repetition
1624,53,959,110 1/1,4,0,repetition
1628,50,961,110 3/2,5,0,repetition
1630,69,961,110 3/2,0,0,repetition
1653,48,974,112 1/1,5,0,repetition
1667,65,979,113 1/2,3,5,other
1674,72,983,113 1/1,0,0,repetition
1676,45,985,113 3/2,5,0,repetition
1690,53,993,114 1/1,4,0,repetition
1694,50,995,114 3/2,5,0,repetition
1695,69,995,114 3/2,0,0,repetition
1715,55,1003,116 1/1,4,0,repetition
1717,64,1003,116 1/1,3,0,repetition
1721,55,1005,117,4,0,repetition
1723,64,1005,117,1,4,other
1727,67,1008,117 1/2,0,5,other
1729,64,1010,117 3/4,3,4,other
1732,55,1012,117 1/1,4,0,repetition
1734,64,1012,117 1/1,3,4,other
1736,48,1013,117 3/2,5,0,repetition
1740,55,1015,118,4,0,repetition
1750,43,1022,118 1/1,5,0,repetition
1751,50,1022,118 1/1,2,0,repetition
1752,55,1022,118 1/1,4,0,repetition
1754,62,1022,118 1/1,3,0,repetition
1757,43,1024,119,5,0,repetition
1758,50,1024,119,2,0,repetition
1759,55,1024,119,4,0,repetition
1761,62,1024,119,3,0,repetition
1768,43,1030,119 1/1,5,0,repetition
1769,50,1030,119 1/1,2,0,repetition
1770,55,1030,119 1/1,4,0,repetition
1771,58,1030,119 1/1,1,0,repetition
1772,62,1030,119 1/1,3,0,repetition
1773,67,1030,119 1/1,0,0,repetition
1775,43,1032,120,5,0,repetition
1776,50,1032,120,2,0,repetition
1778,58,1032,120,4,3,other
1779,62,1032,120,3,0,repetition
1780,67,1032,120,0,0,repetition
