note,pitch,chord,bar,mapped voice,cost,category
5,70,3,1 1/1,0,0,repetition
26,70,17,3,0,0,repetition
32,67,21,3 1/1,2,0,repetition
45,55,31,4 1/1,3,0,repetition
47,70,31,4 1/1,0,0,repetition
49,57,33,4 3/2,3,2,other
55,62,35,5,2,0,repetition
60,50,38,5 1/1,3,0,repetition
63,65,38,5 1/1,1,0,repetition
67,65,42,5 7/4,1,0,repetition
69,50,44,6,3,0,repetition
75,50,47,6 1/1,3,0,repetition
83,65,51,7,1,0,repetition
100,65,61,8 1/1,1,0,repetition
124,46,74,10 1/1,5,0,repetition
126,58,74,10 1/1,3,0,repetition
127,62,74,10 1/1,2,0,repetition
133,62,77,11,2,0,repetition
136,46,80,11 1/1,5,0,repetition
139,62,80,11 1/1,2,0,repetition
144,58,83,12,3,0,repetition
147,58,85,12 1/2,3,0,repetition
148,62,85,12 1/2,2,0,repetition
151,54,87,12 1/1,5,1,other
153,55,88,12 5/4,5,0,repetition
154,45,89,12 3/2,4,0,repetition
155,55,89,12 3/2,5,1,ficta
156,60,89,12 3/2,3,0,repetition
157,54,90,12 7/4,5,0,repetition
167,58,97,13 1/1,3,0,repetition
168,57,98,13 3/2,3,1,other
173,62,100,14,2,0,repetition
188,53,108,15 1/1,4,0,repetition
189,62,108,15 1/1,1,0,repetition
190,69,108,15 1/1,0,0,repetition
201,58,114,16 1/2,1,0,repetition
203,62,116,16 3/4,2,0,repetition
229,50,130,18 1/1,5,0,repetition
230,53,130,18 1/1,1,0,repetition
231,57,130,18 1/1,3,0,repetition
232,65,130,18 1/1,2,0,repetition
233,69,130,18 1/1,0,0,repetition
266,58,152,20 3/2,3,0,repetition
268,62,154,20 7/4,2,0,repetition
278,57,159,21 1/1,3,0,repetition
279,65,159,21 1/1,2,0,repetition
305,52,170,23 1/2,4,0,repetition
311,67,172,23 1/1,0,0,repetition
321,53,179,24 1/2,5,2,ficta
338,50,186,25 1/1,5,0,repetition
341,65,186,25 1/1,1,0,repetition
348,50,191,26,5,0,repetition
349,53,191,26,4,0,repetition
374,62,203,27 1/1,1,0,repetition
375,74,203,27 1/1,0,0,repetition
382,62,207,28,1,0,repetition
383,70,207,28,0,0,repetition
384,58,208,28 1/2,3,0,repetition
389,50,210,28 1/1,5,0,repetition
391,62,210,28 1/1,2,0,repetition
392,67,210,28 1/1,0,0,repetition
393,66,211,28 5/4,0,0,repetition
395,66,213,28 3/2,0,1,other
397,64,215,28 7/4,1,2,other
406,43,219,29 1/1,5,0,repetition
414,50,223,30,3,5,other
415,58,223,30,4,0,repetition
417,74,223,30,0,0,repetition
439,46,234,31 1/1,5,0,repetition
441,58,234,31 1/1,1,0,repetition
454,55,241,32 1/1,3,0,repetition
459,57,245,33,1,0,repetition
468,54,252,33 1/1,3,1,other
469,55,253,33 5/4,3,0,repetition
470,45,254,33 3/2,5,0,repetition
471,55,254,33 3/2,3,0,repetition
472,54,255,33 7/4,1,0,repetition
477,43,258,34 1/1,5,0,repetition
484,43,262,35,5,0,repetition
485,55,262,35,1,0,repetition
487,74,262,35,0,0,repetition
492,43,265,35 1/1,5,0,repetition
493,55,265,35 1/1,4,0,repetition
494,58,265,35 1/1,3,0,repetition
513,69,275,37,0,0,repetition
522,67,280,37 1/1,0,0,repetition
523,55,281,37 5/4,1,0,repetition
524,50,282,37 3/2,4,0,repetition
525,57,282,37 3/2,3,0,repetition
526,67,282,37 3/2,0,1,ficta
527,66,283,37 7/4,0,0,repetition
533,43,286,38 1/1,4,0,repetition
536,67,286,38 1/1,0,0,repetition
541,43,290,39,4,0,repetition
542,55,290,39,3,0,repetition
543,58,290,39,5,0,repetition
544,62,290,39,2,0,repetition
545,67,290,39,0,0,repetition
551,43,294,39 1/1,4,0,repetition
552,55,294,39 1/1,5,0,repetition
553,58,294,39 1/1,2,0,repetition
555,67,294,39 1/1,0,0,repetition
570,65,304,40 3/4,1,0,repetition
572,50,306,40 1/1,5,0,repetition
573,57,306,40 1/1,3,0,repetition
587,62,313,41 1/1,1,0,repetition
592,64,316,42,1,0,repetition
594,50,318,42 1/2,5,0,repetition
600,62,320,42 1/1,1,0,repetition
603,52,323,42 3/2,4,0,repetition
604,55,323,42 3/2,3,0,repetition
616,65,330,43 3/4,2,0,repetition
618,50,332,43 1/1,5,0,repetition
620,69,332,43 1/1,0,0,repetition
636,62,343,44 1/1,2,0,repetition
