note,pitch,chord,bar,mapped voice,cost,category
17,67,15,2 1/2,1,2,other
27,66,23,3 1/4,1,2,ficta
31,67,26,3 1/1,1,0,repetition
36,69,29,3 3/2,0,0,repetition
37,67,30,3 7/4,1,1,other
54,66,42,5,1,2,ficta
60,67,46,5 1/1,1,0,repetition
66,69,51,5 7/4,0,0,repetition
78,55,62,6 1/1,1,12,other
98,60,79,8 1/1,1,0,repetition
99,69,79,8 1/1,0,0,repetition
108,71,86,9,0,0,repetition
113,67,90,9 1/1,0,0,repetition
116,67,93,9 3/2,0,1,other
118,67,95,9 7/4,0,1,other
155,71,129,12,0,0,repetition
158,71,132,12 1/2,0,0,repetition
164,64,138,12 1/1,1,0,repetition
172,72,143,13,0,0,repetition
183,64,151,14,1,0,repetition
187,65,153,14 1/2,0,0,repetition
190,62,156,14 1/1,1,0,repetition
193,62,158,14 3/2,1,1,ficta
204,62,168,15 1/1,1,0,repetition
209,65,172,16 1/2,1,0,repetition
215,65,176,16 3/2,0,0,repetition
227,69,184,18,0,0,repetition
233,67,188,18 1/1,0,0,repetition
235,67,190,18 3/2,0,0,repetition
250,65,203,19 3/2,0,0,repetition
262,60,212,21,1,0,repetition
263,69,212,21,0,0,repetition
264,59,213,21 1/4,1,0,repetition
266,57,214,21 1/2,1,2,other
270,67,216,21 1/1,0,0,repetition
339,60,258,26 1/1,1,0,repetition
352,67,266,27 1/1,0,0,repetition
