note,pitch,chord,bar,mapped voice,cost,category
1,65,1,1 1/1,0,0,repetition
11,67,11,2 1/1,0,2,other
34,53,33,4 1/1,4,0,repetition
37,72,35,5,0,0,repetition
42,69,39,5 1/1,0,0,repetition
45,67,42,5 3/2,0,0,repetition
54,55,50,6 1/1,4,0,repetition
55,62,50,6 1/1,0,0,repetition
60,57,55,6 7/4,4,2,other
66,53,59,7 1/1,2,0,repetition
72,72,62,8,0,0,repetition
79,69,66,8 1/1,0,0,repetition
80,70,67,8 5/4,0,1,other
82,52,69,8 3/2,4,0,repetition
83,67,69,8 3/2,0,0,repetition
84,50,70,8 7/4,4,0,repetition
85,65,70,8 7/4,0,0,repetition
92,55,74,9 1/1,2,0,repetition
93,64,74,9 1/1,0,2,other
94,46,75,9 5/4,4,0,repetition
95,62,75,9 5/4,0,0,repetition
110,53,85,10 1/1,3,0,repetition
111,57,85,10 1/1,2,0,repetition
117,72,88,11,0,0,repetition
124,69,91,11 1/1,0,0,repetition
136,46,97,12 1/1,4,0,repetition
138,55,97,12 1/1,3,0,repetition
152,41,105,13 1/1,4,0,repetition
153,57,105,13 1/1,3,0,repetition
162,57,110,14 1/1,3,0,repetition
174,62,115,15 1/2,1,0,repetition
176,58,117,15 3/4,2,0,repetition
181,55,120,15 5/4,3,3,other
183,58,122,15 3/2,3,0,repetition
185,62,124,15 7/4,2,0,repetition
194,64,131,16 3/4,1,0,repetition
198,60,133,16 1/1,0,0,repetition
205,64,137,17,1,0,repetition
207,45,139,17 1/2,4,0,repetition
212,60,141,17 1/1,2,0,repetition
213,64,141,17 1/1,1,0,repetition
217,55,144,17 3/2,3,0,repetition
225,41,149,18 1/1,4,0,repetition
226,53,149,18 1/1,3,0,repetition
241,52,158,19 1/2,3,3,other
250,67,164,19 7/4,0,0,repetition
262,55,171,20 1/1,3,0,repetition
278,45,182,21 1/1,4,0,repetition
280,57,182,21 1/1,3,0,repetition
281,60,182,21 1/1,1,0,repetition
282,69,182,21 1/1,0,0,repetition
288,57,185,22,3,0,repetition
294,64,190,22 3/4,0,1,other
307,53,196,23 1/1,4,0,repetition
309,62,196,23 1/1,1,0,repetition
310,69,196,23 1/1,0,0,repetition
325,48,206,24 1/1,4,0,repetition
327,64,206,24 1/1,1,0,repetition
328,67,206,24 1/1,0,0,repetition
333,48,210,25,4,0,repetition
334,57,210,25,3,0,repetition
336,64,210,25,1,0,repetition
340,48,214,25 1/1,4,0,repetition
351,60,221,26 3/4,2,3,other
355,69,223,26 1/1,0,0,repetition
358,65,226,26 3/2,1,1,other
366,53,232,27 1/2,4,0,repetition
374,50,238,27 3/2,4,0,repetition
393,50,249,29 1/2,2,2,other
400,60,253,29 1/1,1,0,repetition
405,72,255,30,0,0,repetition
421,60,266,31,2,0,repetition
430,67,269,31 1/1,0,0,repetition
443,55,280,32 1/2,3,2,other
450,45,285,32 3/2,4,3,other
456,55,288,33,3,0,repetition
469,62,297,33 3/2,1,2,other
480,48,307,34 3/4,4,0,repetition
481,57,307,34 3/4,3,0,repetition
483,57,308,34 1/1,3,0,repetition
511,62,328,36,1,0,repetition
512,69,328,36,0,0,repetition
515,70,331,36 1/2,0,3,other
517,70,333,36 3/4,0,3,other
537,45,349,37 1/1,4,0,repetition
538,57,349,37 1/1,3,0,repetition
539,60,349,37 1/1,2,0,repetition
546,72,351,38,0,0,repetition
548,72,353,38 1/2,0,0,repetition
564,48,363,39 1/1,4,0,repetition
565,55,363,39 1/1,3,0,repetition
576,52,369,40 1/2,4,0,repetition
577,59,369,40 1/2,2,0,repetition
581,64,370,40 1/1,1,0,repetition
591,61,377,41 1/1,1,1,ficta
593,52,379,41 3/2,4,0,repetition
594,62,379,41 3/2,1,2,other
631,46,400,44 1/1,4,1,ficta
632,52,400,44 1/1,2,0,repetition
633,57,400,44 1/1,3,0,repetition
634,55,401,44 5/4,3,0,repetition
636,46,403,44 3/2,4,1,other
638,55,403,44 3/2,3,0,repetition
639,53,404,44 7/4,3,2,other
645,45,408,45 1/1,4,0,repetition
647,58,409,45 5/4,3,2,ficta
658,58,417,46 1/2,3,0,repetition
659,53,418,46 3/4,2,4,other
660,57,418,46 3/4,3,0,repetition
663,58,419,46 1/1,0,1,ficta
676,57,426,47 1/1,3,0,repetition
709,57,447,49 1/1,3,0,repetition
710,65,447,49 1/1,1,1,other
724,45,459,50 1/1,4,0,repetition
725,52,459,50 1/1,2,0,repetition
728,64,459,50 1/1,1,0,repetition
765,45,486,53 1/1,4,0,repetition
