note,pitch,chord,bar,mapped voice,cost,category
3,69,2,2,0,0,repetition
13,62,11,3,1,0,repetition
85,67,71,9,0,0,repetition
97,70,80,10,0,0,repetition
107,67,88,10 1/1,0,0,repetition
125,62,103,11 1/1,2,0,repetition
128,55,105,12,3,0,repetition
131,70,105,12,0,0,repetition
139,65,110,12 3/2,2,2,other
167,62,131,14,2,0,repetition
171,55,133,14 1/1,3,0,repetition
174,70,133,14 1/1,0,0,repetition
177,58,135,14 3/2,1,0,repetition
183,50,138,15 1/2,3,0,repetition
186,52,139,15 3/4,3,2,other
189,62,140,15 1/1,2,0,repetition
190,65,140,15 1/1,1,0,repetition
199,52,144,16,3,3,ficta
201,62,144,16,1,0,repetition
202,70,144,16,0,0,repetition
204,52,146,16 1/2,3,1,other
205,55,146,16 1/2,2,0,repetition
206,61,146,16 1/2,1,1,ficta
213,67,149,16 1/1,0,0,repetition
216,67,152,16 3/2,0,0,repetition
224,55,159,17 1/1,2,0,repetition
226,67,159,17 1/1,0,0,repetition
293,65,216,23,1,0,repetition
297,65,219,23 1/2,1,0,repetition
311,60,233,24 1/1,1,0,repetition
321,62,239,25 1/1,1,2,other
331,70,247,26,0,0,repetition
336,66,251,26 1/1,0,1,other
337,55,252,26 5/4,2,0,repetition
338,67,252,26 5/4,0,0,repetition
339,57,253,26 3/2,1,0,repetition
355,43,266,27 3/2,3,12,other
356,55,267,28,3,0,repetition
358,70,267,28,0,0,repetition
362,62,269,28 1/1,2,0,repetition
381,52,279,30,3,1,ficta
382,60,279,30,2,0,repetition
383,69,279,30,0,0,repetition
385,67,280,30 1/4,0,2,other
386,57,281,30 1/2,2,1,other
392,67,283,30 1/1,0,0,repetition
394,67,285,30 3/2,0,0,repetition
399,62,289,31,1,0,repetition
402,55,291,31 1/1,2,0,repetition
403,64,291,31 1/1,1,2,ficta
404,67,291,31 1/1,0,0,repetition
418,65,302,32 1/1,1,0,repetition
420,64,303,32 3/2,1,1,ficta
425,69,305,33,0,0,repetition
428,64,308,33 1/2,1,4,other
436,60,314,33 3/2,1,2,other
438,60,316,33 7/4,2,2,other
450,57,324,34 1/1,3,0,repetition
452,72,324,34 1/1,0,0,repetition
493,60,351,37,1,0,repetition
537,55,371,40,3,0,repetition
539,62,371,40,2,0,repetition
540,70,371,40,0,0,repetition
550,67,375,40 1/1,0,0,repetition
573,43,396,41 1/1,3,0,repetition
574,55,396,41 1/1,1,0,repetition
576,67,396,41 1/1,0,0,repetition
581,55,401,42,1,0,repetition
582,62,401,42,2,0,repetition
583,67,401,42,0,0,repetition
586,55,403,42 1/1,1,0,repetition
588,67,403,42 1/1,0,0,repetition
617,53,428,46 1/1,3,0,repetition
620,60,430,46 5/4,2,2,other
622,51,432,46 3/2,3,2,ficta
625,60,433,47,1,0,repetition
627,51,435,47 1/2,3,1,other
629,50,436,47 3/4,3,0,repetition
631,57,437,47 1/1,1,1,other
632,46,438,47 5/4,3,2,other
633,55,438,47 5/4,1,3,other
635,58,439,47 3/2,1,0,repetition
641,60,444,48 1/2,2,2,other
658,62,456,49 3/4,2,0,repetition
669,55,463,50 1/1,3,0,repetition
680,69,466,51,0,0,repetition
684,63,468,51 1/2,2,1,ficta
690,67,470,51 1/1,0,0,repetition
701,62,478,52,2,0,repetition
714,43,490,52 1/1,3,0,repetition
719,70,492,53,0,0,repetition
723,55,494,53 1/1,3,0,repetition
733,69,496,54,0,0,repetition
737,63,498,54 1/2,2,1,ficta
742,66,499,54 1/1,0,1,other
743,67,500,54 5/4,0,0,repetition
747,62,502,55,2,0,repetition
751,43,504,55 1/1,3,0,repetition
752,55,504,55 1/1,1,0,repetition
757,43,507,56,3,0,repetition
758,55,507,56,1,0,repetition
760,74,507,56,0,0,repetition
766,43,511,56 1/1,3,0,repetition
767,55,511,56 1/1,2,0,repetition
768,70,511,56 1/1,0,0,repetition
779,50,518,57 1/1,2,0,repetition
780,57,518,57 1/1,1,0,repetition
781,65,518,57 1/1,0,0,repetition
785,65,520,58,0,0,repetition
791,50,526,58 1/1,3,0,repetition
793,65,526,58 1/1,0,0,repetition
798,65,528,59,0,0,repetition
804,62,532,59 1/1,2,0,repetition
805,65,532,59 1/1,0,0,repetition
830,58,551,61 3/4,2,0,repetition
889,63,598,65 1/2,2,1,other
921,51,623,67 1/1,3,1,ficta
948,55,643,69,1,2,other
957,46,651,69 1/1,3,0,repetition
962,58,653,70,2,0,repetition
965,43,655,70 1/1,3,0,repetition
967,62,655,70 1/1,1,0,repetition
969,43,657,71,3,0,repetition
976,43,663,71 1/1,3,0,repetition
978,58,663,71 1/1,1,0,repetition
1000,65,684,74 1/1,2,0,repetition
1024,72,702,76 1/2,0,2,other
1041,58,714,77 3/4,2,0,repetition
1052,46,720,78 1/1,3,0,repetition
1053,62,720,78 1/1,1,0,repetition
1054,65,720,78 1/1,2,0,repetition
1063,69,722,79,0,0,repetition
1072,67,725,79 1/1,0,0,repetition
1077,67,728,79 3/2,0,0,repetition
1081,62,730,80,2,0,repetition
1085,67,733,80 1/2,0,0,repetition
1089,43,737,80 1/1,3,0,repetition
1090,55,737,80 1/1,1,0,repetition
1098,74,741,81,0,0,repetition
1101,46,743,81 1/1,3,0,repetition
1102,62,743,81 1/1,1,0,repetition
1103,65,743,81 1/1,2,0,repetition
1113,69,746,82,0,0,repetition
1124,67,751,82 1/1,0,0,repetition
1135,62,759,83,2,0,repetition
1138,43,761,83 1/1,3,0,repetition
1139,55,761,83 1/1,1,0,repetition
1148,43,769,84,3,0,repetition
1149,55,769,84,1,0,repetition
1152,43,771,84 1/1,3,0,repetition
1153,55,771,84 1/1,1,0,repetition
1175,58,786,86 1/1,2,0,repetition
1184,55,790,87 1/1,2,0,repetition
1189,62,793,87 3/2,1,5,other
1197,62,799,88 1/2,1,3,other
1208,70,805,89,0,0,repetition
1213,66,808,89 3/4,0,1,ficta
1231,51,818,90 1/1,3,1,ficta
1241,53,824,91,3,0,repetition
1242,57,824,91,1,0,repetition
1244,51,825,91 1/4,3,2,ficta
1253,62,828,91 1/1,2,0,repetition
1259,57,831,92,2,1,other
1261,48,833,92 1/2,3,0,repetition
1262,52,833,92 1/2,1,0,repetition
1263,58,833,92 1/2,2,0,repetition
1355,55,891,97 1/1,2,0,repetition
1366,62,897,98 3/2,1,0,repetition
1408,53,919,101 1/2,2,0,repetition
