note,pitch,chord,bar,mapped voice,cost,category
9,62,9,2 1/1,0,0,repetition
28,62,23,4 1/1,1,0,repetition
35,64,28,5 1/2,1,2,other
41,70,32,5 1/1,0,0,repetition
44,62,34,5 3/2,1,0,repetition
68,70,50,7,0,0,repetition
75,66,53,7 3/4,0,1,ficta
89,50,58,8 1/1,3,0,repetition
118,50,74,10 1/1,1,0,repetition
119,53,74,10 1/1,3,0,repetition
134,62,82,11 3/2,2,0,repetition
152,62,94,13,1,0,repetition
175,63,110,14 3/2,1,0,repetition
187,63,119,15 5/4,1,0,repetition
188,67,119,15 5/4,0,0,repetition
208,58,133,17 1/4,3,0,repetition
209,62,133,17 1/4,2,0,repetition
223,62,140,18 1/1,1,0,repetition
231,70,144,19,0,0,repetition
239,67,148,19 1/1,0,0,repetition
256,62,159,20 1/1,2,0,repetition
263,70,163,21,0,0,repetition
268,67,167,21 1/1,0,0,repetition
271,69,170,21 3/2,0,2,other
284,50,181,23,3,0,repetition
285,58,181,23,2,0,repetition
308,62,199,24 1/1,1,0,repetition
326,51,214,25 1/1,3,1,ficta
340,50,226,26 1/1,3,0,repetition
342,69,226,26 1/1,0,0,repetition
371,57,248,28 1/1,2,0,repetition
377,62,250,29,1,0,repetition
379,59,251,29 1/4,1,3,ficta
381,61,252,29 1/2,1,3,ficta
435,62,284,32,1,0,repetition
442,50,290,32 1/1,3,0,repetition
444,69,290,32 1/1,0,0,repetition
472,62,315,35,2,0,repetition
476,69,317,35 1/1,0,0,repetition
480,53,320,36,3,0,repetition
482,52,321,36 1/4,3,1,other
488,51,326,36 7/8,3,3,other
489,60,326,36 7/8,1,0,repetition
491,60,328,36 1/1,1,0,repetition
492,58,329,36 5/4,1,2,other
509,50,345,37 1/1,3,0,repetition
521,70,353,38 1/1,0,0,repetition
523,58,355,38 3/2,2,0,repetition
551,51,377,40 1/1,3,0,repetition
555,48,379,40 3/2,3,3,other
557,51,381,40 7/4,3,1,other
561,60,383,41,1,0,repetition
590,58,396,43 1/4,1,2,other
591,67,396,43 1/4,0,2,other
592,57,397,43 1/2,1,3,other
594,55,398,43 3/4,1,5,other
598,67,399,43 1/1,0,0,repetition
601,67,402,43 3/2,0,1,ficta
603,67,404,43 7/4,0,1,other
614,43,412,44 1/1,3,0,repetition
615,58,412,44 1/1,2,0,repetition
644,60,428,46 1/2,1,0,repetition
647,60,430,46 3/4,1,0,repetition
654,67,434,46 1/1,0,0,repetition
657,67,437,46 3/2,0,1,ficta
670,55,447,47 1/1,1,0,repetition
693,55,460,49,1,0,repetition
749,62,499,53 1/1,0,0,repetition
768,69,512,55,0,0,repetition
775,67,516,55 1/1,0,0,repetition
793,67,531,56 1/1,0,0,repetition
803,58,536,58,2,0,repetition
814,65,541,59,0,0,repetition
829,57,550,60,1,0,repetition
834,48,553,60 1/1,3,0,repetition
843,55,558,61,1,0,repetition
848,43,560,61 1/1,3,0,repetition
851,67,560,61 1/1,0,0,repetition
855,65,564,61 7/4,0,3,other
865,69,570,62 1/1,0,0,repetition
870,64,575,62 7/4,0,3,other
873,57,577,63,1,0,repetition
874,60,577,63,2,0,repetition
877,48,579,63 1/1,3,0,repetition
892,67,587,64 1/1,0,0,repetition
908,64,597,65 3/2,0,0,repetition
930,50,613,67 1/2,1,0,repetition
931,65,613,67 1/2,0,0,repetition
941,55,619,68 1/2,2,2,other
953,62,627,69 1/1,0,0,repetition
956,57,629,69 3/2,2,0,repetition
962,50,633,70 1/2,3,2,other
989,60,650,72,1,0,repetition
997,57,654,72 1/1,1,0,repetition
1000,57,657,72 3/2,1,0,repetition
1023,57,673,74,2,0,repetition
1024,60,673,74,1,0,repetition
1051,58,691,76,1,0,repetition
1052,62,691,76,2,0,repetition
1070,53,704,77,1,0,repetition
1088,50,715,78,3,0,repetition
1089,53,715,78,1,0,repetition
1090,58,715,78,2,0,repetition
1091,48,716,78 1/4,3,2,other
1100,54,720,78 1/1,2,1,other
1102,45,722,78 3/2,3,0,repetition
1104,55,722,78 3/2,2,0,repetition
1116,43,732,79 1/1,3,0,repetition
1117,50,732,79 1/1,1,0,repetition
1118,55,732,79 1/1,2,0,repetition
1126,43,739,80,3,0,repetition
1127,55,739,80,2,0,repetition
1132,43,743,80 1/1,3,0,repetition
1133,55,743,80 1/1,2,0,repetition
1135,70,743,80 1/1,0,0,repetition
1141,50,747,81 1/1,3,0,repetition
1142,53,747,81 1/1,2,2,other
1143,65,747,81 1/1,1,0,repetition
1147,70,750,81 3/2,0,1,other
1156,64,758,82,1,1,ficta
1160,60,760,82 1/1,2,0,repetition
1161,64,760,82 1/1,1,4,ficta
1165,62,763,82 3/2,1,1,other
1174,55,769,83 1/1,3,0,repetition
1189,65,776,84 1/1,2,0,repetition
1200,58,784,85 3/4,1,0,repetition
1205,70,786,85 1/1,0,0,repetition
1206,55,787,85 3/2,3,0,repetition
1242,58,807,87 3/2,1,0,repetition
1261,70,817,89,0,0,repetition
1268,55,821,89 1/1,1,0,repetition
1292,67,834,91,0,0,repetition
1297,48,838,91 1/1,3,0,repetition
1298,52,838,91 1/1,1,0,repetition
1318,46,850,92 1/1,3,0,repetition
1319,53,850,92 1/1,1,0,repetition
1376,69,899,96,0,0,repetition
1377,62,900,96 1/2,2,0,repetition
1381,62,904,96 1/1,2,0,repetition
1394,62,915,97 1/1,2,0,repetition
1405,62,924,98 3/4,2,0,repetition
1406,65,924,98 3/4,0,0,repetition
1408,64,925,98 1/1,0,1,ficta
1421,62,935,99 1/1,2,0,repetition
1467,57,972,102 1/1,1,0,repetition
1469,50,974,103,3,0,repetition
1470,53,974,103,2,0,repetition
1503,45,994,104 3/2,3,0,repetition
1504,55,994,104 3/2,1,1,other
1515,43,1002,105 1/1,3,0,repetition
1516,55,1002,105 1/1,1,0,repetition
1534,69,1016,106 1/1,0,0,repetition
1537,70,1019,106 3/2,0,1,other
1543,62,1025,107,2,0,repetition
1554,63,1033,107 3/2,2,0,repetition
1555,72,1033,107 3/2,0,0,repetition
1560,58,1036,108 1/4,2,2,other
1561,67,1036,108 1/4,0,2,other
1562,57,1037,108 1/2,1,2,other
1566,67,1039,108 1/1,0,0,repetition
1582,55,1054,109 1/1,2,0,repetition
1585,67,1054,109 1/1,0,0,repetition
1592,58,1061,110,3,0,repetition
