note,pitch,chord,bar,mapped voice,cost,category
2,67,1,1 1/1,1,0,repetition
3,67,1,1 1/1,0,0,
4,67,2,1 3/2,1,0,repetition
5,67,2,1 3/2,0,0,
17,55,13,2 1/1,2,0,repetition
21,55,15,2 3/2,2,0,repetition
22,67,15,2 3/2,1,0,repetition
23,69,15,2 3/2,0,1,other
26,67,17,3,1,0,repetition
27,70,17,3,0,0,repetition
29,58,19,3 1/2,2,3,other
30,70,19,3 1/2,0,0,repetition
33,66,21,3 1/1,1,1,ficta
36,62,22,4,2,0,repetition
44,55,30,4 1/1,4,0,repetition
56,43,38,5 1/1,5,0,repetition
59,43,39,5 3/2,5,0,repetition
60,58,39,5 3/2,4,0,repetition
61,67,39,5 3/2,1,0,repetition
63,58,40,6,4,0,repetition
64,67,40,6,1,0,repetition
67,43,43,6 1/2,5,0,repetition
68,58,43,6 1/2,4,0,repetition
69,69,43,6 1/2,0,0,repetition
74,66,47,6 1/1,1,1,ficta
76,50,49,6 3/2,5,0,repetition
77,57,49,6 3/2,4,0,repetition
78,66,49,6 3/2,1,1,other
79,70,49,6 3/2,0,1,other
81,50,51,7,5,0,repetition
85,62,52,7 1/1,3,0,repetition
86,74,52,7 1/1,0,0,repetition
87,50,53,7 3/2,5,0,repetition
88,62,53,7 3/2,3,0,repetition
89,74,53,7 3/2,0,0,repetition
99,50,62,8 1/1,5,0,repetition
102,50,64,8 3/2,5,0,repetition
103,65,64,8 3/2,3,0,repetition
104,71,64,8 3/2,0,3,other
107,65,66,9,3,0,repetition
108,74,66,9,0,0,repetition
109,60,67,9 1/4,4,3,other
110,64,67,9 1/4,3,1,other
111,67,68,9 1/2,3,2,other
112,74,68,9 1/2,0,0,repetition
120,57,74,9 3/2,4,0,repetition
121,64,74,9 3/2,3,0,repetition
122,72,74,9 3/2,0,0,repetition
124,53,75,10,2,4,other
129,50,79,10 1/1,5,0,repetition
132,50,80,10 3/2,5,0,repetition
133,53,80,10 3/2,1,0,repetition
134,57,80,10 3/2,4,0,repetition
148,50,90,11 3/2,5,0,repetition
149,53,90,11 3/2,1,0,repetition
150,58,90,11 3/2,4,0,repetition
151,50,91,12,5,0,repetition
152,53,91,12,1,0,repetition
153,58,91,12,4,0,repetition
157,50,95,12 1/2,5,0,repetition
