note,pitch,chord,bar,mapped voice,cost,category
0,48,0,1,4,12,other
2,48,1,1 1/1,2,12,other
12,60,8,2,2,0,repetition
14,55,9,2 1/4,4,2,other
15,70,9,2 1/4,0,2,other
16,53,10,2 1/2,4,4,other
17,69,10,2 1/2,0,3,other
18,52,11,2 3/4,4,5,other
19,67,11,2 3/4,0,5,other
21,60,12,2 1/1,2,0,repetition
22,65,12,2 1/1,0,4,other
38,65,23,3 3/2,2,3,other
48,53,30,4 1/1,4,0,repetition
49,57,30,4 1/1,3,0,repetition
55,69,34,4 3/2,2,4,other
57,65,36,4 7/4,2,0,repetition
61,60,38,5,0,5,other
62,65,38,5,2,0,repetition
66,57,42,5 1/2,1,0,repetition
68,55,43,5 3/4,4,2,other
71,65,44,5 1/1,2,0,repetition
73,64,45,5 3/2,2,1,other
74,58,46,5 7/4,3,2,other
75,62,46,5 7/4,2,3,other
82,48,51,6 1/1,4,0,repetition
92,60,57,7,0,5,other
98,57,61,7 1/1,1,0,repetition
99,60,61,7 1/1,2,5,other
100,65,61,7 1/1,0,0,repetition
102,50,63,7 3/2,4,3,other
106,65,65,8,2,0,repetition
120,65,73,9,2,0,repetition
127,65,77,9 1/1,2,0,repetition
133,57,81,10,1,3,other
138,57,84,10 1/1,3,4,other
139,65,84,10 1/1,2,0,repetition
141,76,85,10 3/2,0,1,other
146,64,87,11,2,1,other
150,77,91,11 1/2,0,0,repetition
152,48,93,11 1/1,4,0,repetition
153,55,93,11 1/1,1,0,repetition
154,60,93,11 1/1,3,0,repetition
155,67,93,11 1/1,2,0,repetition
166,67,101,12 1/2,2,0,repetition
170,67,102,12 1/1,2,0,repetition
173,74,104,12 3/2,0,2,other
180,77,107,13 1/2,0,0,repetition
183,65,109,13 1/1,2,0,repetition
185,53,110,13 5/4,3,4,other
191,65,113,14,1,0,repetition
192,65,114,14 1/4,1,0,repetition
193,74,114,14 1/4,0,0,repetition
199,60,117,14 1/1,2,0,repetition
217,62,129,15 1/1,1,0,repetition
218,65,129,15 1/1,2,0,repetition
228,65,135,16,2,0,repetition
231,65,137,16 1/2,2,0,repetition
235,62,139,16 1/1,3,12,other
236,65,139,16 1/1,2,0,repetition
269,53,162,18 1/2,3,1,other
270,60,162,18 1/2,1,0,repetition
271,65,162,18 1/2,2,1,other
272,69,162,18 1/2,0,2,other
276,60,164,18 1/1,1,0,repetition
277,67,164,18 1/1,0,0,repetition
281,55,168,18 3/2,1,0,repetition
283,50,170,19,4,2,other
285,65,170,19,1,10,other
292,70,176,19 3/4,0,0,repetition
295,62,178,19 1/1,2,0,repetition
301,55,182,19 3/2,3,5,other
312,72,189,20 1/2,0,3,other
317,65,192,20 1/1,2,5,other
321,74,195,20 3/2,0,5,other
330,57,201,21 3/4,3,3,other
333,64,202,21 1/1,2,0,repetition
336,48,204,21 3/2,4,0,repetition
337,60,204,21 3/2,1,0,repetition
338,65,204,21 3/2,2,1,other
339,67,204,21 3/2,0,0,repetition
340,48,205,21 7/4,4,0,repetition
341,55,205,21 7/4,3,0,repetition
342,60,205,21 7/4,1,0,repetition
343,64,205,21 7/4,2,0,repetition
344,67,205,21 7/4,0,0,repetition
349,72,207,22 1/2,0,3,other
351,60,208,22 1/1,2,5,other
353,69,208,22 1/1,0,0,repetition
355,65,210,22 3/2,2,0,repetition
356,64,211,22 7/4,2,1,other
364,69,216,23 1/2,1,4,other
366,58,218,23 1/1,3,0,repetition
374,62,222,24,2,0,repetition
375,70,222,24,0,0,repetition
393,67,234,25 1/2,1,2,other
410,60,246,26,2,0,repetition
414,65,248,26 1/2,2,5,other
418,60,249,26 1/1,2,0,repetition
427,60,253,27,2,0,repetition
433,60,257,27 1/1,2,0,repetition
434,65,257,27 1/1,0,0,repetition
435,48,258,27 3/2,4,0,repetition
436,55,258,27 3/2,3,0,repetition
437,60,258,27 3/2,2,0,repetition
441,60,259,28,2,0,repetition
444,50,261,28 1/2,4,2,other
446,53,263,28 1/1,3,0,repetition
448,60,263,28 1/1,2,0,repetition
449,65,263,28 1/1,0,0,repetition
453,57,267,28 3/2,4,0,repetition
459,53,273,29 1/1,3,0,repetition
460,57,273,29 1/1,1,0,repetition
464,65,275,29 3/2,0,0,repetition
470,65,279,30,2,12,other
473,67,281,30 1/2,1,7,other
474,70,281,30 1/2,0,1,other
477,60,283,30 1/1,4,7,other
478,69,283,30 1/1,0,0,repetition
480,72,285,30 3/2,0,3,other
486,60,289,31 1/2,3,3,other
489,57,291,31 1/1,2,0,repetition
501,57,299,32,4,4,other
502,60,299,32,2,3,other
503,65,299,32,1,0,repetition
510,55,304,32 3/2,3,2,other
517,45,307,33 1/4,4,1,other
518,60,307,33 1/4,2,2,other
519,46,308,33 1/2,4,0,repetition
520,58,308,33 1/2,2,0,repetition
521,48,309,33 3/4,4,2,other
522,57,309,33 3/4,2,1,other
525,58,310,33 1/1,2,0,repetition
526,62,310,33 1/1,1,0,repetition
528,48,312,33 3/2,4,2,other
532,58,314,34,2,0,repetition
535,53,316,34 1/2,4,2,other
537,50,317,34 3/4,4,1,other
540,58,318,34 1/1,2,0,repetition
547,58,322,35,3,0,repetition
550,67,323,35 1/2,0,2,other
555,58,327,35 1/1,2,0,repetition
560,58,328,35 3/2,2,0,repetition
562,70,329,36,0,0,repetition
563,53,330,36 1/4,3,2,other
564,69,330,36 1/4,0,1,other
565,55,331,36 1/2,3,0,repetition
567,57,332,36 3/4,2,1,other
568,72,332,36 3/4,0,2,other
570,58,333,36 1/1,2,0,repetition
587,60,344,37 1/1,2,0,repetition
588,65,344,37 1/1,1,0,repetition
590,52,345,37 3/2,4,1,other
594,60,347,38,3,0,repetition
598,50,349,38 1/2,4,2,other
604,60,351,38 1/1,2,0,repetition
605,65,351,38 1/1,1,1,other
609,60,352,38 3/2,2,0,repetition
622,57,360,39 1/1,2,0,repetition
623,69,360,39 1/1,0,0,repetition
631,55,366,40 1/2,2,2,other
636,57,368,40 1/1,2,0,repetition
643,57,372,41,2,0,repetition
649,57,376,41 1/1,2,0,repetition
654,57,380,42,2,0,repetition
661,57,384,42 1/1,2,0,repetition
684,58,400,44,2,0,repetition
686,49,401,44 1/2,4,1,ficta
690,57,403,44 1/1,2,0,repetition
691,61,403,44 1/1,1,1,ficta
693,45,405,44 3/2,4,0,repetition
694,52,405,44 3/2,3,0,repetition
695,57,405,44 3/2,2,0,repetition
696,62,405,44 3/2,1,2,other
700,58,407,45,3,6,other
713,57,416,46,3,0,repetition
716,50,418,46 1/2,4,0,repetition
719,57,421,46 5/4,3,0,repetition
720,65,421,46 5/4,1,0,repetition
722,62,423,46 7/4,1,3,other
730,48,428,47 1/1,4,0,repetition
731,55,428,47 1/1,2,0,repetition
732,60,428,47 1/1,3,0,repetition
733,64,428,47 1/1,1,0,repetition
738,57,432,48,1,3,other
741,57,434,48 1/2,3,3,other
743,53,436,48 1/1,2,0,repetition
744,58,436,48 1/1,1,0,repetition
749,65,440,48 3/2,0,4,other
759,57,448,49 1/2,3,0,repetition
761,53,450,49 3/4,1,0,repetition
765,60,452,49 1/1,2,0,repetition
771,60,454,50,2,0,repetition
772,72,454,50,0,0,repetition
776,72,458,50 1/2,0,0,repetition
778,53,460,50 1/1,4,0,repetition
779,57,460,50 1/1,1,0,repetition
780,60,460,50 1/1,2,0,repetition
784,60,462,50 3/2,2,0,repetition
787,51,464,51,3,2,ficta
789,67,464,51,0,0,repetition
794,58,467,51 1/1,2,0,repetition
796,48,469,51 3/2,3,5,other
797,55,469,51 3/2,4,0,repetition
798,65,469,51 3/2,0,0,repetition
805,69,473,52 1/2,0,4,other
807,53,475,52 1/1,4,0,repetition
808,57,475,52 1/1,2,0,repetition
812,72,477,52 3/2,0,0,repetition
816,60,479,53,3,0,repetition
818,72,479,53,0,0,repetition
