piece	N_model	N_intab	M	M_o	M_r	M_f	M_a	m	m_oa	m_a
51A	693	824	201	0	168	7	26	.7560	.9684	.9684
30B	1115	1181	209	0	153	19	37	.8230	.9686	.9686
40B	1115	1210	308	0	198	27	83	.7454	.9314	.9314
40P	215	285	98	0	26	2	70	.6561	.7543	.7543
40N	415	412	72	0	29	10	33	.8252	.9199	.9199
50B	1115	1241	944	0	381	15	548	.2393	.5584	.5584
50B	215	236	37	0	28	3	6	.8432	.9745	.9745
50B	415	411	64	0	28	15	21	.8442	.9489	.9489
5B	1115	1247	413	0	240	40	133	.6688	.8933	.8933
5B	215	238	53	0	17	4	32	.7773	.8655	.8655
5B	415	422	91	0	57	11	23	.7843	.9454	.9454
30F	235	234	2	0	0	2	0	.9914	.0000	.0000
51I	1109	1265	243	0	182	21	40	.8079	.9683	.9683
51I	1020	1080	149	0	115	10	24	.8620	.9777	.9777
51I	968	1034	456	0	137	9	310	.5589	.7001	.7001
50I	533	617	147	0	113	4	30	.7617	.9513	.9513
50I	393	437	100	0	61	13	26	.7711	.9405	.9405
50I	360	453	139	0	126	1	12	.6931	.9735	.9735
43M	1026	1104	193	0	164	12	17	.8251	.9846	.9846
43M	1106	1081	617	0	189	5	423	.4292	.6086	.6086
9M1	1070	1340	467	0	346	44	77	.6514	.9425	.9425
9M1	753	805	489	0	227	17	245	.3925	.6956	.6956
50P	1070	1189	228	0	190	7	31	.8082	.9739	.9739
50P	753	831	174	0	146	5	23	.7906	.9723	.9723
30P	737	883	218	0	182	14	22	.7531	.9750	.9750
50P	737	944	631	0	349	11	271	.3315	.7129	.7129
50P	952	1090	248	0	193	12	43	.7724	.9605	.9605
50M	737	907	390	0	245	18	127	.5700	.8599	.8599
50M	952	1090	331	0	204	11	116	.6963	.8935	.8935
11Q	1288	1354	155	0	111	22	22	.8855	.9837	.9837
11Q	1067	1101	124	0	87	16	21	.8873	.9809	.9809
51Q	1288	1443	248	0	196	16	36	.8281	.9750	.9750
51Q	1067	1162	163	0	120	9	34	.8597	.9707	.9707
9M1	805	927	323	0	198	8	117	.6515	.8737	.8737
50S	805	978	284	0	225	5	54	.7096	.9447	.9447
50S	935	1125	505	0	276	6	223	.5511	.8017	.8017
